,TF1503.CFE,TF1506.CFE,TF1509.CFE,TF1512.CFE,TF1603.CFE,TF1606.CFE,TF1609.CFE,TF1612.CFE,TF1703.CFE,TF1706.CFE,TF1709.CFE,TF1712.CFE,TF1803.CFE,TF1806.CFE,TF1809.CFE,TF1812.CFE
2015-01-05,96.312,97.0,97.34,,,,,,,,,,,,,
2015-01-06,96.44,97.05,97.382,,,,,,,,,,,,,
2015-01-07,96.542,97.088,97.498,,,,,,,,,,,,,
2015-01-08,96.586,97.11,97.52,,,,,,,,,,,,,
2015-01-09,96.4,96.968,97.4,,,,,,,,,,,,,
2015-01-12,96.48,97.042,96.886,,,,,,,,,,,,,
2015-01-13,96.736,97.3,97.728,,,,,,,,,,,,,
2015-01-14,97.032,97.534,97.914,,,,,,,,,,,,,
2015-01-15,96.95,97.484,97.916,,,,,,,,,,,,,
2015-01-16,97.098,97.6,98.104,,,,,,,,,,,,,
2015-01-19,97.282,97.768,98.126,,,,,,,,,,,,,
2015-01-20,97.052,97.552,97.5,,,,,,,,,,,,,
2015-01-21,97.352,97.872,98.238,,,,,,,,,,,,,
2015-01-22,97.472,97.998,98.348,,,,,,,,,,,,,
2015-01-23,97.56,98.038,98.418,,,,,,,,,,,,,
2015-01-26,97.49,98.0,98.482,,,,,,,,,,,,,
2015-01-27,97.536,98.03,98.4,,,,,,,,,,,,,
2015-01-28,97.314,97.796,98.2,,,,,,,,,,,,,
2015-01-29,97.246,97.75,98.15,,,,,,,,,,,,,
2015-01-30,97.188,97.73,98.15,,,,,,,,,,,,,
2015-02-02,97.248,97.758,98.258,,,,,,,,,,,,,
2015-02-03,97.542,98.05,98.48,,,,,,,,,,,,,
2015-02-04,97.58,98.138,98.61,,,,,,,,,,,,,
2015-02-05,97.55,98.118,98.62,,,,,,,,,,,,,
2015-02-06,97.526,98.132,98.678,,,,,,,,,,,,,
2015-02-09,97.602,98.286,98.778,,,,,,,,,,,,,
2015-02-10,97.75,98.34,98.82,,,,,,,,,,,,,
2015-02-11,97.922,98.506,98.964,,,,,,,,,,,,,
2015-02-12,98.146,98.754,99.2,,,,,,,,,,,,,
2015-02-13,98.226,98.956,99.35,,,,,,,,,,,,,
2015-02-16,98.3,99.002,99.512,,,,,,,,,,,,,
2015-02-17,98.58,99.186,99.726,,,,,,,,,,,,,
2015-02-25,98.526,99.25,99.85,,,,,,,,,,,,,
2015-02-26,98.502,98.96,99.59,,,,,,,,,,,,,
2015-02-27,98.348,98.962,99.562,,,,,,,,,,,,,
2015-03-02,97.916,98.664,99.22,,,,,,,,,,,,,
2015-03-03,97.582,98.5,99.038,,,,,,,,,,,,,
2015-03-04,97.468,98.62,99.168,,,,,,,,,,,,,
2015-03-05,97.476,98.31,98.846,,,,,,,,,,,,,
2015-03-06,97.45,98.162,98.704,,,,,,,,,,,,,
2015-03-09,97.4,97.95,98.48,,,,,,,,,,,,,
2015-03-10,97.58,98.012,98.522,,,,,,,,,,,,,
2015-03-11,97.618,98.328,98.854,,,,,,,,,,,,,
2015-03-12,97.21,98.56,99.05,,,,,,,,,,,,,
2015-03-13,97.2,98.18,98.71,,,,,,,,,,,,,
2015-03-16,,98.02,98.48,98.77,,,,,,,,,,,,
2015-03-17,,97.955,98.42,98.975,,,,,,,,,,,,
2015-03-18,,97.825,98.205,98.745,,,,,,,,,,,,
2015-03-19,,97.845,98.22,98.785,,,,,,,,,,,,
2015-03-20,,98.06,98.44,99.0,,,,,,,,,,,,
2015-03-23,,97.92,98.3,98.87,,,,,,,,,,,,
2015-03-24,,97.84,98.22,98.8,,,,,,,,,,,,
2015-03-25,,97.8,98.17,98.795,,,,,,,,,,,,
2015-03-26,,97.4,97.765,98.395,,,,,,,,,,,,
2015-03-27,,97.065,97.435,98.145,,,,,,,,,,,,
2015-03-30,,96.825,97.23,97.955,,,,,,,,,,,,
2015-03-31,,96.67,96.965,97.68,,,,,,,,,,,,
2015-04-01,,96.84,97.075,97.88,,,,,,,,,,,,
2015-04-02,,97.29,97.56,98.31,,,,,,,,,,,,
2015-04-03,,96.96,97.205,98.065,,,,,,,,,,,,
2015-04-07,,96.8,97.115,97.9,,,,,,,,,,,,
2015-04-08,,96.275,96.58,97.34,,,,,,,,,,,,
2015-04-09,,96.32,96.4,97.405,,,,,,,,,,,,
2015-04-10,,96.41,96.745,97.58,,,,,,,,,,,,
2015-04-13,,96.38,96.77,97.82,,,,,,,,,,,,
2015-04-14,,96.75,97.155,98.035,,,,,,,,,,,,
2015-04-15,,96.85,97.285,98.185,,,,,,,,,,,,
2015-04-16,,97.07,97.6,98.335,,,,,,,,,,,,
2015-04-17,,97.07,97.43,98.335,,,,,,,,,,,,
2015-04-20,,97.58,98.12,98.8,,,,,,,,,,,,
2015-04-21,,98.01,98.5,99.155,,,,,,,,,,,,
2015-04-22,,97.965,98.4,99.125,,,,,,,,,,,,
2015-04-23,,97.905,98.335,99.005,,,,,,,,,,,,
2015-04-24,,97.755,98.12,98.865,,,,,,,,,,,,
2015-04-27,,97.86,98.11,99.1,,,,,,,,,,,,
2015-04-28,,98.26,98.6,99.42,,,,,,,,,,,,
2015-04-29,,98.205,98.69,99.39,,,,,,,,,,,,
2015-04-30,,98.4,98.9,99.595,,,,,,,,,,,,
2015-05-04,,98.11,98.655,99.355,,,,,,,,,,,,
2015-05-05,,97.95,98.3,99.28,,,,,,,,,,,,
2015-05-06,,97.27,97.89,98.6,,,,,,,,,,,,
2015-05-07,,97.1,97.765,98.5,,,,,,,,,,,,
2015-05-08,,97.265,98.02,98.85,,,,,,,,,,,,
2015-05-11,,97.0,97.73,98.77,,,,,,,,,,,,
2015-05-12,,97.19,97.83,98.88,,,,,,,,,,,,
2015-05-13,,97.245,97.935,99.02,,,,,,,,,,,,
2015-05-14,,97.38,97.95,99.31,,,,,,,,,,,,
2015-05-15,,97.52,98.09,99.635,,,,,,,,,,,,
2015-05-18,,97.59,98.1,99.57,,,,,,,,,,,,
2015-05-19,,97.25,97.5,99.29,,,,,,,,,,,,
2015-05-20,,97.225,97.78,99.245,,,,,,,,,,,,
2015-05-21,,97.1,97.7,99.32,,,,,,,,,,,,
2015-05-22,,97.34,97.93,99.59,,,,,,,,,,,,
2015-05-25,,97.085,97.71,99.4,,,,,,,,,,,,
2015-05-26,,96.05,96.605,98.38,,,,,,,,,,,,
2015-05-27,,96.155,96.67,98.58,,,,,,,,,,,,
2015-05-28,,95.595,95.885,98.195,,,,,,,,,,,,
2015-05-29,,95.37,95.92,98.1,,,,,,,,,,,,
2015-06-01,,95.155,95.12,97.18,,,,,,,,,,,,
2015-06-02,,95.51,95.63,97.64,,,,,,,,,,,,
2015-06-03,,95.895,95.86,97.76,,,,,,,,,,,,
