,Y1501.DCE,Y1503.DCE,Y1505.DCE,Y1507.DCE,Y1508.DCE,Y1509.DCE,Y1511.DCE,Y1512.DCE,Y1601.DCE,Y1603.DCE,Y1605.DCE,Y1607.DCE,Y1608.DCE,Y1609.DCE,Y1611.DCE,Y1612.DCE,Y1701.DCE,Y1703.DCE,Y1705.DCE,Y1707.DCE,Y1708.DCE,Y1709.DCE,Y1711.DCE,Y1712.DCE,Y1801.DCE,Y1803.DCE,Y1805.DCE,Y1807.DCE,Y1808.DCE,Y1809.DCE,Y1811.DCE,Y1812.DCE,Y1901.DCE,Y1903.DCE
2015-01-05,5170.0,,5610.0,5680.0,,5700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,5460.0,5574.0,5622.0,5724.0,,5704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-07,5550.0,5600.0,5670.0,5768.0,,5756.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-08,5350.0,5626.0,5712.0,5728.0,,5794.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-09,5500.0,5632.0,5716.0,,,5802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-12,5500.0,5634.0,5728.0,5784.0,5840.0,5812.0,,5830.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,5430.0,,5636.0,5700.0,,5724.0,,5816.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-14,,,5596.0,5578.0,,5684.0,5784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-15,,5486.0,5576.0,5570.0,,5666.0,,5674.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-16,,5280.0,5596.0,,,5678.0,5722.0,5780.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-19,,5268.0,5434.0,,5628.0,5524.0,5776.0,5714.0,5626.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,,,5554.0,5580.0,5666.0,5642.0,,5694.0,5738.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-21,,5362.0,5582.0,,,5666.0,,,5756.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-22,,5356.0,5586.0,,,5650.0,,,5740.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-23,,5316.0,5540.0,5608.0,5622.0,5576.0,,,5666.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-26,,,5506.0,,5592.0,5530.0,,,5638.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-27,,5400.0,5478.0,5570.0,,5502.0,,,5614.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,,5334.0,5452.0,,,5490.0,,,5606.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-29,,5288.0,5396.0,,,5418.0,,,5534.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,,5218.0,5308.0,,,5326.0,,,5442.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-02,,5270.0,5322.0,5400.0,,5334.0,,,5442.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-03,,5434.0,5410.0,,,5418.0,5486.0,,5516.0,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,,,5426.0,,5496.0,5450.0,,,5550.0,,,,,,,,,,,,,,,,,,,,,,,,,
