,T1509.CFE,T1512.CFE,T1603.CFE,T1606.CFE,T1609.CFE,T1612.CFE,T1703.CFE,T1706.CFE,T1709.CFE,T1712.CFE,T1803.CFE,T1806.CFE,T1809.CFE,T1812.CFE
2018-01-02,,,,,,,,,,,2.0,2.0,2.0,
2018-01-03,,,,,,,,,,,2.0,2.0,2.0,
2018-01-04,,,,,,,,,,,2.0,2.0,2.0,
2018-01-05,,,,,,,,,,,2.0,2.0,2.0,
2018-01-08,,,,,,,,,,,2.0,2.0,2.0,
2018-01-09,,,,,,,,,,,2.0,2.0,2.0,
2018-01-10,,,,,,,,,,,2.0,2.0,2.0,
2018-01-11,,,,,,,,,,,2.0,2.0,2.0,
2018-01-12,,,,,,,,,,,2.0,2.0,2.0,
2018-01-15,,,,,,,,,,,2.0,2.0,2.0,
2018-01-16,,,,,,,,,,,2.0,2.0,2.0,
2018-01-17,,,,,,,,,,,2.0,2.0,2.0,
2018-01-18,,,,,,,,,,,2.0,2.0,2.0,
2018-01-19,,,,,,,,,,,2.0,2.0,2.0,
2018-01-22,,,,,,,,,,,2.0,2.0,2.0,
2018-01-23,,,,,,,,,,,2.0,2.0,2.0,
2018-01-24,,,,,,,,,,,2.0,2.0,2.0,
2018-01-25,,,,,,,,,,,2.0,2.0,2.0,
2018-01-26,,,,,,,,,,,2.0,2.0,2.0,
2018-01-29,,,,,,,,,,,2.0,2.0,2.0,
2018-01-30,,,,,,,,,,,2.0,2.0,2.0,
2018-01-31,,,,,,,,,,,2.0,2.0,2.0,
2018-02-01,,,,,,,,,,,2.0,2.0,2.0,
2018-02-02,,,,,,,,,,,2.0,2.0,2.0,
2018-02-05,,,,,,,,,,,2.0,2.0,2.0,
2018-02-06,,,,,,,,,,,2.0,2.0,2.0,
2018-02-07,,,,,,,,,,,2.0,2.0,2.0,
2018-02-08,,,,,,,,,,,2.0,2.0,2.0,
2018-02-09,,,,,,,,,,,2.0,2.0,2.0,
2018-02-12,,,,,,,,,,,2.0,2.0,2.0,
2018-02-13,,,,,,,,,,,2.0,2.0,2.0,
2018-02-14,,,,,,,,,,,3.0,2.0,2.0,
2018-02-22,,,,,,,,,,,3.0,2.0,2.0,
2018-02-23,,,,,,,,,,,3.0,2.0,2.0,
2018-02-26,,,,,,,,,,,3.0,2.0,2.0,
2018-02-27,,,,,,,,,,,3.0,2.0,2.0,
2018-02-28,,,,,,,,,,,4.0,2.0,2.0,
2018-03-01,,,,,,,,,,,4.0,2.0,2.0,
2018-03-02,,,,,,,,,,,4.0,2.0,2.0,
2018-03-05,,,,,,,,,,,4.0,2.0,2.0,
2018-03-06,,,,,,,,,,,4.0,2.0,2.0,
2018-03-07,,,,,,,,,,,4.0,2.0,2.0,
2018-03-08,,,,,,,,,,,4.0,2.0,2.0,
2018-03-09,,,,,,,,,,,4.0,2.0,2.0,
2018-03-12,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-03-13,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-03-14,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-03-15,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-03-16,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-03-19,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-03-20,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-03-21,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-03-22,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-03-23,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-03-26,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-03-27,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-03-28,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-03-29,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-03-30,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-04-02,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-04-03,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-04-04,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-04-09,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-04-10,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-04-11,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-04-12,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-04-13,,,,,,,,,,,4.0,2.0,2.0,2.0
2018-04-16,,,,,,,,,,,4.0,2.0,2.0,2.0
