,TF1312.CFE,TF1403.CFE,TF1406.CFE,TF1409.CFE,TF1412.CFE,TF1503.CFE,TF1506.CFE,TF1509.CFE,TF1512.CFE,TF1603.CFE,TF1606.CFE,TF1609.CFE,TF1612.CFE,TF1703.CFE,TF1706.CFE,TF1709.CFE,TF1712.CFE,TF1803.CFE,TF1806.CFE,TF1809.CFE,TF1812.CFE
2018-01-02,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-01-03,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-01-04,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-01-05,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-01-08,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-01-09,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-01-10,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-01-11,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-01-12,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-01-15,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-01-16,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-01-17,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-01-18,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-01-19,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-01-22,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-01-23,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-01-24,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-01-25,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-01-26,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-01-29,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-01-30,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-01-31,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-02-01,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-02-02,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-02-05,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-02-06,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-02-07,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-02-08,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-02-09,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-02-12,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-02-13,,,,,,,,,,,,,,,,,,1.2,1.2,1.2,
2018-02-14,,,,,,,,,,,,,,,,,,1.5,1.2,1.2,
2018-02-22,,,,,,,,,,,,,,,,,,1.5,1.2,1.2,
2018-02-23,,,,,,,,,,,,,,,,,,1.5,1.2,1.2,
2018-02-26,,,,,,,,,,,,,,,,,,1.5,1.2,1.2,
2018-02-27,,,,,,,,,,,,,,,,,,1.5,1.2,1.2,
2018-02-28,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,
2018-03-01,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,
2018-03-02,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,
2018-03-05,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,
2018-03-06,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,
2018-03-07,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,
2018-03-08,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,
2018-03-09,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,
2018-03-12,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-03-13,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-03-14,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-03-15,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-03-16,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-03-19,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-03-20,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-03-21,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-03-22,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-03-23,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-03-26,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-03-27,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-03-28,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-03-29,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-03-30,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-04-02,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-04-03,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-04-04,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-04-09,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-04-10,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-04-11,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-04-12,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-04-13,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
2018-04-16,,,,,,,,,,,,,,,,,,2.0,1.2,1.2,1.2
