,Y0603.DCE,Y0605.DCE,Y0607.DCE,Y0608.DCE,Y0609.DCE,Y0611.DCE,Y0612.DCE,Y0701.DCE,Y0703.DCE,Y0705.DCE,Y0707.DCE,Y0708.DCE,Y0709.DCE,Y0711.DCE,Y0712.DCE,Y0801.DCE,Y0803.DCE,Y0805.DCE,Y0807.DCE,Y0808.DCE,Y0809.DCE,Y0811.DCE,Y0812.DCE,Y0901.DCE,Y0903.DCE,Y0905.DCE,Y0907.DCE,Y0908.DCE,Y0909.DCE,Y0911.DCE,Y0912.DCE,Y1001.DCE,Y1003.DCE,Y1005.DCE,Y1007.DCE,Y1008.DCE,Y1009.DCE,Y1011.DCE,Y1012.DCE,Y1101.DCE,Y1103.DCE,Y1105.DCE,Y1107.DCE,Y1108.DCE,Y1109.DCE,Y1111.DCE,Y1112.DCE,Y1201.DCE,Y1203.DCE,Y1205.DCE,Y1207.DCE,Y1208.DCE,Y1209.DCE,Y1211.DCE,Y1212.DCE,Y1301.DCE,Y1303.DCE,Y1305.DCE,Y1307.DCE,Y1308.DCE,Y1309.DCE,Y1311.DCE,Y1312.DCE,Y1401.DCE,Y1403.DCE,Y1405.DCE,Y1407.DCE,Y1408.DCE,Y1409.DCE,Y1411.DCE,Y1412.DCE,Y1501.DCE,Y1503.DCE,Y1505.DCE,Y1507.DCE,Y1508.DCE,Y1509.DCE,Y1511.DCE,Y1512.DCE,Y1601.DCE,Y1603.DCE,Y1605.DCE,Y1607.DCE,Y1608.DCE,Y1609.DCE,Y1611.DCE,Y1612.DCE,Y1701.DCE,Y1703.DCE,Y1705.DCE,Y1707.DCE,Y1708.DCE,Y1709.DCE,Y1711.DCE,Y1712.DCE,Y1801.DCE,Y1803.DCE,Y1805.DCE,Y1807.DCE,Y1808.DCE,Y1809.DCE,Y1811.DCE,Y1812.DCE,Y1901.DCE,Y1903.DCE
2018-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,
2018-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,
2018-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,
2018-01-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,
2018-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,
2018-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,
2018-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,
2018-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,
2018-01-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,
2018-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,
2018-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,
2018-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,
2018-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,10.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2018-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2018-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2018-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2018-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
2018-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,20.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
