,I1403.DCE,I1404.DCE,I1405.DCE,I1406.DCE,I1407.DCE,I1408.DCE,I1409.DCE,I1410.DCE,I1411.DCE,I1412.DCE,I1501.DCE,I1502.DCE,I1503.DCE,I1504.DCE,I1505.DCE,I1506.DCE,I1507.DCE,I1508.DCE,I1509.DCE,I1510.DCE,I1511.DCE,I1512.DCE,I1601.DCE,I1602.DCE,I1603.DCE,I1604.DCE,I1605.DCE,I1606.DCE,I1607.DCE,I1608.DCE,I1609.DCE,I1610.DCE,I1611.DCE,I1612.DCE,I1701.DCE,I1702.DCE,I1703.DCE,I1704.DCE,I1705.DCE,I1706.DCE,I1707.DCE,I1708.DCE,I1709.DCE,I1710.DCE,I1711.DCE,I1712.DCE,I1801.DCE,I1802.DCE,I1803.DCE,I1804.DCE,I1805.DCE,I1806.DCE,I1807.DCE,I1808.DCE,I1809.DCE,I1810.DCE,I1811.DCE,I1812.DCE,I1901.DCE,I1902.DCE,I1903.DCE
2013-10-18,7604.0,312.0,65042.0,26.0,24.0,20.0,5628.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-21,6096.0,300.0,68130.0,18.0,24.0,20.0,7548.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-22,5038.0,198.0,76004.0,18.0,16.0,14.0,8240.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-23,3920.0,30.0,81162.0,16.0,16.0,14.0,9474.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-24,4286.0,34.0,87872.0,16.0,16.0,14.0,11510.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-25,3290.0,22.0,86472.0,24.0,16.0,4.0,12428.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-28,3202.0,18.0,93480.0,24.0,16.0,4.0,12190.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-29,3066.0,16.0,99058.0,24.0,16.0,4.0,12922.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-30,2788.0,16.0,91262.0,42.0,16.0,4.0,11174.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-31,2462.0,16.0,84820.0,42.0,16.0,4.0,10886.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
