,IH1505.CFE,IH1506.CFE,IH1507.CFE,IH1508.CFE,IH1509.CFE,IH1510.CFE,IH1511.CFE,IH1512.CFE,IH1601.CFE,IH1602.CFE,IH1603.CFE,IH1604.CFE,IH1605.CFE,IH1606.CFE,IH1607.CFE,IH1608.CFE,IH1609.CFE,IH1610.CFE,IH1611.CFE,IH1612.CFE,IH1701.CFE,IH1702.CFE,IH1703.CFE,IH1704.CFE,IH1705.CFE,IH1706.CFE,IH1707.CFE,IH1708.CFE,IH1709.CFE,IH1710.CFE,IH1711.CFE,IH1712.CFE,IH1801.CFE,IH1802.CFE,IH1803.CFE,IH1806.CFE,IH1804.CFE,IH1805.CFE,IH1809.CFE
2015-04-16,28848.0,3604.0,,,772.0,,,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,37853.0,5010.0,,,1645.0,,,326.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20,37975.0,5284.0,,,1953.0,,,447.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,37771.0,5354.0,,,1841.0,,,482.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,42623.0,5823.0,,,2021.0,,,545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,39573.0,5847.0,,,2338.0,,,556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,36034.0,5629.0,,,2411.0,,,554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,45698.0,5505.0,,,2140.0,,,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,36374.0,5599.0,,,2489.0,,,525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,39968.0,5942.0,,,2461.0,,,504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,41181.0,6508.0,,,2571.0,,,504.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,40335.0,6554.0,,,2627.0,,,551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,38274.0,6814.0,,,2734.0,,,545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,36206.0,6573.0,,,2965.0,,,553.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,40498.0,7371.0,,,3280.0,,,631.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,37887.0,7633.0,,,3511.0,,,654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-11,30050.0,10664.0,,,3873.0,,,658.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,23176.0,14498.0,,,4043.0,,,649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-13,17535.0,19243.0,,,4210.0,,,722.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-14,10750.0,24276.0,,,4192.0,,,833.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,0.0,29113.0,,,4604.0,,,855.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-18,0.0,30409.0,652.0,,4650.0,,,822.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-19,0.0,32724.0,1274.0,,5074.0,,,794.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-20,0.0,41966.0,1535.0,,5299.0,,,798.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-21,0.0,44675.0,1655.0,,5522.0,,,784.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-22,0.0,49710.0,2430.0,,6081.0,,,834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-25,0.0,58985.0,3609.0,,6977.0,,,947.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-26,0.0,60316.0,4084.0,,7680.0,,,1051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-27,0.0,58323.0,4349.0,,8228.0,,,1022.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-28,0.0,47345.0,5189.0,,7251.0,,,944.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,0.0,37538.0,4819.0,,7138.0,,,878.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,0.0,41622.0,5436.0,,7557.0,,,888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-02,0.0,38496.0,7219.0,,8214.0,,,964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-03,0.0,34342.0,7402.0,,8384.0,,,948.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-04,0.0,43924.0,7047.0,,9168.0,,,967.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,0.0,46520.0,8078.0,,10267.0,,,960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-08,0.0,73160.0,9859.0,,11032.0,,,941.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-09,0.0,69199.0,12453.0,,12208.0,,,987.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-10,0.0,64664.0,14354.0,,12020.0,,,1045.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-11,0.0,64572.0,17588.0,,12516.0,,,1031.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,0.0,67900.0,19357.0,,12440.0,,,1032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-15,0.0,61775.0,23438.0,,13811.0,,,1029.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-16,0.0,54689.0,26680.0,,13291.0,,,1051.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-17,0.0,41817.0,38326.0,,13039.0,,,1076.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-18,0.0,19516.0,58607.0,,13009.0,,,1287.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-19,0.0,0.0,73462.0,,13417.0,,,1374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-23,0.0,0.0,74829.0,264.0,13358.0,,,1086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-24,0.0,0.0,67504.0,345.0,13528.0,,,1164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-25,0.0,0.0,65506.0,513.0,13171.0,,,1218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-26,0.0,0.0,70148.0,837.0,11924.0,,,1182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
