,JR1403.CZC,JR1405.CZC,JR1407.CZC,JR1409.CZC,JR1411.CZC,JR1501.CZC,JR1503.CZC,JR1505.CZC,JR1507.CZC,JR1509.CZC,JR1511.CZC,JR1601.CZC,JR1603.CZC,JR1605.CZC,JR607.CZC,JR609.CZC,JR611.CZC,JR701.CZC,JR703.CZC,JR705.CZC,JR707.CZC,JR709.CZC,JR711.CZC,JR801.CZC,JR803.CZC,JR805.CZC,JR807.CZC,JR809.CZC,JR811.CZC,JR901.CZC,JR903.CZC
2013-11-18,298.0,5634.0,16.0,524.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-19,282.0,6418.0,14.0,810.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-20,282.0,4970.0,14.0,702.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-21,282.0,4838.0,14.0,684.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-22,244.0,5566.0,14.0,668.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-25,242.0,4728.0,14.0,670.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-26,246.0,4862.0,12.0,644.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-27,234.0,4490.0,12.0,652.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-28,232.0,4280.0,12.0,636.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-29,232.0,4238.0,12.0,632.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-02,232.0,4134.0,12.0,626.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-03,232.0,4008.0,12.0,608.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-04,228.0,3688.0,12.0,542.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-05,216.0,3548.0,12.0,524.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-06,216.0,3570.0,12.0,524.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-09,216.0,3502.0,12.0,514.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-10,216.0,3146.0,12.0,446.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-11,216.0,2768.0,12.0,408.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-12,216.0,2786.0,12.0,396.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-13,216.0,2982.0,12.0,390.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,
