,LR1411.CZC,LR1501.CZC,LR1503.CZC,LR1505.CZC,LR1507.CZC,LR1509.CZC,LR1511.CZC,LR1601.CZC,LR1603.CZC,LR1605.CZC,LR607.CZC,LR609.CZC,LR611.CZC,LR701.CZC,LR703.CZC,LR705.CZC,LR707.CZC,LR709.CZC,LR711.CZC,LR801.CZC,LR803.CZC,LR805.CZC,LR807.CZC,LR809.CZC,LR811.CZC,LR901.CZC,LR903.CZC
2014-07-08,164.0,9500.0,0.0,420.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-09,140.0,10854.0,0.0,374.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-10,124.0,10614.0,0.0,372.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-11,142.0,10322.0,0.0,368.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-14,68.0,10136.0,0.0,346.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-15,66.0,9826.0,0.0,346.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-16,66.0,9674.0,0.0,348.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-17,66.0,9780.0,0.0,368.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-18,60.0,9340.0,0.0,372.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-21,60.0,9296.0,0.0,370.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-22,60.0,9470.0,0.0,370.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-23,60.0,9608.0,0.0,370.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-24,60.0,10356.0,0.0,764.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-25,60.0,11874.0,0.0,826.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-28,60.0,12422.0,0.0,850.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-29,72.0,12850.0,0.0,988.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-30,70.0,12774.0,0.0,958.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-31,64.0,12478.0,0.0,1182.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-01,64.0,12660.0,0.0,1178.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-04,64.0,12884.0,0.0,1174.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-05,64.0,12978.0,0.0,1174.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-06,64.0,12772.0,0.0,1174.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-07,64.0,12464.0,0.0,1172.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-08,64.0,11816.0,0.0,1170.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-11,64.0,11694.0,0.0,1180.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-12,64.0,11274.0,0.0,1180.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-13,64.0,11336.0,0.0,1178.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-14,64.0,10812.0,0.0,1176.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-15,64.0,10172.0,0.0,1166.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-18,64.0,10200.0,0.0,1166.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-19,64.0,10060.0,0.0,1166.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-20,64.0,9946.0,0.0,1164.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-21,64.0,9898.0,0.0,1156.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-22,64.0,9702.0,0.0,1158.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-25,64.0,9396.0,0.0,1144.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-26,64.0,8842.0,0.0,1140.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-27,64.0,8794.0,0.0,1128.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-28,64.0,8536.0,0.0,1126.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-29,64.0,8542.0,0.0,1120.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-01,64.0,8426.0,0.0,1120.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-02,64.0,8242.0,0.0,920.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-03,64.0,7640.0,0.0,920.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-04,64.0,7476.0,0.0,920.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-05,64.0,7450.0,0.0,908.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-09,64.0,6998.0,0.0,908.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-10,64.0,6796.0,0.0,846.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-11,64.0,6756.0,0.0,846.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-12,64.0,6602.0,0.0,850.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-15,64.0,6598.0,0.0,824.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-16,64.0,6570.0,0.0,824.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-09-17,64.0,6528.0,0.0,824.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-09-18,64.0,6462.0,0.0,824.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-09-19,64.0,6382.0,0.0,824.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-09-22,64.0,6364.0,0.0,808.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-09-23,64.0,6254.0,0.0,808.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-09-24,64.0,6250.0,0.0,808.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-09-25,64.0,6242.0,0.0,790.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-09-26,64.0,6220.0,0.0,790.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-09-29,64.0,6174.0,0.0,756.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-09-30,64.0,6154.0,0.0,744.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-10-08,64.0,6050.0,0.0,736.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-10-09,64.0,5992.0,0.0,708.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-10-10,64.0,5812.0,0.0,702.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-10-13,64.0,5828.0,0.0,694.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-10-14,26.0,5624.0,0.0,684.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-10-15,26.0,5506.0,0.0,680.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-10-16,26.0,5506.0,0.0,680.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-10-17,22.0,5468.0,0.0,670.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-10-20,20.0,5446.0,0.0,666.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-10-21,20.0,5394.0,0.0,660.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-10-22,20.0,5388.0,0.0,660.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-10-23,20.0,5294.0,0.0,660.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-10-24,20.0,5228.0,0.0,660.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-10-27,20.0,5234.0,0.0,660.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-10-28,10.0,5088.0,0.0,660.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-10-29,10.0,5070.0,0.0,596.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-10-30,10.0,5000.0,0.0,592.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-10-31,10.0,4974.0,0.0,592.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-11-03,10.0,4960.0,0.0,580.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-11-04,10.0,4954.0,0.0,572.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-11-05,10.0,4954.0,0.0,560.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-11-06,10.0,4956.0,0.0,558.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-11-07,10.0,4958.0,0.0,536.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-11-10,10.0,4958.0,0.0,538.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-11-11,10.0,4966.0,0.0,538.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-11-12,10.0,4970.0,0.0,538.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-11-13,10.0,4966.0,0.0,538.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-11-14,0.0,4974.0,0.0,536.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-11-17,0.0,4966.0,0.0,532.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-11-18,0.0,4942.0,0.0,532.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-11-19,0.0,4912.0,0.0,526.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-11-20,0.0,4296.0,0.0,522.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-11-21,0.0,3614.0,0.0,522.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-11-24,0.0,2910.0,0.0,522.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-11-25,0.0,2922.0,0.0,522.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-11-26,0.0,3026.0,0.0,518.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-11-27,0.0,3072.0,0.0,518.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-11-28,0.0,3110.0,0.0,516.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-12-01,0.0,3078.0,0.0,516.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-12-02,0.0,3070.0,0.0,516.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-12-03,0.0,3040.0,0.0,516.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-12-04,0.0,3030.0,0.0,516.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-12-05,0.0,3028.0,0.0,516.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-12-08,0.0,3018.0,0.0,516.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-12-09,0.0,2994.0,0.0,516.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-12-10,0.0,2914.0,0.0,514.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-12-11,0.0,2898.0,0.0,496.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-12-12,0.0,1650.0,0.0,496.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-12-15,0.0,1634.0,0.0,502.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-12-16,0.0,1624.0,0.0,506.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-12-17,0.0,1616.0,0.0,506.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-12-18,0.0,1214.0,0.0,508.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-12-19,0.0,1220.0,0.0,498.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-12-22,0.0,1202.0,0.0,496.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
