,WS0305.CZC,WS0307.CZC,WS0309.CZC,WS0311.CZC,WS0401.CZC,WS0403.CZC,WS0405.CZC,WS0407.CZC,WS0409.CZC,WS0411.CZC,WS0501.CZC,WS0503.CZC,WS0505.CZC,WS0507.CZC,WS0509.CZC,WS0511.CZC,WS0601.CZC,WS0603.CZC,WS0605.CZC,WS0607.CZC,WS0609.CZC,WS0611.CZC,WS0701.CZC,WS0703.CZC,WS0705.CZC,WS0707.CZC,WS0709.CZC,WS0711.CZC,WS0801.CZC,WS0803.CZC,WS0805.CZC,WS0807.CZC,WS0809.CZC,WS0811.CZC,WS0901.CZC,WS0903.CZC,WS0905.CZC,WS0907.CZC,WS0909.CZC,WS0911.CZC,WS1001.CZC,WS1003.CZC,WS1005.CZC,WS1007.CZC,WS1009.CZC,WS1011.CZC,WS1101.CZC,WS1103.CZC,WS1105.CZC,WS1107.CZC,WS1109.CZC,WS1111.CZC,WS1201.CZC,WS1203.CZC,WS1205.CZC,WS1207.CZC,WS1209.CZC,WS1211.CZC,WS1301.CZC,WS1303.CZC,WS1305.CZC,WH1307.CZC,WH1309.CZC,WH1311.CZC,WH1401.CZC,WH1403.CZC,WH1405.CZC,WH1407.CZC,WH1409.CZC,WH1411.CZC,WH1501.CZC,WH1503.CZC,WH1505.CZC,WH1507.CZC,WH1509.CZC,WH1511.CZC,WH1601.CZC,WH1603.CZC,WH1605.CZC,WH607.CZC,WH609.CZC,WH611.CZC,WH701.CZC,WH703.CZC,WH705.CZC,WH707.CZC,WH709.CZC,WH711.CZC,WH801.CZC,WH803.CZC,WH805.CZC,WH807.CZC,WH809.CZC,WH811.CZC,WH901.CZC,WH903.CZC
2003-03-28,622.0,1622.0,288.0,14.0,2702.0,4448.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-03-31,620.0,1622.0,286.0,764.0,5014.0,7110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-01,914.0,1718.0,1842.0,1070.0,5716.0,7696.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-02,1956.0,4386.0,8676.0,5348.0,9814.0,10152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-03,2520.0,5498.0,15826.0,8022.0,11882.0,10916.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-04,2504.0,6550.0,24128.0,9676.0,12336.0,11596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-07,2380.0,5958.0,26124.0,10560.0,13152.0,12440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-08,1616.0,5758.0,29710.0,10182.0,13948.0,11782.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-09,1698.0,7602.0,37534.0,10342.0,14496.0,11658.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-10,1668.0,7056.0,35800.0,12048.0,14570.0,11574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-11,1652.0,7484.0,38978.0,14148.0,14110.0,10888.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-14,1586.0,7138.0,40382.0,14232.0,13180.0,10738.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-15,1576.0,7850.0,44652.0,13668.0,12864.0,10308.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-16,1594.0,8110.0,46804.0,12094.0,12266.0,9802.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-17,1664.0,9166.0,59692.0,13008.0,12746.0,9804.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-18,1624.0,9146.0,62818.0,13646.0,12868.0,9804.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-21,1614.0,8812.0,54986.0,13156.0,12932.0,9728.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-22,1544.0,8480.0,52808.0,13164.0,13052.0,9544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-23,1538.0,8422.0,54092.0,13184.0,13276.0,9528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-24,1526.0,8552.0,53190.0,13280.0,13118.0,7830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-25,1526.0,8834.0,53208.0,13330.0,13114.0,7770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-28,1510.0,9260.0,55346.0,13394.0,13616.0,7736.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-29,1492.0,10248.0,53714.0,14062.0,14452.0,7686.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-04-30,1518.0,10076.0,53858.0,14364.0,14628.0,7682.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-12,1376.0,10120.0,65584.0,15260.0,14506.0,5210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-13,1466.0,10146.0,68328.0,15254.0,14892.0,5258.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-14,1484.0,13170.0,87752.0,15538.0,14902.0,5286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-15,1140.0,10976.0,81922.0,15274.0,14078.0,5080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-16,788.0,10782.0,95808.0,18548.0,14966.0,4838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-19,342.0,9932.0,101798.0,19642.0,15422.0,4214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-20,2.0,8442.0,95904.0,19994.0,15022.0,4130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-21,40.0,8476.0,108904.0,21534.0,14944.0,3984.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-22,0.0,9472.0,110648.0,22950.0,15126.0,3970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-23,0.0,9878.0,115354.0,25874.0,15144.0,3964.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-26,0.0,9754.0,130566.0,28418.0,15750.0,3774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-27,0.0,9764.0,134622.0,31364.0,17818.0,3742.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-28,0.0,9488.0,137804.0,41812.0,21938.0,5630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-29,0.0,8822.0,126220.0,41408.0,22012.0,5638.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-05-30,0.0,8700.0,129642.0,42284.0,21664.0,5176.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
