,CY801.CZC,CY802.CZC,CY803.CZC,CY804.CZC,CY805.CZC,CY806.CZC,CY807.CZC,CY808.CZC,CY809.CZC,CY810.CZC,CY811.CZC,CY812.CZC,CY901.CZC,CY902.CZC,CY903.CZC
2017-07-31,,,,,,,,,,,,,,,
2017-08-01,,,,,,,,,,,,,,,
2017-08-02,,,,,,,,,,,,,,,
2017-08-03,,,,,,,,,,,,,,,
2017-08-04,,,,,,,,,,,,,,,
2017-08-07,,,,,,,,,,,,,,,
2017-08-08,,,,,,,,,,,,,,,
2017-08-09,,,,,,,,,,,,,,,
2017-08-10,,,,,,,,,,,,,,,
2017-08-11,,,,,,,,,,,,,,,
2017-08-14,,,,,,,,,,,,,,,
2017-08-15,,,,,,,,,,,,,,,
2017-08-16,,,,,,,,,,,,,,,
2017-08-17,,,,,,,,,,,,,,,
2017-08-18,22995.0,23050.0,,,22900.0,,,,,,,,,,
2017-08-21,23005.0,22945.0,,,22920.0,,,,,,,,,,
2017-08-22,23005.0,22380.0,,,22885.0,,,,,,,,,,
2017-08-23,23080.0,,,,23000.0,,,,,,,,,,
2017-08-24,23070.0,,,,22980.0,,,,,,,,,,
2017-08-25,23040.0,,,,22805.0,,,,,,,,,,
2017-08-28,23055.0,,23330.0,,22925.0,,,,,,,,,,
2017-08-29,23100.0,,22695.0,,23000.0,,,,,,,,,,
2017-08-30,23025.0,,,,22945.0,,,,,,,,,,
2017-08-31,23030.0,,,,22915.0,,,,,,,,,,
2017-09-01,23020.0,,,,22750.0,,,,,,,,,,
2017-09-04,23055.0,,,,22950.0,,,,,,,,,,
2017-09-05,23425.0,,,,23110.0,,,,,,,,,,
2017-09-06,23535.0,,,,23335.0,,,,,,,,,,
2017-09-07,23365.0,,,,23175.0,,,,,,,,,,
2017-09-08,23325.0,,,,23230.0,,,,,,,,,,
2017-09-11,23105.0,23550.0,,,23225.0,,,,,,,,,,
2017-09-12,23165.0,,,,23390.0,,,,,,,,,,
2017-09-13,23190.0,,,,23395.0,,,,,,,,,,
2017-09-14,23125.0,,,,23170.0,,,,,,,,,,
2017-09-15,23075.0,,,,23100.0,,,,,,,,,,
2017-09-18,23030.0,,,,23110.0,,,,,,,,,,
2017-09-19,23160.0,,,,23095.0,,,,,,,,,,
2017-09-20,23085.0,,,,23125.0,,,,,,,,,,
2017-09-21,23390.0,23135.0,22740.0,21115.0,23425.0,,,,,,,,,,
2017-09-22,23235.0,23265.0,23575.0,,23195.0,,,,,,,,,,
2017-09-25,23145.0,,,,23200.0,,,,,,,,,,
2017-09-26,23255.0,,,,23255.0,,,,,,,,,,
2017-09-27,23300.0,23225.0,,,23285.0,,,,,,,,,,
2017-09-28,23080.0,,,,23140.0,22300.0,,,,,,,,,
2017-09-29,22845.0,,,23680.0,23095.0,,,,,,,,,,
2017-10-09,23055.0,,,,22860.0,,,,,,,,,,
2017-10-10,22980.0,,,,22845.0,,,,,,,,,,
2017-10-11,22995.0,,,23200.0,22875.0,,,,,,,,,,
2017-10-12,22900.0,,,,22850.0,,,,,,,,,,
2017-10-13,22940.0,,,,,,,,,,,,,,
2017-10-16,23000.0,,,,22905.0,,,,,,,,,,
2017-10-17,23005.0,,,,,,,,,,,,,,
2017-10-18,22990.0,,,,22905.0,,,,,,,,,,
2017-10-19,23035.0,,,,22810.0,,,,,,,,,,
2017-10-20,22905.0,,,,22570.0,,,,,,,,,,
2017-10-23,22845.0,,,,22700.0,,,,,,,,,,
2017-10-24,22895.0,,,,,,,,,23865.0,,,,,
2017-10-25,22920.0,,,,22885.0,,,,,22950.0,,,,,
2017-10-26,22930.0,,,,22755.0,,,,,22950.0,,,,,
2017-10-27,22940.0,,,,22855.0,,,,,,,,,,
2017-10-30,22885.0,,,,22725.0,,,,,,,,,,
2017-10-31,22915.0,,,,,,,,,,,,,,
2017-11-01,22995.0,,,,22960.0,,,,,,,,,,
2017-11-02,22900.0,,,,,,,,,,,,,,
2017-11-03,23040.0,,,,22895.0,,,,,,,,,,
2017-11-06,23070.0,,,,22940.0,,,,,,,,,,
2017-11-07,23060.0,,,,22985.0,,,,,,,,,,
2017-11-08,23165.0,,23020.0,,,,,,,,,,,,
2017-11-09,23075.0,,,,23000.0,,,,,,,,,,
2017-11-10,23080.0,,,,22925.0,,,,,,,,,,
2017-11-13,23015.0,,,,22960.0,,,,,22935.0,,,,,
2017-11-14,23160.0,,,,23240.0,,,,,,,,,,
2017-11-15,23050.0,,,,23035.0,,,,,,,,,,
2017-11-16,23040.0,,,,,,,,,,,,,,
2017-11-17,23030.0,,,,,,,,,,,,,,
2017-11-20,23005.0,,,,,,,,,,,,,,
2017-11-21,22905.0,,,,22875.0,,,,,,,,,,
2017-11-22,22890.0,,,,23190.0,,,,,,,,,,
2017-11-23,22900.0,,,,22980.0,,,,,,,,,,
2017-11-24,22915.0,,,,22970.0,,,,,,,,,,
2017-11-27,22910.0,,,,22795.0,,,,,,,,,,
2017-11-28,23025.0,,,,22970.0,,,,,,,,,,
2017-11-29,23210.0,,,,23100.0,,,,,,,,,,
2017-11-30,23100.0,,,,23170.0,,,,23825.0,,,,,,
2017-12-01,23125.0,,,,23200.0,,,,23005.0,,,,,,
2017-12-04,23130.0,,,,23200.0,,,,23445.0,,,,,,
2017-12-05,23200.0,,,,,,,,23710.0,,,,,,
2017-12-06,23110.0,,,,23105.0,,,,23680.0,,,,,,
2017-12-07,23130.0,,,,23120.0,,,,23485.0,,,,,,
2017-12-08,23090.0,,,,23200.0,,,,23350.0,,,,,,
2017-12-11,23035.0,,,,23100.0,,,,23450.0,,,,,,
2017-12-12,23090.0,,,,23175.0,,,,,,,,,,
2017-12-13,23750.0,,,,23150.0,,,,23495.0,,,,,,
2017-12-14,23445.0,,,,23205.0,,,,23120.0,,,,,,
2017-12-15,23540.0,,,,23045.0,,,,,,,,,,
2017-12-18,23130.0,,,,23195.0,,,,23355.0,,,,,,
2017-12-19,23285.0,22805.0,,,23235.0,,,,,,,,,,
2017-12-20,23075.0,,,,23105.0,,,,,,,,,,
2017-12-21,23190.0,,,,23030.0,,,,,,,,,,
2017-12-22,22445.0,,,,23175.0,,,,23235.0,,,,,,
2017-12-25,23150.0,,,,23165.0,,,,,,,,,,
2017-12-26,22955.0,,,,23055.0,,,,22995.0,,,,,,
2017-12-27,22850.0,,,,23185.0,,,,,,,,,,
2017-12-28,22890.0,,,,23150.0,,,,23235.0,,,,,,
2017-12-29,22950.0,,,,23100.0,,,,23235.0,,,,,,
2018-01-02,22800.0,,22600.0,,22800.0,,,,,,,,,,
2018-01-03,,,,,23180.0,,,,23305.0,,24650.0,,,,
2018-01-04,,,,,23025.0,,,,,,23195.0,,,,
2018-01-05,22800.0,,,,22950.0,,,,,,,,,,
2018-01-08,,,,,23205.0,,,,,,,,,,
2018-01-09,,,,,23075.0,,,,23125.0,,,,,,
2018-01-10,,,,,23080.0,,,,23220.0,,,,,,
2018-01-11,,,,,,,,,,,,,,,
2018-01-12,,,,,23220.0,,,,23125.0,,,,,,
2018-01-15,,,,,23030.0,,,,,,,,,,
2018-01-16,,,,,23030.0,,,,,,,,,,
2018-01-17,,,,,23070.0,,,,23015.0,,,,,,
2018-01-18,,,,,23040.0,,,,,,,,,,
2018-01-19,,,,,23385.0,,,,,,,,,,
2018-01-22,,,,,23220.0,,,,,,,,,,
2018-01-23,,,,,23415.0,,,,,,,,,,
2018-01-24,,,,,23420.0,,,24900.0,23000.0,,24270.0,25200.0,,,
2018-01-25,,,,,23550.0,,,,,,,,21660.0,,
2018-01-26,,,,,23425.0,,,,23250.0,,,,23000.0,,
2018-01-29,,,,,23410.0,,,,,,,,,,
2018-01-30,,,,,23260.0,,,,23005.0,,,,,,
2018-01-31,,,,,23330.0,,,,22265.0,,,,,,
2018-02-01,,,,,23305.0,,,,23120.0,,24580.0,,,,
2018-02-02,,,,,23230.0,,,,22995.0,,,,,,
2018-02-05,,,,,23225.0,,,,,,,,,,
2018-02-06,,,,,23325.0,,,,,,,,,,
2018-02-07,,,,,23260.0,,,,,,,,,,
2018-02-08,,,,,23160.0,,,,,,,,,,
2018-02-09,,,,,23265.0,,,,,,,,,,
2018-02-12,,,,,23345.0,,,,,,,,,,
2018-02-13,,,,,22695.0,,,,,,,,,,
2018-02-14,,,,,22915.0,,,,23120.0,,,,,,
2018-02-22,,,,,,,,,,,,,,,
2018-02-23,,,,,,,,,,,,,,,
2018-02-26,,,,,,,,,23215.0,,,,,,
2018-02-27,,,,,,,,,,,,,,,
2018-02-28,,,,,,,,,,,,,,,
2018-03-01,,,,,,,,,,,,,,,
2018-03-02,,,,,,,,,23305.0,,,,,,
2018-03-05,,,,,23070.0,,,,23095.0,,,,,,
2018-03-06,,,,,,,,,23280.0,,,,,,
2018-03-07,,,,,23125.0,,,,,,,,,,
2018-03-08,,,,,23100.0,,,23500.0,23300.0,,,,,,
2018-03-09,,,,,,,,,,,,,,,
2018-03-12,,,,,23130.0,,,,22505.0,,,,,,
2018-03-13,,,,,,,,,23345.0,,,,,,
2018-03-14,,,,,23185.0,,,,23350.0,,,,,,
2018-03-15,,,,,,,,,,,,,,,
2018-03-16,,,,,,,,,,,,,,,
2018-03-19,,,,,22480.0,,,,,,,,,,
2018-03-20,,,,,,,,,23515.0,,,,,,
2018-03-21,,,,,,,,,,,,,,,
2018-03-22,,,,,22980.0,,,,,,,,,,
2018-03-23,,,,,23210.0,,,,,,,,,,
2018-03-26,,,,,22300.0,,,,23425.0,,,,,,
2018-03-27,,,,,23550.0,,,,24065.0,,,,,,
2018-03-28,,,,,,,,,23045.0,25920.0,,,,,
2018-03-29,,,,,,,,,23160.0,24220.0,,,,,
