,IC1505.CFE,IC1506.CFE,IC1507.CFE,IC1508.CFE,IC1509.CFE,IC1510.CFE,IC1511.CFE,IC1512.CFE,IC1601.CFE,IC1602.CFE,IC1603.CFE,IC1604.CFE,IC1605.CFE,IC1606.CFE,IC1607.CFE,IC1608.CFE,IC1609.CFE,IC1610.CFE,IC1611.CFE,IC1612.CFE,IC1701.CFE,IC1702.CFE,IC1703.CFE,IC1704.CFE,IC1705.CFE,IC1706.CFE,IC1707.CFE,IC1708.CFE,IC1709.CFE,IC1710.CFE,IC1711.CFE,IC1712.CFE,IC1801.CFE,IC1802.CFE,IC1803.CFE,IC1804.CFE,IC1805.CFE,IC1806.CFE,IC1809.CFE,IC1812.CFE
2015-04-16,7681.0,7520.0,,,7752.8,,,7799.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,7722.0,7651.4,,,7649.0,,,7625.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20,7760.0,7719.4,,,7590.0,,,7559.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,7650.2,7550.2,,,7481.6,,,7462.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,8158.0,8135.2,,,8075.2,,,7959.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,8193.0,8108.0,,,8029.0,,,7942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,8247.8,8167.8,,,8080.0,,,8015.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,8368.0,8220.4,,,8177.6,,,8039.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,8308.0,8262.0,,,8144.2,,,8074.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,8138.0,8066.6,,,8076.6,,,7900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,8320.0,8236.8,,,8139.4,,,8056.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,8370.2,8274.8,,,8200.0,,,8060.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,8334.8,8217.2,,,8121.8,,,8012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,8168.0,8118.2,,,7935.4,,,7830.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,8020.0,7900.0,,,7804.0,,,7710.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,7933.4,7894.8,,,7775.8,,,7660.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-11,8170.0,8118.8,,,7976.6,,,7899.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,8499.6,8394.0,,,8220.2,,,8132.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-13,8595.0,8500.0,,,8319.6,,,8182.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-14,8689.0,8530.0,,,8367.4,,,8192.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,8754.8,8610.0,,,8348.0,,,8147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-18,,8640.6,8597.6,,8385.0,,,8282.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-19,,8805.6,8705.6,,8591.0,,,8432.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-20,,9121.8,9003.2,,9000.8,,,8838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-21,,9311.4,9244.2,,9195.0,,,9070.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-22,,9783.0,9652.2,,9601.0,,,9500.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-25,,9610.0,9460.2,,9498.0,,,9249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-26,,9988.0,9919.0,,9808.0,,,9649.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-27,,10598.4,10512.8,,10395.2,,,10245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-28,,10580.0,10637.8,,10600.0,,,10450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-29,,10126.8,10098.0,,10066.0,,,9858.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-01,,10170.2,10600.0,,10260.0,,,10099.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-02,,11058.0,11058.8,,11002.2,,,10922.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-03,,11281.2,11352.2,,11506.2,,,11441.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-04,,11127.0,11134.4,,11435.0,,,11176.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-05,,10900.0,10915.0,,10980.0,,,10657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-08,,10840.0,10830.0,,10896.4,,,10692.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-09,,10599.0,10542.4,,10450.8,,,10274.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-10,,10608.0,10601.8,,10570.0,,,10152.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-11,,11094.8,10920.2,,10855.4,,,10617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-12,,11293.0,11121.0,,11098.8,,,10844.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-15,,11461.4,11406.0,,11355.4,,,11181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
