,LR1411.CZC,LR1501.CZC,LR1503.CZC,LR1505.CZC,LR1507.CZC,LR1509.CZC,LR1511.CZC,LR1601.CZC,LR1603.CZC,LR1605.CZC,LR607.CZC,LR609.CZC,LR611.CZC,LR701.CZC,LR703.CZC,LR705.CZC,LR707.CZC,LR709.CZC,LR711.CZC,LR801.CZC,LR803.CZC,LR805.CZC,LR807.CZC,LR809.CZC,LR811.CZC,LR901.CZC,LR903.CZC
2014-07-08,2772.0,2760.0,2812.0,2756.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-09,2793.0,2820.0,,2788.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-10,2783.0,2805.0,,2756.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-11,2816.0,2805.0,,2758.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-14,2868.0,2828.0,,2750.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-15,2825.0,2833.0,,2750.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-16,,2833.0,,2770.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-17,,2823.0,,2786.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-18,2823.0,2811.0,,2770.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-21,,2808.0,,2781.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-22,,2817.0,,2776.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-23,,2823.0,,2780.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-24,,2822.0,,2789.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-25,,2836.0,,2826.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-28,,2865.0,,2850.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-29,2867.0,2880.0,,2782.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-30,2881.0,2886.0,,2826.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-31,2877.0,2880.0,,2840.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-01,,2875.0,,2838.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-04,,2868.0,,2824.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-05,,2857.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-06,,2848.0,,2824.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-07,,2852.0,,2830.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-08,,2841.0,,2830.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-11,,2850.0,,2858.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-12,,2856.0,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-13,,2858.0,,2827.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-14,,2859.0,2778.0,2821.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-15,,2852.0,,2833.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-18,,2879.0,,2830.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-19,,2842.0,,2814.0,,,,,,,,,,,,,,,,,,,,,,,
2014-08-20,,2840.0,,2821.0,,,,,,,,,,,,,,,,,,,,,,,
