,RS1307.CZC,RS1308.CZC,RS1309.CZC,RS1311.CZC,RS1407.CZC,RS1408.CZC,RS1409.CZC,RS1411.CZC,RS1507.CZC,RS1508.CZC,RS1509.CZC,RS1511.CZC,RS607.CZC,RS608.CZC,RS609.CZC,RS611.CZC,RS707.CZC,RS708.CZC,RS709.CZC,RS711.CZC,RS807.CZC,RS808.CZC,RS809.CZC,RS811.CZC
2012-12-28,5303.0,5298.0,5320.0,5310.0,,,,,,,,,,,,,,,,,,,,
2012-12-31,5297.0,5318.0,5274.0,5293.0,,,,,,,,,,,,,,,,,,,,
2013-01-04,5312.0,5369.0,5273.0,5275.0,,,,,,,,,,,,,,,,,,,,
2013-01-07,5375.0,5481.0,5333.0,5340.0,,,,,,,,,,,,,,,,,,,,
2013-01-08,5458.0,5435.0,5460.0,5377.0,,,,,,,,,,,,,,,,,,,,
2013-01-09,5504.0,5493.0,5422.0,5367.0,,,,,,,,,,,,,,,,,,,,
2013-01-10,5470.0,5467.0,5460.0,5352.0,,,,,,,,,,,,,,,,,,,,
2013-01-11,5493.0,,5460.0,5360.0,,,,,,,,,,,,,,,,,,,,
2013-01-14,5471.0,5472.0,5447.0,5332.0,,,,,,,,,,,,,,,,,,,,
2013-01-15,5499.0,,5483.0,5354.0,,,,,,,,,,,,,,,,,,,,
2013-01-16,5451.0,5483.0,5431.0,5299.0,,,,,,,,,,,,,,,,,,,,
2013-01-17,5435.0,5448.0,5462.0,5297.0,,,,,,,,,,,,,,,,,,,,
2013-01-18,5460.0,5506.0,5424.0,5329.0,,,,,,,,,,,,,,,,,,,,
2013-01-21,5463.0,5454.0,5444.0,5314.0,,,,,,,,,,,,,,,,,,,,
2013-01-22,,,5423.0,5300.0,,,,,,,,,,,,,,,,,,,,
2013-01-23,5436.0,,5440.0,5302.0,,,,,,,,,,,,,,,,,,,,
2013-01-24,5481.0,,5470.0,5306.0,,,,,,,,,,,,,,,,,,,,
2013-01-25,5382.0,,5368.0,5252.0,,,,,,,,,,,,,,,,,,,,
2013-01-28,5386.0,5558.0,5385.0,5265.0,,,,,,,,,,,,,,,,,,,,
2013-01-29,,,5382.0,5267.0,,,,,,,,,,,,,,,,,,,,
2013-01-30,,,5384.0,5267.0,,,,,,,,,,,,,,,,,,,,
2013-01-31,5430.0,,5427.0,5288.0,,,,,,,,,,,,,,,,,,,,
2013-02-01,,5538.0,5426.0,5274.0,,,,,,,,,,,,,,,,,,,,
2013-02-04,5444.0,,5420.0,5300.0,,,,,,,,,,,,,,,,,,,,
2013-02-05,5435.0,5333.0,5431.0,5304.0,,,,,,,,,,,,,,,,,,,,
2013-02-06,,,5421.0,5280.0,,,,,,,,,,,,,,,,,,,,
2013-02-07,,5414.0,5404.0,5285.0,,,,,,,,,,,,,,,,,,,,
2013-02-08,5406.0,,5399.0,5278.0,,,,,,,,,,,,,,,,,,,,
2013-02-18,,,5360.0,5265.0,,,,,,,,,,,,,,,,,,,,
2013-02-19,5445.0,5353.0,5411.0,5251.0,,,,,,,,,,,,,,,,,,,,
2013-02-20,5431.0,,5447.0,5296.0,,,,,,,,,,,,,,,,,,,,
2013-02-21,,,5420.0,5277.0,,,,,,,,,,,,,,,,,,,,
2013-02-22,,,5430.0,5277.0,,,,,,,,,,,,,,,,,,,,
2013-02-25,5372.0,5390.0,5391.0,5274.0,,,,,,,,,,,,,,,,,,,,
2013-02-26,5366.0,,5370.0,5244.0,,,,,,,,,,,,,,,,,,,,
2013-02-27,5366.0,5444.0,5380.0,5226.0,,,,,,,,,,,,,,,,,,,,
2013-02-28,5326.0,,5350.0,5202.0,,,,,,,,,,,,,,,,,,,,
2013-03-01,,,5310.0,5164.0,,,,,,,,,,,,,,,,,,,,
2013-03-04,5302.0,,5300.0,5148.0,,,,,,,,,,,,,,,,,,,,
2013-03-05,,,5315.0,5195.0,,,,,,,,,,,,,,,,,,,,
2013-03-06,5300.0,,5306.0,5154.0,,,,,,,,,,,,,,,,,,,,
2013-03-07,,,5295.0,5150.0,,,,,,,,,,,,,,,,,,,,
2013-03-08,,,5280.0,5160.0,,,,,,,,,,,,,,,,,,,,
2013-03-11,5367.0,5426.0,5315.0,5187.0,,,,,,,,,,,,,,,,,,,,
2013-03-12,,,5272.0,5155.0,,,,,,,,,,,,,,,,,,,,
2013-03-13,5302.0,,5310.0,5160.0,,,,,,,,,,,,,,,,,,,,
2013-03-14,,,5290.0,5150.0,,,,,,,,,,,,,,,,,,,,
2013-03-15,,,5317.0,5164.0,,,,,,,,,,,,,,,,,,,,
2013-03-18,5289.0,,5291.0,5144.0,,,,,,,,,,,,,,,,,,,,
2013-03-19,,,5299.0,5156.0,,,,,,,,,,,,,,,,,,,,
2013-03-20,,,5282.0,5252.0,,,,,,,,,,,,,,,,,,,,
2013-03-21,,,5297.0,5164.0,,,,,,,,,,,,,,,,,,,,
2013-03-22,,,5306.0,5166.0,,,,,,,,,,,,,,,,,,,,
2013-03-25,,5167.0,5286.0,5175.0,,,,,,,,,,,,,,,,,,,,
2013-03-26,,,5283.0,5164.0,,,,,,,,,,,,,,,,,,,,
2013-03-27,,,5297.0,5159.0,,,,,,,,,,,,,,,,,,,,
2013-03-28,,,5293.0,5156.0,,,,,,,,,,,,,,,,,,,,
2013-03-29,,5060.0,5268.0,5116.0,,,,,,,,,,,,,,,,,,,,
2013-04-01,,,5260.0,5149.0,,,,,,,,,,,,,,,,,,,,
2013-04-02,,,5260.0,5118.0,,,,,,,,,,,,,,,,,,,,
2013-04-03,5180.0,5288.0,5263.0,5159.0,,,,,,,,,,,,,,,,,,,,
2013-04-08,,,5252.0,5128.0,,,,,,,,,,,,,,,,,,,,
2013-04-09,,,5258.0,5130.0,,,,,,,,,,,,,,,,,,,,
2013-04-10,,,5240.0,5115.0,,,,,,,,,,,,,,,,,,,,
2013-04-11,,,5257.0,5126.0,,,,,,,,,,,,,,,,,,,,
2013-04-12,,,5263.0,5127.0,,,,,,,,,,,,,,,,,,,,
2013-04-15,,,5275.0,5139.0,,,,,,,,,,,,,,,,,,,,
2013-04-16,5435.0,,5245.0,5110.0,,,,,,,,,,,,,,,,,,,,
2013-04-17,,,5266.0,5121.0,,,,,,,,,,,,,,,,,,,,
2013-04-18,5095.0,,5263.0,5102.0,,,,,,,,,,,,,,,,,,,,
2013-04-19,,,5269.0,5122.0,,,,,,,,,,,,,,,,,,,,
2013-04-22,,,5280.0,5129.0,,,,,,,,,,,,,,,,,,,,
2013-04-23,,,5265.0,5112.0,,,,,,,,,,,,,,,,,,,,
2013-04-24,,,5267.0,5130.0,,,,,,,,,,,,,,,,,,,,
2013-04-25,,,5243.0,5104.0,,,,,,,,,,,,,,,,,,,,
2013-04-26,,,5241.0,5105.0,,,,,,,,,,,,,,,,,,,,
2013-05-02,,,5220.0,5108.0,,,,,,,,,,,,,,,,,,,,
2013-05-03,,,5242.0,5127.0,,,,,,,,,,,,,,,,,,,,
2013-05-06,,,5247.0,5132.0,,,,,,,,,,,,,,,,,,,,
2013-05-07,,5490.0,5268.0,5143.0,,,,,,,,,,,,,,,,,,,,
2013-05-08,,,5253.0,5136.0,,,,,,,,,,,,,,,,,,,,
2013-05-09,,5560.0,5256.0,5139.0,,,,,,,,,,,,,,,,,,,,
2013-05-10,,,5255.0,5152.0,,,,,,,,,,,,,,,,,,,,
2013-05-13,,,5250.0,5122.0,,,,,,,,,,,,,,,,,,,,
2013-05-14,,,5238.0,5130.0,,,,,,,,,,,,,,,,,,,,
2013-05-15,,,5241.0,5133.0,,,,,,,,,,,,,,,,,,,,
2013-05-16,,,5241.0,5131.0,,,,,,,,,,,,,,,,,,,,
2013-05-17,,5575.0,5238.0,,,,,,,,,,,,,,,,,,,,,
2013-05-20,,,5235.0,5137.0,,,,,,,,,,,,,,,,,,,,
2013-05-21,,5440.0,5223.0,5137.0,,,,,,,,,,,,,,,,,,,,
2013-05-22,,5255.0,5228.0,5166.0,,,,,,,,,,,,,,,,,,,,
2013-05-23,,,5231.0,5142.0,,,,,,,,,,,,,,,,,,,,
2013-05-24,,5118.0,5220.0,,,,,,,,,,,,,,,,,,,,,
2013-05-27,,,5215.0,,,,,,,,,,,,,,,,,,,,,
2013-05-28,,5125.0,5200.0,,,,,,,,,,,,,,,,,,,,,
2013-05-29,,,5207.0,5148.0,,,,,,,,,,,,,,,,,,,,
2013-05-30,,,5204.0,,,,,,,,,,,,,,,,,,,,,
2013-05-31,5495.0,5125.0,5188.0,5137.0,,,,,,,,,,,,,,,,,,,,
2013-06-03,,5351.0,5184.0,5113.0,,,,,,,,,,,,,,,,,,,,
2013-06-04,,5175.0,5186.0,5113.0,,,,,,,,,,,,,,,,,,,,
2013-06-05,,,5121.0,5121.0,,,,,,,,,,,,,,,,,,,,
2013-06-06,,,5155.0,5167.0,,,,,,,,,,,,,,,,,,,,
2013-06-07,,,5131.0,5111.0,,,,,,,,,,,,,,,,,,,,
2013-06-13,,,5121.0,5100.0,,,,,,,,,,,,,,,,,,,,
2013-06-14,,,5125.0,5116.0,,,,,,,,,,,,,,,,,,,,
2013-06-17,,,5135.0,5131.0,,,,,,,,,,,,,,,,,,,,
2013-06-18,,,5145.0,5141.0,,,,,,,,,,,,,,,,,,,,
2013-06-19,,,5160.0,5164.0,,,,,,,,,,,,,,,,,,,,
2013-06-20,,,5177.0,5147.0,,,,,,,,,,,,,,,,,,,,
2013-06-21,,,5170.0,5129.0,,,,,,,,,,,,,,,,,,,,
2013-06-24,,,5200.0,,,,,,,,,,,,,,,,,,,,,
2013-06-25,,,5198.0,,,,,,,,,,,,,,,,,,,,,
2013-06-26,,,5216.0,,,,,,,,,,,,,,,,,,,,,
2013-06-27,,,5204.0,5100.0,,,,,,,,,,,,,,,,,,,,
2013-06-28,,,5180.0,,,,,,,,,,,,,,,,,,,,,
2013-07-01,,,5180.0,,,,,,,,,,,,,,,,,,,,,
2013-07-02,,,5186.0,5099.0,,,,,,,,,,,,,,,,,,,,
2013-07-03,,,5195.0,5156.0,,,,,,,,,,,,,,,,,,,,
2013-07-04,,,5201.0,5102.0,,,,,,,,,,,,,,,,,,,,
2013-07-05,,,5173.0,5187.0,,,,,,,,,,,,,,,,,,,,
2013-07-08,,,5185.0,,,,,,,,,,,,,,,,,,,,,
2013-07-09,,,5180.0,,,,,,,,,,,,,,,,,,,,,
2013-07-10,,,5166.0,5082.0,,,,,,,,,,,,,,,,,,,,
2013-07-11,,,5179.0,5161.0,,,,,,,,,,,,,,,,,,,,
2013-07-12,,,5164.0,5160.0,,,,,,,,,,,,,,,,,,,,
2013-07-15,,,5179.0,,,,,,,,,,,,,,,,,,,,,
2013-07-16,,,5185.0,5100.0,,,,,,,,,,,,,,,,,,,,
2013-07-17,,,5167.0,,,,,,,,,,,,,,,,,,,,,
2013-07-18,,,5139.0,,5425.0,,,,,,,,,,,,,,,,,,,
2013-07-19,,,5143.0,5101.0,,,,,,,,,,,,,,,,,,,,
2013-07-22,,,5138.0,,,,,,,,,,,,,,,,,,,,,
2013-07-23,,,5150.0,,,,,,,,,,,,,,,,,,,,,
2013-07-24,,,5146.0,5138.0,,,,,,,,,,,,,,,,,,,,
2013-07-25,,,5158.0,,,,,,,,,,,,,,,,,,,,,
2013-07-26,,,5163.0,5145.0,4948.0,,,,,,,,,,,,,,,,,,,
2013-07-29,,,5146.0,,4990.0,,,,,,,,,,,,,,,,,,,
2013-07-30,,,5155.0,5148.0,,,,,,,,,,,,,,,,,,,,
2013-07-31,,,5121.0,5099.0,,,,,,,,,,,,,,,,,,,,
2013-08-01,,,5127.0,,,,,,,,,,,,,,,,,,,,,
2013-08-02,,,5120.0,,,,,,,,,,,,,,,,,,,,,
2013-08-05,,,5131.0,5100.0,,,,,,,,,,,,,,,,,,,,
2013-08-06,,,5140.0,5046.0,4877.0,,,,,,,,,,,,,,,,,,,
2013-08-07,,,5154.0,4982.0,,,,,,,,,,,,,,,,,,,,
2013-08-08,,,5174.0,5098.0,,,,,,,,,,,,,,,,,,,,
2013-08-09,,,5185.0,5080.0,4759.0,,,,,,,,,,,,,,,,,,,
2013-08-12,,,5202.0,5100.0,,,,,,,,,,,,,,,,,,,,
2013-08-13,,,5314.0,5139.0,4999.0,,,,,,,,,,,,,,,,,,,
2013-08-14,,,5230.0,5124.0,5184.0,,,,,,,,,,,,,,,,,,,
2013-08-15,,,5224.0,5100.0,,,,,,,,,,,,,,,,,,,,
2013-08-16,,,5170.0,5051.0,,,,,,,,,,,,,,,,,,,,
2013-08-19,,,5150.0,5115.0,,4808.0,,,,,,,,,,,,,,,,,,
2013-08-20,,,5112.0,5070.0,,,,,,,,,,,,,,,,,,,,
2013-08-21,,,5070.0,5055.0,,,,,,,,,,,,,,,,,,,,
2013-08-22,,,5122.0,5072.0,,,,,,,,,,,,,,,,,,,,
2013-08-23,,,5100.0,5198.0,,,,,,,,,,,,,,,,,,,,
2013-08-26,,,5000.0,5073.0,5143.0,,,,,,,,,,,,,,,,,,,
2013-08-27,,,5150.0,5131.0,,,,,,,,,,,,,,,,,,,,
2013-08-28,,,5144.0,,,,,,,,,,,,,,,,,,,,,
2013-08-29,,,5132.0,,,,,,,,,,,,,,,,,,,,,
2013-08-30,,,5100.0,,,,,,,,,,,,,,,,,,,,,
2013-09-02,,,,5150.0,,,,,,,,,,,,,,,,,,,,
2013-09-03,,,,5142.0,,,,,,,,,,,,,,,,,,,,
2013-09-04,,,,5110.0,5153.0,,,,,,,,,,,,,,,,,,,
2013-09-05,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-06,,,,5160.0,,,,,,,,,,,,,,,,,,,,
2013-09-09,,,,5125.0,,,,,,,,,,,,,,,,,,,,
2013-09-10,,,,5158.0,5050.0,,,,,,,,,,,,,,,,,,,
2013-09-11,,,,,5059.0,,,,,,,,,,,,,,,,,,,
2013-09-12,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-13,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-16,,,,5150.0,4811.0,5249.0,5257.0,,,,,,,,,,,,,,,,,
2013-09-17,,,,5103.0,5020.0,,,,,,,,,,,,,,,,,,,
2013-09-18,,,,5104.0,,5117.0,5078.0,,,,,,,,,,,,,,,,,
2013-09-23,,,,5106.0,5060.0,,5065.0,,,,,,,,,,,,,,,,,
2013-09-24,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-25,,,,5110.0,,,,,,,,,,,,,,,,,,,,
2013-09-26,,,,5159.0,5060.0,,,,,,,,,,,,,,,,,,,
2013-09-27,,,,5124.0,4901.0,,4950.0,,,,,,,,,,,,,,,,,
2013-09-30,,,,5198.0,5050.0,,5070.0,,,,,,,,,,,,,,,,,
2013-10-08,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-09,,,,5189.0,,,,,,,,,,,,,,,,,,,,
2013-10-10,,,,5147.0,4910.0,,,,,,,,,,,,,,,,,,,
2013-10-11,,,,5148.0,,,4980.0,,,,,,,,,,,,,,,,,
2013-10-14,,,,5149.0,5049.0,,5040.0,,,,,,,,,,,,,,,,,
2013-10-15,,,,,,,5002.0,,,,,,,,,,,,,,,,,
2013-10-16,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-17,,,,5250.0,,,5049.0,,,,,,,,,,,,,,,,,
2013-10-18,,,,,4901.0,,4901.0,,,,,,,,,,,,,,,,,
2013-10-21,,,,,,,5050.0,,,,,,,,,,,,,,,,,
2013-10-22,,,,,,5200.0,4993.0,,,,,,,,,,,,,,,,,
2013-10-23,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-24,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-25,,,,5155.0,,,,,,,,,,,,,,,,,,,,
2013-10-28,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-29,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-30,,,,,,,4964.0,,,,,,,,,,,,,,,,,
