,SC1809.INE,SC1810.INE,SC1811.INE,SC1812.INE,SC1901.INE,SC1902.INE,SC1903.INE,SC1906.INE,SC1909.INE,SC1912.INE,SC2003.INE,SC2006.INE,SC2009.INE,SC2012.INE,SC2103.INE,SC1904.INE
2018-03-26,440.0,417.1,384.1,420.0,431.1,,416.5,419.9,388.0,392.3,,412.5,,,,
2018-03-27,429.9,426.0,422.1,421.0,420.7,416.1,411.8,404.7,402.0,,389.8,,376.8,,390.0,
2018-03-28,429.0,424.3,419.7,420.3,416.5,415.6,411.5,403.7,391.3,385.9,379.4,372.0,378.3,,371.4,
2018-03-29,410.5,405.4,407.9,405.6,400.0,400.4,,388.4,383.2,372.5,368.4,,,,365.9,
2018-03-30,407.4,405.7,403.0,403.0,402.1,380.5,403.0,389.9,395.2,375.9,380.4,375.9,,373.0,367.7,
2018-04-02,420.5,416.0,413.8,414.3,,410.9,,395.0,,,,,,,368.3,
2018-04-03,414.3,411.0,400.4,405.9,407.6,,393.0,383.9,380.6,,382.9,,,,359.0,
2018-04-04,403.8,396.9,,399.1,,392.3,389.7,383.6,,,,,,,361.6,
2018-04-09,398.2,397.0,396.2,396.6,,,387.3,,,,,,,,,
2018-04-10,404.2,405.0,405.8,405.3,,406.1,392.0,391.1,388.8,,,,,,368.1,
2018-04-11,415.0,411.5,413.9,412.0,,,406.1,398.6,,,,,,,368.3,
2018-04-12,421.0,418.5,425.7,415.8,417.0,420.9,411.5,404.7,399.8,,,,378.7,,381.8,
2018-04-13,425.3,422.6,423.9,,418.6,,413.0,,,,,,,,,
2018-04-16,427.7,425.1,424.4,422.7,420.6,,,,,,,,,,,
2018-04-17,426.0,422.6,421.5,420.7,417.0,,,,401.7,,,,,,383.9,
2018-04-18,422.8,422.0,425.3,416.4,420.0,,,,,,,384.6,,,,
2018-04-19,435.0,434.7,431.7,429.0,430.0,432.9,426.0,418.2,411.7,,402.4,395.9,,,388.0,
2018-04-20,440.7,440.0,437.7,435.7,,,,,,,,,397.6,,,
2018-04-23,435.1,432.3,432.0,429.8,,,426.3,415.5,,,,,,,394.8,
2018-04-24,434.2,440.2,439.8,431.7,438.3,,421.7,413.1,,,,,,,399.0,
2018-04-25,447.0,444.4,441.5,439.1,,,434.0,418.8,418.5,,,,,,,
2018-04-26,437.1,435.9,434.9,435.1,437.4,,427.6,426.3,413.5,,,399.5,,,,
