,T1509.CFE,T1512.CFE,T1603.CFE,T1606.CFE,T1609.CFE,T1612.CFE,T1703.CFE,T1706.CFE,T1709.CFE,T1712.CFE,T1803.CFE,T1806.CFE,T1809.CFE,T1812.CFE
2015-03-20,96.9,97.48,97.4,,,,,,,,,,,
2015-03-23,97.095,,97.1,,,,,,,,,,,
2015-03-24,97.135,,97.905,,,,,,,,,,,
2015-03-25,97.02,97.045,,,,,,,,,,,,
2015-03-26,96.835,97.5,,,,,,,,,,,,
2015-03-27,96.3,96.98,96.98,,,,,,,,,,,
2015-03-30,96.065,96.71,98.39,,,,,,,,,,,
2015-03-31,95.8,96.125,,,,,,,,,,,,
2015-04-01,95.66,,,,,,,,,,,,,
2015-04-02,96.3,96.695,,,,,,,,,,,,
2015-04-03,96.315,,,,,,,,,,,,,
2015-04-07,96.005,96.41,97.175,,,,,,,,,,,
2015-04-08,96.0,96.08,96.5,,,,,,,,,,,
2015-04-09,95.3,95.6,96.975,,,,,,,,,,,
2015-04-10,95.35,,,,,,,,,,,,,
2015-04-13,95.18,96.03,96.38,,,,,,,,,,,
2015-04-14,95.7,96.3,96.7,,,,,,,,,,,
2015-04-15,95.9,96.4,96.88,,,,,,,,,,,
2015-04-16,96.735,,,,,,,,,,,,,
2015-04-17,96.19,96.8,,,,,,,,,,,,
2015-04-20,97.1,97.265,97.4,,,,,,,,,,,
2015-04-21,97.295,97.925,,,,,,,,,,,,
2015-04-22,97.4,98.085,97.945,,,,,,,,,,,
2015-04-23,97.365,97.995,98.465,,,,,,,,,,,
2015-04-24,97.22,97.625,97.73,,,,,,,,,,,
2015-04-27,97.08,97.255,98.205,,,,,,,,,,,
2015-04-28,97.6,98.005,98.25,,,,,,,,,,,
2015-04-29,97.67,98.09,,,,,,,,,,,,
2015-04-30,97.695,98.055,98.395,,,,,,,,,,,
2015-05-04,97.91,98.105,,,,,,,,,,,,
2015-05-05,97.51,,98.095,,,,,,,,,,,
2015-05-06,97.42,98.005,97.955,,,,,,,,,,,
2015-05-07,97.145,97.615,97.995,,,,,,,,,,,
2015-05-08,97.3,97.905,,,,,,,,,,,,
2015-05-11,97.41,98.1,98.1,,,,,,,,,,,
2015-05-12,97.31,97.45,97.815,,,,,,,,,,,
2015-05-13,97.02,97.6,97.83,,,,,,,,,,,
2015-05-14,97.42,97.77,,,,,,,,,,,,
2015-05-15,97.15,97.7,,,,,,,,,,,,
2015-05-18,97.2,97.725,97.715,,,,,,,,,,,
2015-05-19,96.695,97.185,97.735,,,,,,,,,,,
2015-05-20,96.565,97.2,97.75,,,,,,,,,,,
2015-05-21,96.9,97.3,,,,,,,,,,,,
2015-05-22,96.67,97.35,,,,,,,,,,,,
2015-05-25,96.7,97.2,,,,,,,,,,,,
2015-05-26,96.505,96.96,96.92,,,,,,,,,,,
2015-05-27,95.67,95.63,,,,,,,,,,,,
2015-05-28,95.65,96.09,96.115,,,,,,,,,,,
2015-05-29,95.08,95.65,,,,,,,,,,,,
2015-06-01,94.935,95.55,94.415,,,,,,,,,,,
2015-06-02,94.58,95.215,95.555,,,,,,,,,,,
2015-06-03,94.88,95.39,95.85,,,,,,,,,,,
2015-06-04,95.07,95.67,95.91,,,,,,,,,,,
2015-06-05,94.98,95.73,96.4,,,,,,,,,,,
2015-06-08,95.205,95.89,,,,,,,,,,,,
2015-06-09,95.54,96.125,96.375,,,,,,,,,,,
2015-06-10,95.435,95.87,96.18,,,,,,,,,,,
2015-06-11,94.98,96.475,95.605,,,,,,,,,,,
2015-06-12,94.845,95.415,95.605,,,,,,,,,,,
2015-06-15,94.55,95.085,,,,,,,,,,,,
2015-06-16,94.295,95.055,95.7,,,,,,,,,,,
2015-06-17,95.1,95.55,95.8,,,,,,,,,,,
2015-06-18,95.0,95.465,,,,,,,,,,,,
2015-06-19,95.25,95.61,95.99,,,,,,,,,,,
2015-06-23,94.895,95.33,95.8,,,,,,,,,,,
2015-06-24,94.9,95.385,,,,,,,,,,,,
2015-06-25,94.78,95.49,96.0,,,,,,,,,,,
2015-06-26,94.8,95.15,,,,,,,,,,,,
2015-06-29,95.01,95.5,95.35,,,,,,,,,,,
2015-06-30,94.6,95.19,,,,,,,,,,,,
2015-07-01,94.82,95.165,,,,,,,,,,,,
2015-07-02,94.65,95.0,,,,,,,,,,,,
2015-07-03,94.7,95.2,,,,,,,,,,,,
2015-07-06,95.5,95.61,96.12,,,,,,,,,,,
2015-07-07,96.18,96.635,,,,,,,,,,,,
2015-07-08,96.48,96.9,97.2,,,,,,,,,,,
2015-07-09,95.86,96.735,,,,,,,,,,,,
2015-07-10,96.0,96.475,96.9,,,,,,,,,,,
2015-07-13,95.85,96.5,97.255,,,,,,,,,,,
2015-07-14,95.815,96.395,96.545,,,,,,,,,,,
2015-07-15,95.38,95.95,96.48,,,,,,,,,,,
2015-07-16,95.78,96.0,96.58,,,,,,,,,,,
2015-07-17,95.75,96.325,96.8,,,,,,,,,,,
2015-07-20,95.81,96.175,96.6,,,,,,,,,,,
2015-07-21,95.7,96.135,96.45,,,,,,,,,,,
2015-07-22,95.54,95.92,96.295,,,,,,,,,,,
2015-07-23,95.775,96.0,96.49,,,,,,,,,,,
2015-07-24,95.98,96.375,96.85,,,,,,,,,,,
2015-07-27,95.895,96.405,96.67,,,,,,,,,,,
2015-07-28,96.0,96.475,96.69,,,,,,,,,,,
2015-07-29,96.045,96.43,96.885,,,,,,,,,,,
2015-07-30,96.13,96.51,96.74,,,,,,,,,,,
2015-07-31,96.1,96.585,96.765,,,,,,,,,,,
2015-08-03,95.355,96.025,96.35,,,,,,,,,,,
2015-08-04,95.555,96.14,96.545,,,,,,,,,,,
2015-08-05,95.725,96.185,96.6,,,,,,,,,,,
2015-08-06,95.545,96.05,96.37,,,,,,,,,,,
2015-08-07,95.805,96.24,96.625,,,,,,,,,,,
2015-08-10,95.93,96.375,96.78,,,,,,,,,,,
2015-08-11,95.605,95.985,96.2,,,,,,,,,,,
2015-08-12,95.12,95.55,95.815,,,,,,,,,,,
2015-08-13,95.33,95.615,96.015,,,,,,,,,,,
2015-08-14,95.325,95.535,95.97,,,,,,,,,,,
2015-08-17,95.38,95.115,95.855,,,,,,,,,,,
2015-08-18,95.17,95.425,95.86,,,,,,,,,,,
2015-08-19,95.42,95.52,95.915,,,,,,,,,,,
2015-08-20,95.495,95.335,95.65,,,,,,,,,,,
2015-08-21,95.46,95.5,95.77,,,,,,,,,,,
2015-08-24,95.535,95.55,95.845,,,,,,,,,,,
2015-08-25,95.68,95.95,95.99,,,,,,,,,,,
2015-08-26,96.43,95.95,96.05,,,,,,,,,,,
2015-08-27,97.75,96.085,96.1,,,,,,,,,,,
2015-08-28,96.31,96.28,96.33,,,,,,,,,,,
2015-08-31,96.96,96.21,96.295,,,,,,,,,,,
2015-09-01,,96.82,96.725,,,,,,,,,,,
