,TF1312.CFE,TF1403.CFE,TF1406.CFE,TF1409.CFE,TF1412.CFE,TF1503.CFE,TF1506.CFE,TF1509.CFE,TF1512.CFE,TF1603.CFE,TF1606.CFE,TF1609.CFE,TF1612.CFE,TF1703.CFE,TF1706.CFE,TF1709.CFE,TF1712.CFE,TF1803.CFE,TF1806.CFE,TF1809.CFE,TF1812.CFE,WSet: quota exceeded.
2013-09-06,94.22,94.694,94.9,,,,,,,,,,,,,,,,,,,
2013-09-09,94.156,94.26,94.306,,,,,,,,,,,,,,,,,,,
2013-09-10,93.87,94.0,94.072,,,,,,,,,,,,,,,,,,,
2013-09-11,93.718,93.792,93.962,,,,,,,,,,,,,,,,,,,
2013-09-12,93.59,93.706,93.796,,,,,,,,,,,,,,,,,,,
2013-09-13,93.7,93.828,93.906,,,,,,,,,,,,,,,,,,,
2013-09-16,93.764,93.9,93.964,,,,,,,,,,,,,,,,,,,
2013-09-17,93.87,94.002,94.06,,,,,,,,,,,,,,,,,,,
2013-09-18,94.25,94.294,94.426,,,,,,,,,,,,,,,,,,,
2013-09-23,94.55,94.6,94.446,,,,,,,,,,,,,,,,,,,
2013-09-24,94.312,94.422,94.496,,,,,,,,,,,,,,,,,,,
2013-09-25,94.35,94.444,94.496,,,,,,,,,,,,,,,,,,,
2013-09-26,94.448,94.59,94.546,,,,,,,,,,,,,,,,,,,
2013-09-27,94.55,94.596,94.606,,,,,,,,,,,,,,,,,,,
2013-09-30,94.346,94.342,94.36,,,,,,,,,,,,,,,,,,,
2013-10-08,94.52,94.564,94.546,,,,,,,,,,,,,,,,,,,
2013-10-09,94.33,94.432,94.406,,,,,,,,,,,,,,,,,,,
2013-10-10,94.362,94.478,94.446,,,,,,,,,,,,,,,,,,,
2013-10-11,94.35,94.352,94.356,,,,,,,,,,,,,,,,,,,
2013-10-14,94.278,94.308,94.256,,,,,,,,,,,,,,,,,,,
2013-10-15,94.092,94.102,94.11,,,,,,,,,,,,,,,,,,,
2013-10-16,93.856,93.97,94.006,,,,,,,,,,,,,,,,,,,
2013-10-17,94.0,94.058,94.156,,,,,,,,,,,,,,,,,,,
2013-10-18,93.924,94.002,94.106,,,,,,,,,,,,,,,,,,,
2013-10-21,93.886,93.952,94.146,,,,,,,,,,,,,,,,,,,
2013-10-22,93.852,93.988,94.094,,,,,,,,,,,,,,,,,,,
2013-10-23,93.76,93.856,94.046,,,,,,,,,,,,,,,,,,,
2013-10-24,93.8,93.88,94.008,,,,,,,,,,,,,,,,,,,
2013-10-25,93.6,93.702,93.862,,,,,,,,,,,,,,,,,,,
2013-10-28,93.67,93.88,93.996,,,,,,,,,,,,,,,,,,,
2013-10-29,93.658,93.916,94.046,,,,,,,,,,,,,,,,,,,
2013-10-30,93.526,93.762,93.946,,,,,,,,,,,,,,,,,,,
2013-10-31,93.538,93.804,93.946,,,,,,,,,,,,,,,,,,,
2013-11-01,93.766,94.088,94.046,,,,,,,,,,,,,,,,,,,
2013-11-04,93.85,94.058,94.146,,,,,,,,,,,,,,,,,,,
2013-11-05,93.642,93.828,93.956,,,,,,,,,,,,,,,,,,,
2013-11-06,93.484,93.79,93.906,,,,,,,,,,,,,,,,,,,
2013-11-07,93.31,93.698,93.908,,,,,,,,,,,,,,,,,,,
2013-11-08,92.8,93.05,93.606,,,,,,,,,,,,,,,,,,,
2013-11-11,92.39,92.84,93.356,,,,,,,,,,,,,,,,,,,
2013-11-12,91.77,92.392,92.896,,,,,,,,,,,,,,,,,,,
2013-11-13,92.098,92.504,92.806,,,,,,,,,,,,,,,,,,,
2013-11-14,91.8,92.256,92.556,,,,,,,,,,,,,,,,,,,
2013-11-15,91.6,92.104,92.506,,,,,,,,,,,,,,,,,,,
2013-11-18,91.344,91.818,92.306,,,,,,,,,,,,,,,,,,,
2013-11-19,91.37,91.8,92.194,,,,,,,,,,,,,,,,,,,
2013-11-20,90.89,91.3,91.906,,,,,,,,,,,,,,,,,,,
2013-11-21,91.116,91.7,92.246,,,,,,,,,,,,,,,,,,,
2013-11-22,91.4,91.98,92.446,,,,,,,,,,,,,,,,,,,
2013-11-25,91.604,92.142,92.596,,,,,,,,,,,,,,,,,,,
2013-11-26,91.344,91.77,92.248,,,,,,,,,,,,,,,,,,,
2013-11-27,91.384,91.82,92.296,,,,,,,,,,,,,,,,,,,
2013-11-28,91.846,92.27,92.646,,,,,,,,,,,,,,,,,,,
2013-11-29,92.002,92.6,92.896,,,,,,,,,,,,,,,,,,,
2013-12-02,91.724,92.506,92.856,,,,,,,,,,,,,,,,,,,
2013-12-03,91.5,92.1,92.512,,,,,,,,,,,,,,,,,,,
2013-12-04,91.846,92.302,92.746,,,,,,,,,,,,,,,,,,,
2013-12-05,91.57,92.038,92.556,,,,,,,,,,,,,,,,,,,
2013-12-06,90.998,91.84,92.306,,,,,,,,,,,,,,,,,,,
2013-12-09,91.44,91.856,92.396,,,,,,,,,,,,,,,,,,,
2013-12-10,91.124,91.66,92.106,,,,,,,,,,,,,,,,,,,
2013-12-11,90.8,91.3,91.806,,,,,,,,,,,,,,,,,,,
2013-12-12,90.998,91.55,91.946,,,,,,,,,,,,,,,,,,,
2013-12-13,90.2,91.85,92.196,,,,,,,,,,,,,,,,,,,
2013-12-16,,91.878,92.256,,,,,,,,,,,,,,,,,,,
2013-12-17,,91.432,91.906,92.12,,,,,,,,,,,,,,,,,,
2013-12-18,,91.55,91.978,92.35,,,,,,,,,,,,,,,,,,
2013-12-19,,91.4,91.906,92.1,,,,,,,,,,,,,,,,,,
2013-12-20,,91.496,91.896,92.268,,,,,,,,,,,,,,,,,,
2013-12-23,,91.38,91.856,92.284,,,,,,,,,,,,,,,,,,
2013-12-24,,91.746,92.296,92.698,,,,,,,,,,,,,,,,,,
2013-12-25,,91.646,92.156,,,,,,,,,,,,,,,,,,,
2013-12-26,,91.79,92.246,92.546,,,,,,,,,,,,,,,,,,
2013-12-27,,91.668,92.156,92.454,,,,,,,,,,,,,,,,,,
2013-12-30,,91.56,92.096,92.522,,,,,,,,,,,,,,,,,,
2013-12-31,,91.75,92.272,92.49,,,,,,,,,,,,,,,,,,
2014-01-02,,91.796,92.256,92.424,,,,,,,,,,,,,,,,,,
2014-01-03,,91.3,91.856,92.206,,,,,,,,,,,,,,,,,,
2014-01-06,,91.3,91.856,92.2,,,,,,,,,,,,,,,,,,
2014-01-07,,91.2,91.846,92.216,,,,,,,,,,,,,,,,,,
2014-01-08,,91.486,92.046,92.3,,,,,,,,,,,,,,,,,,
2014-01-09,,91.746,92.23,92.456,,,,,,,,,,,,,,,,,,
2014-01-10,,91.456,92.146,92.36,,,,,,,,,,,,,,,,,,
2014-01-13,,91.542,92.056,,,,,,,,,,,,,,,,,,,
2014-01-14,,91.458,92.056,,,,,,,,,,,,,,,,,,,
2014-01-15,,91.538,92.096,92.446,,,,,,,,,,,,,,,,,,
2014-01-16,,91.84,92.358,92.56,,,,,,,,,,,,,,,,,,
2014-01-17,,91.606,92.206,92.456,,,,,,,,,,,,,,,,,,
2014-01-20,,91.61,92.16,92.406,,,,,,,,,,,,,,,,,,
2014-01-21,,91.9,92.346,92.546,,,,,,,,,,,,,,,,,,
2014-01-22,,92.15,92.596,92.746,,,,,,,,,,,,,,,,,,
2014-01-23,,92.236,92.656,92.846,,,,,,,,,,,,,,,,,,
2014-01-24,,92.058,92.556,92.756,,,,,,,,,,,,,,,,,,
2014-01-27,,92.352,92.696,92.846,,,,,,,,,,,,,,,,,,
2014-01-28,,92.53,92.856,92.956,,,,,,,,,,,,,,,,,,
2014-01-29,,92.29,92.746,92.994,,,,,,,,,,,,,,,,,,
2014-01-30,,92.402,92.758,92.856,,,,,,,,,,,,,,,,,,
2014-02-07,,92.254,92.696,92.968,,,,,,,,,,,,,,,,,,
2014-02-10,,92.52,92.846,93.046,,,,,,,,,,,,,,,,,,
2014-02-11,,92.37,92.796,93.046,,,,,,,,,,,,,,,,,,
2014-02-12,,92.58,93.0,93.194,,,,,,,,,,,,,,,,,,
2014-02-13,,92.498,92.86,93.196,,,,,,,,,,,,,,,,,,
2014-02-14,,92.62,93.046,93.156,,,,,,,,,,,,,,,,,,
2014-02-17,,92.5,92.956,93.156,,,,,,,,,,,,,,,,,,
2014-02-18,,92.2,92.756,92.978,,,,,,,,,,,,,,,,,,
