,CS1503.DCE,CS1505.DCE,CS1507.DCE,CS1509.DCE,CS1511.DCE,CS1601.DCE,CS1603.DCE,CS1605.DCE,CS1607.DCE,CS1609.DCE,CS1611.DCE,CS1701.DCE,CS1703.DCE,CS1705.DCE,CS1707.DCE,CS1709.DCE,CS1711.DCE,CS1801.DCE,CS1803.DCE,CS1805.DCE,CS1807.DCE,CS1809.DCE,CS1811.DCE,CS1901.DCE,CS1903.DCE
2014-12-19,156.0,29124.0,30.0,4922.0,10.0,,,,,,,,,,,,,,,,,,,,
2014-12-22,50.0,26170.0,0.0,2976.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-12-23,8.0,18726.0,0.0,690.0,12.0,,,,,,,,,,,,,,,,,,,,
2014-12-24,50.0,8284.0,0.0,504.0,6.0,,,,,,,,,,,,,,,,,,,,
2014-12-25,8.0,20260.0,6.0,748.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-12-26,12.0,9158.0,0.0,348.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-12-29,54.0,5406.0,2.0,778.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-12-30,18.0,9056.0,0.0,644.0,0.0,,,,,,,,,,,,,,,,,,,,
2014-12-31,44.0,5280.0,0.0,376.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-01-05,24.0,13408.0,0.0,1392.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-01-06,8.0,28882.0,0.0,2484.0,2.0,,,,,,,,,,,,,,,,,,,,
2015-01-07,4.0,16506.0,0.0,818.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-01-08,0.0,10858.0,0.0,720.0,6.0,,,,,,,,,,,,,,,,,,,,
2015-01-09,14.0,12278.0,0.0,854.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-01-12,0.0,8452.0,0.0,530.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-01-13,0.0,10230.0,0.0,1242.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-01-14,14.0,8676.0,0.0,626.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-01-15,4.0,7404.0,0.0,324.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-01-16,0.0,11940.0,0.0,1064.0,0.0,,,,,,,,,,,,,,,,,,,,
2015-01-19,8.0,9284.0,0.0,586.0,4.0,12.0,,,,,,,,,,,,,,,,,,,
2015-01-20,12.0,4142.0,0.0,234.0,10.0,0.0,,,,,,,,,,,,,,,,,,,
2015-01-21,20.0,7186.0,0.0,932.0,4.0,18.0,,,,,,,,,,,,,,,,,,,
2015-01-22,0.0,10236.0,0.0,1316.0,4.0,2.0,,,,,,,,,,,,,,,,,,,
2015-01-23,0.0,4912.0,0.0,636.0,0.0,4.0,,,,,,,,,,,,,,,,,,,
2015-01-26,0.0,5054.0,0.0,1008.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-01-27,36.0,12686.0,0.0,2056.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-01-28,8.0,13162.0,0.0,1634.0,0.0,8.0,,,,,,,,,,,,,,,,,,,
2015-01-29,4.0,23132.0,22.0,1300.0,0.0,26.0,,,,,,,,,,,,,,,,,,,
2015-01-30,0.0,14918.0,2.0,888.0,2.0,0.0,,,,,,,,,,,,,,,,,,,
2015-02-02,0.0,11744.0,0.0,948.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-02-03,0.0,9956.0,0.0,836.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-02-04,0.0,11042.0,2.0,1712.0,0.0,26.0,,,,,,,,,,,,,,,,,,,
2015-02-05,16.0,55740.0,24.0,6918.0,4.0,84.0,,,,,,,,,,,,,,,,,,,
2015-02-06,0.0,13580.0,0.0,2700.0,0.0,30.0,,,,,,,,,,,,,,,,,,,
2015-02-09,0.0,42018.0,0.0,4462.0,0.0,76.0,,,,,,,,,,,,,,,,,,,
2015-02-10,10.0,35920.0,0.0,7426.0,0.0,280.0,,,,,,,,,,,,,,,,,,,
2015-02-11,0.0,21656.0,0.0,6686.0,0.0,90.0,,,,,,,,,,,,,,,,,,,
2015-02-12,2.0,30088.0,0.0,8438.0,0.0,264.0,,,,,,,,,,,,,,,,,,,
2015-02-13,0.0,21888.0,0.0,8236.0,0.0,58.0,,,,,,,,,,,,,,,,,,,
2015-02-16,38.0,8348.0,6.0,3648.0,0.0,0.0,,,,,,,,,,,,,,,,,,,
2015-02-17,126.0,13600.0,0.0,3182.0,0.0,12.0,,,,,,,,,,,,,,,,,,,
2015-02-25,2.0,10708.0,0.0,3810.0,0.0,58.0,,,,,,,,,,,,,,,,,,,
2015-02-26,0.0,14028.0,0.0,10708.0,0.0,130.0,,,,,,,,,,,,,,,,,,,
2015-02-27,26.0,16064.0,0.0,5732.0,0.0,90.0,,,,,,,,,,,,,,,,,,,
2015-03-02,12.0,9402.0,0.0,4228.0,0.0,74.0,,,,,,,,,,,,,,,,,,,
2015-03-03,0.0,11430.0,0.0,6996.0,0.0,24.0,,,,,,,,,,,,,,,,,,,
2015-03-04,0.0,19288.0,20.0,8828.0,0.0,78.0,,,,,,,,,,,,,,,,,,,
2015-03-05,0.0,18946.0,0.0,8612.0,0.0,18.0,,,,,,,,,,,,,,,,,,,
2015-03-06,0.0,10942.0,0.0,5868.0,0.0,42.0,,,,,,,,,,,,,,,,,,,
2015-03-09,0.0,17332.0,0.0,7878.0,0.0,18.0,,,,,,,,,,,,,,,,,,,
2015-03-10,30.0,97354.0,0.0,14976.0,4.0,28.0,,,,,,,,,,,,,,,,,,,
2015-03-11,0.0,121256.0,0.0,23272.0,0.0,106.0,,,,,,,,,,,,,,,,,,,
2015-03-12,22.0,66786.0,0.0,10104.0,2.0,60.0,,,,,,,,,,,,,,,,,,,
2015-03-13,0.0,77968.0,0.0,20146.0,0.0,146.0,,,,,,,,,,,,,,,,,,,
2015-03-16,,98416.0,0.0,21508.0,2.0,64.0,0.0,,,,,,,,,,,,,,,,,,
2015-03-17,,38734.0,0.0,8872.0,0.0,6.0,0.0,,,,,,,,,,,,,,,,,,
2015-03-18,,48746.0,0.0,18166.0,0.0,42.0,0.0,,,,,,,,,,,,,,,,,,
2015-03-19,,36680.0,0.0,22624.0,0.0,110.0,4.0,,,,,,,,,,,,,,,,,,
2015-03-20,,47472.0,0.0,18592.0,4.0,200.0,0.0,,,,,,,,,,,,,,,,,,
2015-03-23,,18256.0,0.0,13296.0,0.0,84.0,0.0,,,,,,,,,,,,,,,,,,
2015-03-24,,72272.0,20.0,31608.0,0.0,456.0,0.0,,,,,,,,,,,,,,,,,,
2015-03-25,,36818.0,6.0,30762.0,0.0,408.0,2.0,,,,,,,,,,,,,,,,,,
2015-03-26,,25556.0,0.0,14360.0,0.0,636.0,0.0,,,,,,,,,,,,,,,,,,
2015-03-27,,86776.0,2.0,41482.0,0.0,170.0,0.0,,,,,,,,,,,,,,,,,,
2015-03-30,,27382.0,6.0,27092.0,0.0,114.0,2.0,,,,,,,,,,,,,,,,,,
2015-03-31,,33536.0,0.0,20698.0,0.0,324.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-01,,63596.0,2.0,48224.0,0.0,536.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-02,,21272.0,2.0,23914.0,4.0,922.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-03,,15642.0,2.0,20966.0,0.0,142.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-07,,7214.0,0.0,24478.0,0.0,296.0,46.0,,,,,,,,,,,,,,,,,,
2015-04-08,,21356.0,0.0,63290.0,0.0,398.0,2.0,,,,,,,,,,,,,,,,,,
2015-04-09,,5880.0,0.0,32340.0,0.0,234.0,2.0,,,,,,,,,,,,,,,,,,
2015-04-10,,6948.0,6.0,44112.0,0.0,488.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-13,,5664.0,2.0,76314.0,0.0,1222.0,2.0,,,,,,,,,,,,,,,,,,
2015-04-14,,2958.0,0.0,45220.0,0.0,524.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-15,,4766.0,0.0,88170.0,2.0,380.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-16,,1942.0,18.0,37092.0,0.0,160.0,4.0,,,,,,,,,,,,,,,,,,
2015-04-17,,1448.0,0.0,33852.0,0.0,160.0,4.0,,,,,,,,,,,,,,,,,,
2015-04-20,,550.0,0.0,31106.0,0.0,86.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-21,,844.0,0.0,31260.0,0.0,164.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-22,,526.0,0.0,20688.0,0.0,160.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-23,,184.0,2.0,21454.0,0.0,244.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-24,,322.0,0.0,42390.0,0.0,376.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-27,,470.0,0.0,14366.0,0.0,192.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-28,,490.0,0.0,45442.0,0.0,706.0,0.0,,,,,,,,,,,,,,,,,,
2015-04-29,,260.0,24.0,25622.0,2.0,362.0,4.0,,,,,,,,,,,,,,,,,,
2015-04-30,,588.0,0.0,28902.0,0.0,232.0,0.0,,,,,,,,,,,,,,,,,,
2015-05-04,,308.0,0.0,47982.0,0.0,1048.0,2.0,,,,,,,,,,,,,,,,,,
2015-05-05,,0.0,0.0,21168.0,0.0,492.0,14.0,,,,,,,,,,,,,,,,,,
2015-05-06,,0.0,8.0,15402.0,2.0,436.0,10.0,,,,,,,,,,,,,,,,,,
2015-05-07,,0.0,0.0,67812.0,8.0,1010.0,54.0,,,,,,,,,,,,,,,,,,
