,CY801.CZC,CY802.CZC,CY803.CZC,CY804.CZC,CY805.CZC,CY806.CZC,CY807.CZC,CY808.CZC,CY809.CZC,CY810.CZC,CY811.CZC,CY812.CZC,CY901.CZC,CY902.CZC,CY903.CZC,CY904.CZC
2017-08-18,78284.0,8.0,0.0,0.0,2268.0,0.0,0.0,0.0,,,,,,,,
2017-08-21,25088.0,2.0,0.0,0.0,564.0,0.0,0.0,0.0,,,,,,,,
2017-08-22,13782.0,8.0,0.0,0.0,288.0,0.0,0.0,0.0,,,,,,,,
2017-08-23,9078.0,0.0,0.0,0.0,228.0,0.0,0.0,0.0,,,,,,,,
2017-08-24,4510.0,0.0,0.0,0.0,196.0,0.0,0.0,0.0,,,,,,,,
2017-08-25,3012.0,0.0,0.0,0.0,310.0,0.0,0.0,0.0,,,,,,,,
2017-08-28,3914.0,0.0,2.0,0.0,46.0,0.0,0.0,0.0,,,,,,,,
2017-08-29,2572.0,0.0,2.0,0.0,138.0,0.0,0.0,0.0,,,,,,,,
2017-08-30,1842.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,,,,,,,,
2017-08-31,1784.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,,,,,,,,
2017-09-01,2186.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,,,,,,,,
2017-09-04,14420.0,0.0,0.0,0.0,326.0,0.0,0.0,0.0,,,,,,,,
2017-09-05,5994.0,0.0,0.0,0.0,248.0,0.0,0.0,0.0,,,,,,,,
2017-09-06,6078.0,0.0,0.0,0.0,376.0,0.0,0.0,0.0,,,,,,,,
2017-09-07,4074.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,,,,,,,,
2017-09-08,5524.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,,,,,,,,
2017-09-11,15894.0,42.0,0.0,0.0,190.0,0.0,0.0,0.0,,,,,,,,
2017-09-12,2178.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,,,,,,,,
2017-09-13,3018.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,,,,,,,,
2017-09-14,1432.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,,,,,,,,
2017-09-15,1498.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,,,,,,,
2017-09-18,1904.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,,,,,,,
2017-09-19,1962.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,,,,,,,
2017-09-20,3342.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,,,,,,,
2017-09-21,1426.0,2.0,2.0,2.0,18.0,0.0,0.0,0.0,0.0,,,,,,,
2017-09-22,1880.0,2.0,4.0,0.0,14.0,0.0,0.0,0.0,0.0,,,,,,,
2017-09-25,974.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,,,,,,,
2017-09-26,1508.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,
2017-09-27,1778.0,4.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,,,,,,,
2017-09-28,1928.0,0.0,0.0,0.0,64.0,12.0,0.0,0.0,0.0,,,,,,,
2017-09-29,1072.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,,,,,,,
2017-10-09,582.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,,,,,,,
2017-10-10,658.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,,,,,,,
2017-10-11,604.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,,,,,,,
2017-10-12,1104.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,,,,,,,
2017-10-13,826.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2017-10-16,980.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,,,,,,,
2017-10-17,404.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2017-10-18,332.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,,,,,,,
2017-10-19,532.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,,,,,,,
2017-10-20,854.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,,,,,,,
2017-10-23,654.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2017-10-24,504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,,,,,,
2017-10-25,254.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,8.0,,,,,,
2017-10-26,200.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,,,,,,
2017-10-27,228.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2017-10-30,262.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2017-10-31,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2017-11-01,426.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2017-11-02,302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
