,IH1505.CFE,IH1506.CFE,IH1507.CFE,IH1508.CFE,IH1509.CFE,IH1510.CFE,IH1511.CFE,IH1512.CFE,IH1601.CFE,IH1602.CFE,IH1603.CFE,IH1604.CFE,IH1605.CFE,IH1606.CFE,IH1607.CFE,IH1608.CFE,IH1609.CFE,IH1610.CFE,IH1611.CFE,IH1612.CFE,IH1701.CFE,IH1702.CFE,IH1703.CFE,IH1704.CFE,IH1705.CFE,IH1706.CFE,IH1707.CFE,IH1708.CFE,IH1709.CFE,IH1710.CFE,IH1711.CFE,IH1712.CFE,IH1801.CFE,IH1802.CFE,IH1803.CFE,IH1806.CFE,IH1804.CFE,IH1805.CFE,IH1809.CFE
2015-04-16,144423.0,10000.0,,,1727.0,,,717.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,271224.0,17943.0,,,3220.0,,,574.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-20,267213.0,20581.0,,,3376.0,,,482.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-21,239311.0,13016.0,,,2094.0,,,411.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,239676.0,11398.0,,,1938.0,,,311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-23,246929.0,12531.0,,,2723.0,,,284.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-24,224297.0,9437.0,,,2097.0,,,329.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-27,259172.0,13093.0,,,1907.0,,,374.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,329692.0,17714.0,,,2886.0,,,434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,242567.0,11779.0,,,1752.0,,,296.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-30,202408.0,12104.0,,,1023.0,,,264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-04,189061.0,11282.0,,,1343.0,,,298.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-05,217674.0,15195.0,,,2099.0,,,377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-06,261933.0,20601.0,,,2579.0,,,372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-07,234619.0,16244.0,,,3172.0,,,464.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-08,215483.0,19808.0,,,2667.0,,,572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-11,201465.0,27592.0,,,3168.0,,,376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-12,189729.0,40560.0,,,2223.0,,,461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-13,165986.0,54352.0,,,3541.0,,,654.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-14,106178.0,130846.0,,,4052.0,,,758.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-15,42093.0,202862.0,,,6506.0,,,846.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-18,,177652.0,3472.0,,4358.0,,,545.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-19,,295536.0,6247.0,,7537.0,,,615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-20,,288447.0,7948.0,,7025.0,,,834.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-21,,259112.0,4152.0,,5261.0,,,561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-22,,323497.0,7486.0,,10426.0,,,754.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
