,JR1403.CZC,JR1405.CZC,JR1407.CZC,JR1409.CZC,JR1411.CZC,JR1501.CZC,JR1503.CZC,JR1505.CZC,JR1507.CZC,JR1509.CZC,JR1511.CZC,JR1601.CZC,JR1603.CZC,JR1605.CZC,JR607.CZC,JR609.CZC,JR611.CZC,JR701.CZC,JR703.CZC,JR705.CZC,JR707.CZC,JR709.CZC,JR711.CZC,JR801.CZC,JR803.CZC,JR805.CZC,JR807.CZC,JR809.CZC,JR811.CZC,JR901.CZC,JR903.CZC,WSet: quota exceeded.
2013-11-18,1334.0,26818.0,158.0,2378.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-19,46.0,10134.0,2.0,564.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-20,48.0,3126.0,0.0,270.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-21,36.0,1052.0,0.0,70.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-22,40.0,3892.0,0.0,172.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-25,2.0,3622.0,0.0,484.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-26,4.0,2110.0,2.0,80.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-27,74.0,3926.0,0.0,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-28,8.0,738.0,0.0,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-29,0.0,710.0,2.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-02,6.0,340.0,0.0,8.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-03,0.0,426.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-04,4.0,466.0,0.0,86.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-05,24.0,1378.0,0.0,50.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-06,2.0,1566.0,0.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-09,0.0,384.0,0.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-10,0.0,860.0,0.0,110.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-11,0.0,2210.0,0.0,148.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-12,0.0,1306.0,0.0,40.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-13,0.0,4158.0,0.0,84.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-16,0.0,994.0,0.0,26.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-17,0.0,742.0,0.0,26.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-18,0.0,442.0,0.0,28.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-19,10.0,292.0,0.0,26.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-20,6.0,396.0,0.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-23,8.0,252.0,2.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-24,2.0,314.0,0.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-25,0.0,660.0,0.0,24.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-26,0.0,450.0,62.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-27,2.0,58.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-30,26.0,36.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,0.0,156.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-02,2.0,212.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-03,100.0,348.0,0.0,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-06,0.0,160.0,0.0,74.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-07,2.0,204.0,0.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-08,36.0,202.0,0.0,14.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-09,0.0,186.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-10,0.0,90.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-13,0.0,124.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-14,0.0,212.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-15,0.0,220.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-16,0.0,170.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-17,0.0,206.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-20,0.0,112.0,0.0,10.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-21,2.0,190.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-22,2.0,296.0,0.0,12.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-23,0.0,400.0,2.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-24,0.0,678.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-27,0.0,272.0,0.0,6.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-28,0.0,574.0,0.0,36.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
