,LR1411.CZC,LR1501.CZC,LR1503.CZC,LR1505.CZC,LR1507.CZC,LR1509.CZC,LR1511.CZC,LR1601.CZC,LR1603.CZC,LR1605.CZC,LR607.CZC,LR609.CZC,LR611.CZC,LR701.CZC,LR703.CZC,LR705.CZC,LR707.CZC,LR709.CZC,LR711.CZC,LR801.CZC,LR803.CZC,LR805.CZC,LR807.CZC,LR809.CZC,LR811.CZC,LR901.CZC,LR903.CZC
2014-07-08,726.0,25016.0,4.0,846.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-09,50.0,9050.0,0.0,258.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-10,62.0,2190.0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-11,38.0,4068.0,0.0,38.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-14,76.0,1684.0,0.0,42.0,,,,,,,,,,,,,,,,,,,,,,,
2014-07-15,2.0,1362.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-16,0.0,982.0,0.0,80.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-17,0.0,1066.0,0.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-18,6.0,1312.0,0.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-21,0.0,468.0,0.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-22,0.0,736.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-23,0.0,522.0,0.0,8.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-24,0.0,2248.0,0.0,856.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-25,0.0,3078.0,0.0,256.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-28,0.0,2592.0,0.0,136.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-29,16.0,5172.0,0.0,206.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-30,2.0,2152.0,0.0,444.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-07-31,6.0,2264.0,0.0,234.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-01,0.0,1212.0,0.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-04,0.0,1524.0,0.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-05,0.0,1030.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-06,0.0,1364.0,0.0,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-07,0.0,1410.0,0.0,46.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-08,0.0,1196.0,0.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-11,0.0,1078.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-12,0.0,1482.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-13,0.0,1174.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-14,0.0,1228.0,4.0,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-15,0.0,1072.0,0.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-18,0.0,526.0,0.0,10.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-19,0.0,610.0,0.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-20,0.0,640.0,0.0,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-21,0.0,312.0,0.0,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-22,0.0,702.0,0.0,38.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-25,0.0,668.0,0.0,26.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-26,0.0,622.0,0.0,4.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-27,0.0,134.0,0.0,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-28,0.0,420.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-08-29,0.0,122.0,0.0,22.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-01,0.0,338.0,0.0,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-02,0.0,336.0,0.0,202.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-03,0.0,718.0,0.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-04,0.0,320.0,0.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-05,0.0,140.0,0.0,28.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-09,0.0,934.0,0.0,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-10,0.0,434.0,0.0,80.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-11,0.0,440.0,0.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-12,0.0,326.0,0.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-15,0.0,172.0,0.0,80.0,0.0,,,,,,,,,,,,,,,,,,,,,,
2014-09-16,0.0,72.0,0.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-09-17,0.0,106.0,0.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-09-18,0.0,76.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-09-19,0.0,254.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-09-22,0.0,144.0,0.0,28.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-09-23,4.0,178.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-09-24,0.0,112.0,0.0,6.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
2014-09-25,0.0,60.0,0.0,20.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
