,RS1307.CZC,RS1308.CZC,RS1309.CZC,RS1311.CZC,RS1407.CZC,RS1408.CZC,RS1409.CZC,RS1411.CZC,RS1507.CZC,RS1508.CZC,RS1509.CZC,RS1511.CZC,RS607.CZC,RS608.CZC,RS609.CZC,RS611.CZC,RS707.CZC,RS708.CZC,RS709.CZC,RS711.CZC,RS807.CZC,RS808.CZC,RS809.CZC,RS811.CZC
2012-12-28,3450.0,484.0,124086.0,210.0,,,,,,,,,,,,,,,,,,,,
2012-12-31,666.0,26.0,145038.0,208.0,,,,,,,,,,,,,,,,,,,,
2013-01-04,154.0,26.0,83848.0,100.0,,,,,,,,,,,,,,,,,,,,
2013-01-07,326.0,34.0,205756.0,232.0,,,,,,,,,,,,,,,,,,,,
2013-01-08,126.0,8.0,96738.0,16.0,,,,,,,,,,,,,,,,,,,,
2013-01-09,70.0,10.0,100380.0,238.0,,,,,,,,,,,,,,,,,,,,
2013-01-10,30.0,4.0,54266.0,44.0,,,,,,,,,,,,,,,,,,,,
2013-01-11,40.0,0.0,91932.0,248.0,,,,,,,,,,,,,,,,,,,,
2013-01-14,90.0,14.0,76848.0,174.0,,,,,,,,,,,,,,,,,,,,
2013-01-15,46.0,0.0,142592.0,572.0,,,,,,,,,,,,,,,,,,,,
2013-01-16,20.0,4.0,62770.0,108.0,,,,,,,,,,,,,,,,,,,,
2013-01-17,28.0,78.0,41752.0,186.0,,,,,,,,,,,,,,,,,,,,
2013-01-18,6.0,26.0,64614.0,58.0,,,,,,,,,,,,,,,,,,,,
2013-01-21,14.0,18.0,41540.0,80.0,,,,,,,,,,,,,,,,,,,,
2013-01-22,0.0,0.0,22418.0,122.0,,,,,,,,,,,,,,,,,,,,
2013-01-23,86.0,0.0,181816.0,262.0,,,,,,,,,,,,,,,,,,,,
2013-01-24,20.0,0.0,152728.0,340.0,,,,,,,,,,,,,,,,,,,,
2013-01-25,8.0,0.0,66802.0,54.0,,,,,,,,,,,,,,,,,,,,
2013-01-28,6.0,20.0,25804.0,28.0,,,,,,,,,,,,,,,,,,,,
2013-01-29,0.0,0.0,18820.0,74.0,,,,,,,,,,,,,,,,,,,,
