,SR0605.CZC,SR0607.CZC,SR0609.CZC,SR0611.CZC,SR0701.CZC,SR0703.CZC,SR0705.CZC,SR0707.CZC,SR0709.CZC,SR0711.CZC,SR0801.CZC,SR0803.CZC,SR0805.CZC,SR0807.CZC,SR0809.CZC,SR0811.CZC,SR0901.CZC,SR0903.CZC,SR0905.CZC,SR0907.CZC,SR0909.CZC,SR0911.CZC,SR1001.CZC,SR1003.CZC,SR1005.CZC,SR1007.CZC,SR1009.CZC,SR1011.CZC,SR1101.CZC,SR1103.CZC,SR1105.CZC,SR1107.CZC,SR1109.CZC,SR1111.CZC,SR1201.CZC,SR1203.CZC,SR1205.CZC,SR1207.CZC,SR1209.CZC,SR1211.CZC,SR1301.CZC,SR1303.CZC,SR1305.CZC,SR1307.CZC,SR1309.CZC,SR1311.CZC,SR1401.CZC,SR1403.CZC,SR1405.CZC,SR1407.CZC,SR1409.CZC,SR1411.CZC,SR1501.CZC,SR1503.CZC,SR1505.CZC,SR1507.CZC,SR1509.CZC,SR1511.CZC,SR1601.CZC,SR1603.CZC,SR1605.CZC,SR607.CZC,SR609.CZC,SR611.CZC,SR701.CZC,SR703.CZC,SR705.CZC,SR707.CZC,SR709.CZC,SR711.CZC,SR801.CZC,SR803.CZC,SR805.CZC,SR807.CZC,SR809.CZC,SR811.CZC,SR901.CZC,SR903.CZC,SR905.CZC,SR907.CZC,SR909.CZC
2006-01-06,21572.0,2676.0,2908.0,404.0,944.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-09,5686.0,546.0,916.0,32.0,242.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-10,7306.0,542.0,1058.0,214.0,136.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-11,10420.0,834.0,740.0,8.0,568.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-12,7120.0,506.0,402.0,14.0,30.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-13,6104.0,294.0,354.0,12.0,76.0,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-16,25198.0,1892.0,2250.0,58.0,456.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-17,27966.0,558.0,444.0,866.0,1314.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-18,50598.0,738.0,414.0,112.0,692.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-19,63804.0,494.0,822.0,38.0,328.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-20,52894.0,492.0,1104.0,90.0,482.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-23,810.0,18.0,28.0,24.0,52.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-24,60356.0,1130.0,4400.0,92.0,1786.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-25,66760.0,1180.0,2460.0,10.0,350.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-06,11592.0,560.0,4344.0,760.0,700.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-07,5760.0,164.0,2758.0,46.0,126.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-08,1246.0,28.0,1570.0,2.0,210.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-09,71618.0,872.0,5768.0,422.0,818.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-02-10,44930.0,688.0,4568.0,8.0,614.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
