,TF1312.CFE,TF1403.CFE,TF1406.CFE,TF1409.CFE,TF1412.CFE,TF1503.CFE,TF1506.CFE,TF1509.CFE,TF1512.CFE,TF1603.CFE,TF1606.CFE,TF1609.CFE,TF1612.CFE,TF1703.CFE,TF1706.CFE,TF1709.CFE,TF1712.CFE,TF1803.CFE,TF1806.CFE,TF1809.CFE,TF1812.CFE
2013-09-06,34248.0,1840.0,547.0,,,,,,,,,,,,,,,,,,
2013-09-09,11831.0,855.0,124.0,,,,,,,,,,,,,,,,,,
2013-09-10,5375.0,311.0,78.0,,,,,,,,,,,,,,,,,,
2013-09-11,8830.0,348.0,72.0,,,,,,,,,,,,,,,,,,
2013-09-12,8379.0,328.0,57.0,,,,,,,,,,,,,,,,,,
2013-09-13,6901.0,159.0,31.0,,,,,,,,,,,,,,,,,,
2013-09-16,3850.0,91.0,38.0,,,,,,,,,,,,,,,,,,
2013-09-17,22275.0,528.0,137.0,,,,,,,,,,,,,,,,,,
2013-09-18,10692.0,220.0,68.0,,,,,,,,,,,,,,,,,,
2013-09-23,7345.0,212.0,117.0,,,,,,,,,,,,,,,,,,
2013-09-24,5063.0,123.0,38.0,,,,,,,,,,,,,,,,,,
2013-09-25,8207.0,173.0,88.0,,,,,,,,,,,,,,,,,,
2013-09-26,5405.0,52.0,56.0,,,,,,,,,,,,,,,,,,
2013-09-27,4453.0,103.0,51.0,,,,,,,,,,,,,,,,,,
2013-09-30,3515.0,58.0,48.0,,,,,,,,,,,,,,,,,,
2013-10-08,2399.0,32.0,31.0,,,,,,,,,,,,,,,,,,
2013-10-09,1869.0,62.0,16.0,,,,,,,,,,,,,,,,,,
2013-10-10,1506.0,21.0,18.0,,,,,,,,,,,,,,,,,,
2013-10-11,1730.0,20.0,14.0,,,,,,,,,,,,,,,,,,
2013-10-14,2493.0,64.0,42.0,,,,,,,,,,,,,,,,,,
2013-10-15,2242.0,80.0,41.0,,,,,,,,,,,,,,,,,,
2013-10-16,3253.0,72.0,40.0,,,,,,,,,,,,,,,,,,
2013-10-17,1616.0,20.0,11.0,,,,,,,,,,,,,,,,,,
2013-10-18,1002.0,27.0,27.0,,,,,,,,,,,,,,,,,,
