,A.DCE,C.DCE,CS.DCE,M.DCE,Y.DCE,P.DCE,JD.DCE,L.DCE,PP.DCE,V.DCE,J.DCE,JM.DCE,I.DCE,CF.CZC,SR.CZC,RM.CZC,TA.CZC,FG.CZC,MA.CZC,ZC.CZC,CU.SHF,ZN.SHF,AL.SHF,NI.SHF,AU.SHF,AG.SHF,BU.SHF,RU.SHF,HC.SHF,RB.SHF,IC.CFE,IH.CFE,IF.CFE,T.CFE,TF.CFE
2009-12-31,4038.0,1873.0,,3020.0,7968.0,7276.0,,12495.0,,7665.0,,,,16520.0,5761.0,,8138.0,,,,60020.0,21375.0,17390.0,,247.51,,,24460.0,,4511.0,,,,,
2010-01-04,4057.0,1892.0,,3033.0,8050.0,7302.0,,12635.0,,7635.0,,,,16610.0,5901.0,,8344.0,,,,60030.0,21435.0,17200.0,,245.96,,,24350.0,,4579.0,,,,,
2010-01-05,4066.0,1891.0,,3032.0,8056.0,7344.0,,12660.0,,7700.0,,,,16525.0,5925.0,,8372.0,,,,60590.0,21650.0,17540.0,,253.23,,,24705.0,,4589.0,,,,,
2010-01-06,4154.0,1908.0,,3058.0,8090.0,7376.0,,12605.0,,7655.0,,,,16320.0,5923.0,,8352.0,,,,61630.0,21740.0,18160.0,,251.1,,,25050.0,,4622.0,,,,,
2010-01-07,4044.0,1898.0,,2988.0,7860.0,7134.0,,12235.0,,7560.0,,,,16035.0,5794.0,,8190.0,,,,61170.0,21725.0,17835.0,,252.36,,,24855.0,,4489.0,,,,,
2010-01-08,3981.0,1925.0,,2962.0,7744.0,7036.0,,12175.0,,7470.0,,,,15960.0,5597.0,,8146.0,,,,60690.0,21210.0,17500.0,,249.56,,,25355.0,,4462.0,,,,,
2010-01-11,4031.0,1921.0,,2985.0,7802.0,7124.0,,12490.0,,7525.0,,,,16040.0,5613.0,,8262.0,,,,62170.0,21735.0,18260.0,,256.85,,,26040.0,,4516.0,,,,,
2010-01-12,4004.0,1908.0,,2955.0,7726.0,7034.0,,12255.0,,7450.0,,,,16070.0,5545.0,,8320.0,,,,61700.0,21490.0,18255.0,,257.15,,,25860.0,,4510.0,,,,,
2010-01-13,3909.0,1887.0,,2869.0,7498.0,6794.0,,11765.0,,7325.0,,,,16425.0,5377.0,,8176.0,,,,59770.0,20450.0,17410.0,,250.72,,,25305.0,,4418.0,,,,,
2010-01-14,3919.0,1896.0,,2881.0,7552.0,6888.0,,12065.0,,7390.0,,,,16465.0,5455.0,,8334.0,,,,60750.0,20610.0,17600.0,,252.97,,,25680.0,,4433.0,,,,,
2010-01-15,3915.0,1891.0,,2886.0,7498.0,6842.0,,11840.0,,7370.0,,,,16325.0,5391.0,,8232.0,,,,60510.0,20470.0,17590.0,,252.21,,,25050.0,,4368.0,,,,,
2010-01-18,3909.0,1896.0,,2904.0,7456.0,6820.0,,11985.0,,7310.0,,,,16350.0,5430.0,,8348.0,,,,60880.0,20550.0,17665.0,,251.81,,,24740.0,,4395.0,,,,,
2010-01-19,3919.0,1896.0,,2910.0,7480.0,6846.0,,12000.0,,7775.0,,,,16360.0,5451.0,,8384.0,,,,61630.0,20950.0,17735.0,,252.39,,,25360.0,,4382.0,,,,,
2010-01-20,3861.0,1890.0,,2870.0,7358.0,6702.0,,12100.0,,7740.0,,,,16035.0,5489.0,,8270.0,,,,61000.0,20795.0,17410.0,,251.38,,,25270.0,,4364.0,,,,,
2010-01-21,3901.0,1895.0,,2885.0,7442.0,6818.0,,12335.0,,7770.0,,,,16240.0,5680.0,,8318.0,,,,60970.0,20925.0,17465.0,,248.3,,,25730.0,,4352.0,,,,,
2010-01-22,3889.0,1877.0,,2870.0,7452.0,6808.0,,12070.0,,7750.0,,,,16305.0,5584.0,,8324.0,,,,59360.0,19930.0,17060.0,,243.32,,,24475.0,,4288.0,,,,,
2010-01-25,3911.0,1867.0,,2870.0,7424.0,6818.0,,11945.0,,7715.0,,,,16300.0,5605.0,,8324.0,,,,59930.0,20025.0,17195.0,,245.36,,,24590.0,,4278.0,,,,,
2010-01-26,3885.0,1859.0,,2843.0,7334.0,6706.0,,11775.0,,7605.0,,,,15910.0,5652.0,,8224.0,,,,59210.0,19390.0,17115.0,,243.1,,,24065.0,,4265.0,,,,,
2010-01-27,3922.0,1861.0,,2852.0,7406.0,6750.0,,11575.0,,7560.0,,,,15970.0,5584.0,,8126.0,,,,59530.0,19450.0,17155.0,,243.81,,,23780.0,,4316.0,,,,,
2010-01-28,3863.0,1844.0,,2807.0,7326.0,6704.0,,11450.0,,7420.0,,,,15905.0,5383.0,,8008.0,,,,57480.0,18515.0,16460.0,,241.44,,,23165.0,,4293.0,,,,,
2010-01-29,3853.0,1854.0,,2788.0,7270.0,6646.0,,11450.0,,7350.0,,,,15880.0,5378.0,,8046.0,,,,55570.0,17590.0,16140.0,,239.36,,,22985.0,,4300.0,,,,,
2010-02-01,3768.0,1847.0,,2721.0,7182.0,6556.0,,11375.0,,7290.0,,,,15995.0,5430.0,,7946.0,,,,54470.0,17430.0,16345.0,,239.56,,,23000.0,,4295.0,,,,,
2010-02-02,3735.0,1846.0,,2698.0,7174.0,6558.0,,11285.0,,7310.0,,,,15780.0,5497.0,,7966.0,,,,54300.0,17305.0,16370.0,,244.74,,,22955.0,,4159.0,,,,,
2010-02-03,3782.0,1862.0,,2742.0,7316.0,6720.0,,11475.0,,7470.0,,,,16065.0,5657.0,,8172.0,,,,55890.0,18160.0,16745.0,,247.24,,,23525.0,,4180.0,,,,,
2010-02-04,3755.0,1848.0,,2718.0,7270.0,6648.0,,11390.0,,7445.0,,,,16115.0,5573.0,,8132.0,,,,54000.0,17680.0,16520.0,,245.11,,,22980.0,,4115.0,,,,,
2010-02-05,3785.0,1850.0,,2730.0,7282.0,6684.0,,11285.0,,7380.0,,,,16045.0,5497.0,,8050.0,,,,51980.0,17145.0,16280.0,,235.77,,,22030.0,,4109.0,,,,,
2010-02-08,3812.0,1850.0,,2756.0,7368.0,6784.0,,11395.0,,7440.0,,,,15805.0,5539.0,,8026.0,,,,52560.0,17180.0,16305.0,,236.86,,,21980.0,,4129.0,,,,,
2010-02-09,3809.0,1849.0,,2758.0,7386.0,6776.0,,11520.0,,7465.0,,,,15940.0,5558.0,,8142.0,,,,53200.0,17310.0,16465.0,,238.47,,,22380.0,,4157.0,,,,,
2010-02-10,3769.0,1858.0,,2742.0,7366.0,6766.0,,11645.0,,7495.0,,,,16150.0,5756.0,,8194.0,,,,54660.0,17685.0,16620.0,,239.85,,,23280.0,,4198.0,,,,,
2010-02-11,3798.0,1855.0,,2780.0,7432.0,6820.0,,11690.0,,7535.0,,,,16190.0,5785.0,,8268.0,,,,55390.0,18075.0,16640.0,,240.3,,,23850.0,,4229.0,,,,,
