,A.DCE,C.DCE,CS.DCE,M.DCE,Y.DCE,P.DCE,JD.DCE,L.DCE,PP.DCE,V.DCE,J.DCE,JM.DCE,I.DCE,CF.CZC,SR.CZC,RM.CZC,TA.CZC,FG.CZC,MA.CZC,ZC.CZC,CU.SHF,ZN.SHF,AL.SHF,NI.SHF,AU.SHF,AG.SHF,BU.SHF,RU.SHF,HC.SHF,RB.SHF,IC.CFE,IH.CFE,IF.CFE,T.CFE,TF.CFE
2009-12-31,4015.0,1870.0,,2998.0,7868.0,7060.0,,12360.0,,7700.0,,,,16540.0,5614.0,,8126.0,,,,59340.0,20945.0,17190.0,,243.68,,,24255.0,,4495.0,,,,,
2010-01-04,4080.0,1878.0,,3050.0,8030.0,7300.0,,12600.0,,7720.0,,,,16600.0,5803.0,,8234.0,,,,60150.0,21405.0,17440.0,,245.38,,,24595.0,,4523.0,,,,,
2010-01-05,4067.0,1893.0,,3035.0,8088.0,7320.0,,12720.0,,7685.0,,,,16650.0,5950.0,,8396.0,,,,60450.0,21470.0,17250.0,,250.0,,,24545.0,,4592.0,,,,,
2010-01-06,4066.0,1895.0,,3035.0,8030.0,7314.0,,12650.0,,7690.0,,,,16280.0,5913.0,,8346.0,,,,60660.0,21580.0,17520.0,,251.01,,,24680.0,,4587.0,,,,,
2010-01-07,4165.0,1910.0,,3065.0,8100.0,7420.0,,12705.0,,7695.0,,,,16395.0,5969.0,,8400.0,,,,62070.0,22150.0,18400.0,,255.1,,,25465.0,,4641.0,,,,,
2010-01-08,4040.0,1898.0,,2980.0,7860.0,7130.0,,12300.0,,7600.0,,,,16030.0,5795.0,,8200.0,,,,61200.0,21520.0,17770.0,,251.22,,,25030.0,,4505.0,,,,,
2010-01-11,4012.0,1932.0,,2984.0,7844.0,7124.0,,12310.0,,7520.0,,,,16060.0,5599.0,,8250.0,,,,61550.0,21510.0,17770.0,,257.5,,,25760.0,,4495.0,,,,,
2010-01-12,4000.0,1915.0,,2958.0,7742.0,7022.0,,12415.0,,7510.0,,,,16120.0,5573.0,,8200.0,,,,61520.0,21600.0,18180.0,,256.85,,,25980.0,,4505.0,,,,,
2010-01-13,3905.0,1885.0,,2890.0,7560.0,6800.0,,11995.0,,7350.0,,,,16590.0,5515.0,,8110.0,,,,59500.0,20515.0,17500.0,,251.0,,,25100.0,,4420.0,,,,,
2010-01-14,3943.0,1898.0,,2889.0,7568.0,6880.0,,11900.0,,7345.0,,,,16575.0,5450.0,,8250.0,,,,61010.0,20935.0,17810.0,,254.28,,,25890.0,,4450.0,,,,,
