,A.DCE,C.DCE,CS.DCE,M.DCE,Y.DCE,P.DCE,JD.DCE,L.DCE,PP.DCE,V.DCE,J.DCE,JM.DCE,I.DCE,CF.CZC,SR.CZC,RM.CZC,TA.CZC,FG.CZC,MA.CZC,ZC.CZC,CU.SHF,ZN.SHF,AL.SHF,NI.SHF,AU.SHF,AG.SHF,BU.SHF,RU.SHF,HC.SHF,RB.SHF,IC.CFE,IH.CFE,IF.CFE,T.CFE,TF.CFE
2009-12-31,234450.0,42512.0,,1039824.0,916028.0,899204.0,,279576.0,,118246.0,,,,373734.0,1564322.0,,386154.0,,,,259676.0,468224.0,122488.0,,52368.0,,,594616.0,,976200.0,,,,,
2010-01-04,321838.0,176352.0,,996272.0,922828.0,641592.0,,190792.0,,147506.0,,,,498986.0,1145488.0,,721522.0,,,,285600.0,379208.0,131892.0,,57752.0,,,488932.0,,1809996.0,,,,,
2010-01-05,253640.0,103552.0,,966822.0,789080.0,726722.0,,158990.0,,227562.0,,,,275464.0,2152544.0,,638568.0,,,,270286.0,470848.0,215870.0,,74798.0,,,647784.0,,1320756.0,,,,,
2010-01-06,860812.0,160396.0,,1301166.0,1015520.0,758566.0,,257520.0,,102842.0,,,,300808.0,2337148.0,,526364.0,,,,317130.0,415594.0,430170.0,,73904.0,,,534648.0,,1481228.0,,,,,
2010-01-07,705704.0,162554.0,,1524266.0,1455800.0,971910.0,,326148.0,,121086.0,,,,313640.0,2158418.0,,632922.0,,,,585286.0,520498.0,495942.0,,86698.0,,,861896.0,,2196160.0,,,,,
2010-01-08,526594.0,605112.0,,1081884.0,1145050.0,857686.0,,251674.0,,59946.0,,,,190082.0,1696348.0,,533380.0,,,,533576.0,614318.0,356244.0,,53716.0,,,1479472.0,,1520076.0,,,,,
2010-01-11,316116.0,242470.0,,579852.0,691840.0,697064.0,,194252.0,,30624.0,,,,116288.0,2460750.0,,449352.0,,,,313530.0,373446.0,335398.0,,51302.0,,,953166.0,,1130570.0,,,,,
2010-01-12,447848.0,195492.0,,640288.0,669838.0,495840.0,,179180.0,,18846.0,,,,97660.0,1555102.0,,725894.0,,,,269398.0,448548.0,520554.0,,38234.0,,,1097928.0,,1176288.0,,,,,
2010-01-13,300960.0,217122.0,,843484.0,756186.0,544822.0,,158518.0,,26374.0,,,,234868.0,2568264.0,,504518.0,,,,379902.0,360390.0,374130.0,,49252.0,,,1219774.0,,1461688.0,,,,,
2010-01-14,190364.0,108336.0,,620724.0,764352.0,472570.0,,334574.0,,10198.0,,,,163302.0,3022878.0,,628582.0,,,,180786.0,360666.0,182448.0,,27014.0,,,794178.0,,1076498.0,,,,,
2010-01-15,313576.0,78334.0,,1040630.0,809754.0,586250.0,,212622.0,,6664.0,,,,207254.0,2611636.0,,537972.0,,,,157256.0,412092.0,223298.0,,25270.0,,,1053678.0,,1276950.0,,,,,
2010-01-18,249986.0,65240.0,,732728.0,759174.0,581646.0,,378828.0,,9310.0,,,,117020.0,2381104.0,,462216.0,,,,114758.0,282532.0,107274.0,,25412.0,,,674758.0,,1148302.0,,,,,
2010-01-19,167968.0,56094.0,,455936.0,642806.0,434246.0,,268256.0,,54326.0,,,,78302.0,1837926.0,,439870.0,,,,88826.0,257556.0,147694.0,,19448.0,,,920174.0,,1236092.0,,,,,
2010-01-20,335400.0,52456.0,,744150.0,871050.0,622982.0,,353290.0,,58454.0,,,,196942.0,1788642.0,,279766.0,,,,71244.0,162128.0,71252.0,,32490.0,,,1042078.0,,1243448.0,,,,,
2010-01-21,271388.0,77808.0,,600812.0,940496.0,694602.0,,366340.0,,43328.0,,,,322974.0,3414108.0,,145730.0,,,,354376.0,547954.0,41894.0,,38986.0,,,1028470.0,,960118.0,,,,,
2010-01-22,280556.0,170874.0,,667210.0,1153020.0,786590.0,,429676.0,,113656.0,,,,361360.0,2615296.0,,577192.0,,,,446150.0,627324.0,59878.0,,35292.0,,,1121418.0,,1207020.0,,,,,
2010-01-25,337600.0,89270.0,,421144.0,886210.0,800640.0,,319172.0,,48942.0,,,,221070.0,1632596.0,,417478.0,,,,316838.0,569736.0,24468.0,,34950.0,,,854140.0,,870946.0,,,,,
2010-01-26,470020.0,73696.0,,598096.0,797526.0,765770.0,,279996.0,,56266.0,,,,270770.0,1961196.0,,443368.0,,,,357058.0,810362.0,167954.0,,37918.0,,,969658.0,,818680.0,,,,,
2010-01-27,618382.0,76426.0,,430520.0,926436.0,665180.0,,392762.0,,49618.0,,,,156246.0,1709924.0,,630728.0,,,,336408.0,694706.0,130144.0,,28192.0,,,1294600.0,,1452742.0,,,,,
2010-01-28,401078.0,95098.0,,548034.0,858372.0,631430.0,,346678.0,,58568.0,,,,177812.0,1442992.0,,720894.0,,,,517296.0,421842.0,246752.0,,36302.0,,,1286068.0,,1793390.0,,,,,
