,A.DCE,C.DCE,CS.DCE,M.DCE,Y.DCE,P.DCE,JD.DCE,L.DCE,PP.DCE,V.DCE,J.DCE,JM.DCE,I.DCE,CF.CZC,SR.CZC,RM.CZC,TA.CZC,FG.CZC,MA.CZC,ZC.CZC,CU.SHF,ZN.SHF,AL.SHF,NI.SHF,AU.SHF,AG.SHF,BU.SHF,RU.SHF,HC.SHF,RB.SHF,IC.CFE,IH.CFE,IF.CFE,T.CFE,TF.CFE
2000/1/4,2247,,,,,,,,,,,,,,,,,,,,19080,,16550,,,,,9490,,,,,,,
2000/1/5,2250,,,,,,,,,,,,,,,,,,,,18840,,16450,,,,,9530,,,,,,,
2000/1/6,2248,,,,,,,,,,,,,,,,,,,,18960,,16500,,,,,9560,,,,,,,
2000/1/7,2256,,,,,,,,,,,,,,,,,,,,18990,,16520,,,,,9635,,,,,,,
2000/1/10,2256,,,,,,,,,,,,,,,,,,,,18990,,16520,,,,,9635,,,,,,,
2000/1/11,2290,,,,,,,,,,,,,,,,,,,,18930,,16440,,,,,9670,,,,,,,
2000/1/12,2277,,,,,,,,,,,,,,,,,,,,18910,,16440,,,,,9680,,,,,,,
2000/1/13,2284,,,,,,,,,,,,,,,,,,,,19110,,16410,,,,,9800,,,,,,,
2000/1/14,2307,,,,,,,,,,,,,,,,,,,,19140,,16410,,,,,9875,,,,,,,
2000/1/17,2308,,,,,,,,,,,,,,,,,,,,19200,,16430,,,,,9830,,,,,,,
2000/1/18,2305,,,,,,,,,,,,,,,,,,,,19340,,16540,,,,,9805,,,,,,,
2000/1/19,2328,,,,,,,,,,,,,,,,,,,,19300,,16630,,,,,9980,,,,,,,
2000/1/20,2317,,,,,,,,,,,,,,,,,,,,19320,,16620.13642,,,,,9970,,,,,,,
2000/1/21,2340,,,,,,,,,,,,,,,,,,,,19300,,16620.13642,,,,,9950,,,,,,,
2000/1/24,2390,,,,,,,,,,,,,,,,,,,,19340,,16620.13642,,,,,9760,,,,,,,
2000/1/25,2379,,,,,,,,,,,,,,,,,,,,19220,,16560.95492,,,,,9645,,,,,,,
2000/1/26,2384,,,,,,,,,,,,,,,,,,,,19180,,16630,,,,,9635,,,,,,,
2000/1/27,2380,,,,,,,,,,,,,,,,,,,,19230,,16738.49941,,,,,9725,,,,,,,
2000/1/28,2442,,,,,,,,,,,,,,,,,,,,19240,,16768.09015,,,,,9740,,,,,,,
