member_name	long_position	long_position_increase	long_potion_rate	short_position	short_position_increase	short_position_rate	vol	vol_increase	vol_rate
一德期货	3816	-5	0.291258134	32623	17496	2.489967012			
上海中期	24160	15	1.844024247	5722	64	0.436734551	45224	-36266	1.477725954
上海大陆				90	0	0.006869296			
东吴期货	17399	1218	1.327987495				60120	9919	1.964463213
东海期货				9234	-15	0.704789731			
东航期货	5460	15	0.416737268						
东证期货	33061	-165	2.523397584	2892	24	0.220733366	499508	83568	16.32177463
中信建投							2088	-832	0.068226866
中信期货	59706	4278	4.557090716	64835	3457	4.948564241	220269	-6816	7.197444237
中国国际	31696	651	2.419213267	32833	-145	2.505995369	2629	-36	0.085904421
中粮期货	33101	-58	2.526450604	42135	1	3.215975234	60	-447	0.001960542
中航期货							3060	2426	0.099987649
中融汇信							62665	-94893	2.047622875
中辉期货				4374	359	0.333847767			
中钢期货	60	0	0.00457953	390	0	0.029766948	2022	-342	0.06607027
五矿期货				34667	-3256	2.645976348	2552	-484	0.083388392
信达期货							120	-172	0.003921084
光大期货	67839	2142	5.177846064	68403	6011	5.22089365	5281	1716	0.172560383
兴证期货	4155	-34	0.317132481	24751	3820	1.889132622			
冠通期货				300	0	0.022897652			
前二十名合计	755109	35707	57.6340772	905291	51210	69.09679448	2097693	-422039	68.54359167
前五名合计	314156	21468	23.97811595	406252	16051	31.00738984	1180204	-23863	38.56399438
前十名合计	499798	31418	38.14733571	624672	25579	47.67840706	1553261	-127349	50.7538938
北京首创	3846	-67	0.2935479						
华安期货				29934	2813	2.284727724			
华泰长城	33422	-113	2.550951092	100342	13055	7.658654015	73392	-50514	2.398135132
华西期货							3981	192	0.13008197
华鑫期货							62263	-9067	2.034487243
南华期货	39144	2172	2.987685643				7611	2320	0.248694769
同信久恒							227576	-9442	7.436205593
国信期货	19000	2627	1.450184631				1977	1054	0.064599863
国投期货				360	-300	0.027477182	44101	-26162	1.441031141
国泰君安	38105	-1075	2.908383441	67931	4497	5.18486801	82286	-37491	2.688752827
国海良时							60	-126	0.001960542
国联期货	630	0	0.048085069	2471	93	0.188600328	60	53	0.001960542
国贸期货	390	-90	0.029766948	29323	585	2.238092839	90	22	0.002940813
国金期货	90	0	0.006869296						
大越期货							390	373	0.012743524
安信期货	3772	542	0.287899812	540	0	0.041215774			
宝城期货	780	-30	0.059533895				30	-15	0.000980271
广发期货	36981	6835	2.822593571	19704	226	1.503917788			
弘业期货	60	0	0.00457953				76	-414	0.002483353
徽商期货							38468	-40076	1.25696891
成都倍特	62509	534	4.771031112						
新湖期货	600	0	0.045795304	28566	543	2.180314431	66683	9264	2.178913847
方正中期	37990	2131	2.899606008	39006	-1366	2.977152723	122320	-1069	3.996891887
格林大华				60	0	0.00457953	70765	15419	2.312296063
永安期货	65201	8975	4.976499376	58459	7140	4.461912809	79931	-40164	2.611801549
浙商期货	25784	796	1.96797687	42465	2701	3.241162651	646	275	0.021108504
浙江中大	17404	774	1.328369122						
海通期货	58901	5539	4.495648683	36355	1052	2.774813804	110531	-90104	3.611678035
瑞达期货							47397	20580	1.548730255
申万期货	20870	-986	1.592913329	32677	-602	2.494088589	57039	-49535	1.863789375
美尔雅				240	0	0.018318122			
迈科期货	30	-30	0.002289765				30	16	0.000980271
道通期货				3943	-10	0.300951474			
金瑞期货				210	0	0.016028356			
铜冠金源							6896	105	0.225331642
银河期货	32836	-583	2.506224345	104741	-10969	7.99440992	62776	-63991	2.051249878
长江期货				15541	4151	1.186174703	360	80	0.011763253
鲁证期货	2791	288	0.21302449	13614	1442	1.039095451	64379	-5199	2.103629029
