member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,403.0,-127.0,0.282197075794,1304.0,-48.0,0.913114111254,861.0,-161.0,1.05537986321
万达期货,3272.0,-106.0,2.29118816873,8137.0,-10.0,5.69786006386,2626.0,-1199.0,3.21884729475
上海东亚,244.0,0.0,0.170858775419,50.0,0.0,0.0350120441432,,,
上海中期,879.0,21.0,0.615511736037,895.0,-127.0,0.626715590163,334.0,-470.0,0.409404035204
上海中财,488.0,29.0,0.341717550837,430.0,-57.0,0.301103579631,326.0,118.0,0.399597950528
上海大陆,276.0,-65.0,0.19326648367,688.0,-27.0,0.48176572741,708.0,-417.0,0.867838493785
上海浙石,,,,905.0,0.0,0.633717998992,,,
上海通联,8.0,6.0,0.00560192706291,,,,10.0,3.0,0.0122576058444
东兴期货,3493.0,-29.0,2.44594140384,1525.0,-905.0,1.06786734637,1316.0,919.0,1.61310092913
东吴期货,187.0,-159.0,0.130945045096,152.0,5.0,0.106436614195,490.0,30.0,0.600622686377
东方汇金,226.0,6.0,0.158254439527,61.0,-23.0,0.0427146938547,227.0,28.0,0.278247652668
东海期货,634.0,-9.0,0.443952719736,797.0,-20.0,0.558091983642,285.0,-292.0,0.349341766566
东航期货,429.0,-38.0,0.300403338749,1089.0,-1.0,0.762562321439,1451.0,-304.0,1.77857860803
东证期货,742.0,9.0,0.519578735085,5729.0,-95.0,4.01168001793,1420.0,-1775.0,1.74058002991
中信建投,273.0,-32.0,0.191165761022,1188.0,-4.0,0.831886168842,752.0,-214.0,0.921771959501
中信期货,9528.0,-189.0,6.67189513193,2708.0,-204.0,1.89625231079,1479.0,2.0,1.81289990439
中原期货,22.0,-3.0,0.015405299423,154.0,-4.0,0.107837095961,139.0,-396.0,0.170380721238
中国国际,1100.0,-44.0,0.77026497115,3681.0,46.0,2.57758668982,2458.0,-35.0,3.01291951656
中州期货,53.0,-25.0,0.0371127667918,61.0,-26.0,0.0427146938547,257.0,-58.0,0.315020470202
中投期货,665.0,173.0,0.465660187104,263.0,65.0,0.184163352193,1820.0,1201.0,2.23088426369
中粮期货,1149.0,-32.0,0.80457677441,8996.0,-29.0,6.29936698224,355.0,-1049.0,0.435145007477
中航期货,5.0,-49.0,0.00350120441432,484.0,-69.0,0.338916587306,278.0,-342.0,0.340761442475
中融汇信,299.0,-112.0,0.209372023976,1852.0,-9.0,1.29684611506,395.0,-521.0,0.484175430855
中衍期货,242.0,-12.0,0.169458293653,362.0,-18.0,0.253487199597,586.0,-126.0,0.718295702483
中辉期货,101.0,-79.0,0.0707243291692,258.0,-65.0,0.180662147779,908.0,-64.0,1.11299061067
中钢期货,6.0,1.0,0.00420144529718,592.0,-27.0,0.414542602655,30.0,-167.0,0.0367728175333
中银国际,46.0,10.0,0.0322110806117,92.0,17.0,0.0644221612235,4121.0,-1018.0,5.05135936849
云晨期货,25.0,0.0,0.0175060220716,7.0,-2.0,0.00490168618005,4.0,-6.0,0.00490304233777
五矿期货,850.0,29.0,0.595204750434,689.0,75.0,0.482465968293,874.0,-27.0,1.0713147508
信达期货,202.0,3.0,0.141448658338,117.0,21.0,0.0819281832951,210.0,-407.0,0.257409722733
倍特期货,2337.0,21.0,1.63646294325,1801.0,-6.0,1.26113383004,349.0,-83.0,0.42779044397
先融期货,12.0,-1.0,0.00840289059436,35.0,7.0,0.0245084309002,216.0,109.0,0.26476428624
光大期货,191.0,-25.0,0.133746008627,3227.0,-135.0,2.259677329,2306.0,-351.0,2.82660390772
兴业期货,2.0,0.0,0.00140048176573,,,,,,
兴证期货,460.0,227.0,0.322110806117,707.0,-600.0,0.495070304185,1383.0,531.0,1.69522688828
冠通期货,405.0,-3.0,0.28359755756,188.0,-5.0,0.131645285978,222.0,139.0,0.272118849746
创元期货,1495.0,-105.0,1.04686011988,133.0,35.0,0.0931320374209,224.0,-175.0,0.274570370915
前二十名合计,112828.0,-2290.0,79.0067783317,90056.0,-1159.0,63.0608929472,43499.0,-9662.0,53.3193596627
前五名合计,52262.0,-1421.0,36.5959890202,42646.0,920.0,29.8624726906,16249.0,-5631.0,19.9173837366
前十名合计,87268.0,-1764.0,61.1086213657,63210.0,565.0,44.2622262058,27417.0,-6972.0,33.6066779437
北京金鹏,855.0,-2.0,0.598705954848,1094.0,15.0,0.766063525853,891.0,300.0,1.09215268074
北京首创,1270.0,-476.0,0.889305921237,2984.0,-22.0,2.08951879447,1248.0,-578.0,1.52974920938
华创期货,3.0,1.0,0.00210072264859,59.0,1.0,0.041314212089,22.0,0.0,0.0269667328577
华安期货,348.0,-248.0,0.243683827237,448.0,186.0,0.313707915523,1568.0,-399.0,1.92199259641
华泰长城,1464.0,-59.0,1.02515265251,1548.0,-320.0,1.08397288667,1791.0,-157.0,2.19533720674
华海期货,7.0,0.0,0.00490168618005,,,,,,
华联期货,145.0,-210.0,0.101534928015,191.0,-17.0,0.133746008627,305.0,80.0,0.373856978255
华融期货,34.0,28.0,0.0238081900174,158.0,-43.0,0.110638059492,139.0,7.0,0.170380721238
华西期货,76.0,-84.0,0.0532183070976,161.0,-11.0,0.112738782141,533.0,-297.0,0.653330391508
华鑫期货,56.0,11.0,0.0392134894404,5679.0,-226.0,3.97666797378,2853.0,-4364.0,3.49709494741
华闻期货,17.0,1.0,0.0119040950087,458.0,-45.0,0.320710324352,142.0,-401.0,0.174058002991
华龙期货,1.0,0.0,0.000700240882864,20.0,-2.0,0.0140048176573,22.0,-26.0,0.0269667328577
南华期货,1582.0,-8.0,1.10778107669,1519.0,-35.0,1.06366590107,1681.0,-371.0,2.06050354245
南证期货,8344.0,-4.0,5.84280992661,240.0,-8.0,0.168057811887,40.0,18.0,0.0490304233777
同信久恒,264.0,-113.0,0.184863593076,831.0,115.0,0.58190017366,304.0,-24.0,0.372631217671
和合期货,1.0,0.0,0.000700240882864,1.0,-5.0,0.000700240882864,9.0,-46.0,0.01103184526
国信期货,691.0,-42.0,0.483866450059,857.0,-112.0,0.600106436614,674.0,-220.0,0.826162633914
国元期货,619.0,-53.0,0.433449106493,98.0,-47.0,0.0686236065206,270.0,-103.0,0.3309553578
