member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,1180.0,-141.0,0.358682237934,1621.0,-17.0,0.492732125162,7604.0,-5085.0,1.06879713938
万达期货,1011.0,-325.0,0.30731164623,5571.0,867.0,1.69340571825,6902.0,-8350.0,0.970125967385
上海东亚,52.0,-29.0,0.015806335909,980.0,-3.0,0.297888638284,616.0,-1402.0,0.0865832506388
上海中期,5389.0,-120.0,1.63808354256,3635.0,-1109.0,1.10492367364,9387.0,-4986.0,1.31941067167
上海中财,347.0,-214.0,0.105476895392,1510.0,-168.0,0.458991677356,1830.0,-477.0,0.257219721865
上海大陆,983.0,33.0,0.298800542279,478.0,44.0,0.145296703163,799.0,-4516.0,0.112305222825
上海浙石,115.0,15.0,0.0349563197987,242.0,4.0,0.0735602555763,43.0,-1249.0,0.00604396067771
上海通联,17.0,-5.0,0.00516745597024,107.0,16.0,0.0325245758127,111.0,-156.0,0.015601851982
东兴期货,1104.0,-7.0,0.335580670067,97.0,26.0,0.0294848958302,489.0,-4246.0,0.0687324830558
东吴期货,1045.0,-58.0,0.31764655817,420.0,-7.0,0.127666559265,2087.0,-3584.0,0.293342928707
东方汇金,5188.0,36.0,1.57698597492,484.0,-53.0,0.147120511153,2279.0,-1450.0,0.320329915919
东海期货,809.0,39.0,0.245910110584,1794.0,46.0,0.545318588859,1939.0,-2950.0,0.272540459397
东航期货,2704.0,120.0,0.821929467266,2377.0,-48.0,0.722531931838,6810.0,-8647.0,0.957194702679
东证期货,3856.0,-65.0,1.17210060125,4896.0,-27.0,1.48822731943,87374.0,-50144.0,12.2810469827
中信建投,910.0,195.0,0.276610878407,2049.0,-21.0,0.622830428412,4674.0,-6003.0,0.656964469945
中信期货,11188.0,955.0,3.40079396441,23067.0,-467.0,7.01162981561,16044.0,-30737.0,2.25510011891
中原期货,322.0,14.0,0.0978776954362,473.0,-316.0,0.143776863172,3128.0,-2266.0,0.439662999997
中国国际,5917.0,-1788.0,1.79857864564,6867.0,2381.0,2.08734824398,10409.0,-12000.0,1.46306015568
中州期货,255.0,16.0,0.0775118395535,267.0,-35.0,0.0811594555325,613.0,-939.0,0.0861615789636
中投期货,1279.0,-1356.0,0.388775069761,841.0,9.0,0.255637086528,3241.0,-1753.0,0.455545966429
中粮期货,6867.0,-60.0,2.08734824398,7534.0,4212.0,2.29009489881,6154.0,-388.0,0.864989163038
中航期货,134.0,-12.0,0.0407317117654,913.0,-27.0,0.277522782401,743.0,-561.0,0.104434018222
中融汇信,644.0,317.0,0.195755390872,2117.0,96.0,0.643500252293,6791.0,-5138.0,0.954524115403
中衍期货,1113.0,144.0,0.338316382051,2317.0,-40.0,0.704293851943,5220.0,-2899.0,0.733708714829
中辉期货,1039.0,65.0,0.315822750181,1254.0,50.0,0.381175869804,5251.0,-4528.0,0.738065988806
中钢期货,253.0,10.0,0.076903903557,600.0,22.0,0.182380798949,860.0,-39.0,0.120879213554
中银国际,209.0,-34.0,0.0635293116341,254.0,-31.0,0.0772078715553,28063.0,-22391.0,3.94445740694
云晨期货,75.0,-5.0,0.0227975998687,127.0,82.0,0.0386039357776,163.0,12.0,0.0229108276853
五矿期货,502.0,33.0,0.152591935121,5187.0,71.0,1.57668200692,1852.0,-1307.0,0.260311980817
信达期货,537.0,120.0,0.16323081506,10911.0,109.0,3.3165948289,2951.0,-8753.0,0.414784371161
倍特期货,500.0,32.0,0.151983999125,2421.0,212.0,0.735906523761,1278.0,-4516.0,0.179632133631
先融期货,31.0,-4.0,0.00942300794572,272.0,8.0,0.0826792955238,178.0,-153.0,0.0250191860612
光大期货,3247.0,894.0,0.986984090315,5039.0,-2173.0,1.53169474318,29827.0,-14954.0,4.19240035196
兴业期货,50.0,-2.0,0.0151983999125,139.0,-76.0,0.0422515517566,298.0,-338.0,0.0418860530688
兴证期货,1180.0,-76.0,0.358682237934,1911.0,45.0,0.580882844654,3043.0,-3070.0,0.427715635867
冠通期货,4865.0,391.0,1.47880431148,7092.0,836.0,2.15574104358,3121.0,-1973.0,0.438679099422
创元期货,1971.0,45.0,0.599120924549,910.0,-26.0,0.276610878407,2009.0,-6934.0,0.282379465152
前二十名合计,238782.0,9837.0,72.5820865579,201350.0,13407.0,61.2039564475,478677.0,-378374.0,67.2815108215
前五名合计,130949.0,9002.0,39.8043054027,99347.0,2583.0,30.1983087221,244014.0,-172501.0,34.2979307165
前十名合计,181545.0,11730.0,55.1838702421,139896.0,7988.0,42.5239070831,372114.0,-266402.0,52.3033112471
北京金鹏,71.0,-27.0,0.0215817278757,437.0,86.0,0.132834015235,1091.0,-1753.0,0.153347932544
北京首创,1862.0,-1211.0,0.56598841274,1812.0,-344.0,0.550790012827,3517.0,-251.0,0.494339760547
华创期货,93.0,-3.0,0.0282690238372,298.0,-2.0,0.0905824634782,343.0,-1023.0,0.0482111281966
华安期货,11289.0,66.0,3.43149473223,330.0,-61.0,0.100309439422,4091.0,-7661.0,0.575019607733
华泰长城,10433.0,-352.0,3.17129812573,5658.0,-97.0,1.71985093409,23293.0,-19672.0,3.27399944339
华海期货,1.0,0.0,0.000303967998249,1.0,-2.0,0.000303967998249,2.0,-38.0,0.000281114450126
华联期货,57.0,-24.0,0.0173261759002,252.0,-125.0,0.0765999355588,815.0,-709.0,0.114554138426
华融期货,3322.0,1889.0,1.00978169018,2429.0,191.0,0.738338267747,2862.0,-1709.0,0.40227477813
华西期货,434.0,23.0,0.13192211124,338.0,86.0,0.102741183408,1707.0,-394.0,0.239931183183
华鑫期货,4642.0,4.0,1.41101944787,1862.0,15.0,0.56598841274,4265.0,-6122.0,0.599476564894
华闻期货,318.0,14.0,0.0966618234432,78.0,-29.0,0.0237095038634,293.0,47.0,0.0411832669435
华龙期货,224.0,-34.0,0.0680888316078,206.0,-12.0,0.0626174076393,380.0,120.0,0.053411745524
南华期货,6102.0,435.0,1.85481272532,9884.0,-105.0,3.00441969469,13928.0,-26577.0,1.95768103068
南证期货,116.0,1.0,0.0352602877969,306.0,183.0,0.0930142074642,482.0,-587.0,0.0677485824804
同信久恒,6.0,-3.0,0.00182380798949,367.0,9.0,0.111556255357,1190.0,-1149.0,0.167263097825
和合期货,91.0,-60.0,0.0276610878407,139.0,10.0,0.0422515517566,556.0,-1052.0,0.0781498171351
和融期货,0.0,-3.0,0.0,,,,281.0,-2275.0,0.0394965802427
国信期货,9819.0,3747.0,2.98466177481,4527.0,-2751.0,1.37606312807,9352.0,-10911.0,1.31449116879
国元期货,446.0,-309.0,0.135569727219,662.0,215.0,0.201226814841,1744.0,-739.0,0.24513180051
国富期货,2.0,0.0,0.000607935996498,13.0,-440.0,0.00395158397724,554.0,25.0,0.0778687026849
国投期货,1684.0,-32.0,0.511882109052,1057.0,16.0,0.321294174149,506.0,-41349.0,0.0711219558819
国泰君安,2425.0,-141.0,0.737122395754,8658.0,372.0,2.63175492884,18589.0,-12381.0,2.6128182567
国海良时,2135.0,285.0,0.648971676262,4719.0,1068.0,1.43442498374,9461.0,-6556.0,1.32981190632
国联期货,2410.0,-158.0,0.73256287578,2699.0,-659.0,0.820409627274,5665.0,-2740.0,0.796256679982
国贸期货,533.0,8.0,0.162014943067,1614.0,325.0,0.490604349174,1551.0,-2216.0,0.218004256073
国都期货,94.0,36.0,0.0285729918354,87.0,14.0,0.0264452158477,320.0,-51.0,0.0449783120202
国金期货,259.0,109.0,0.0787277115465,1289.0,90.0,0.391814749743,1205.0,-1555.0,0.169371456201
大地期货,5823.0,-2353.0,1.7700056538,3097.0,790.0,0.941388890578,5489.0,-13606.0,0.771518608371
