member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,1789.0,158.0,0.513594905965,1087.0,-110.0,0.31206129837,21508.0,10515.0,1.19935849823
万达期货,2252.0,89.0,0.646515219807,4961.0,684.0,1.42422824399,17133.0,3754.0,0.95539376744
上海东亚,87.0,-9.0,0.0249763872661,2500.0,1030.0,0.71771227776,3009.0,2658.0,0.167791971413
上海中期,2213.0,15.0,0.635318908274,4561.0,187.0,1.30939427955,12664.0,6606.0,0.706187280153
上海中财,2093.0,1532.0,0.600868718941,1760.0,78.0,0.505269443543,7512.0,5508.0,0.41889441318
上海大陆,784.0,-43.0,0.225074570306,227.0,-36.0,0.0651682748206,3639.0,1853.0,0.202922892647
上海浙石,1442.0,478.0,0.413976441812,1068.0,341.0,0.306606685059,1145.0,8.0,0.063849055257
上海通联,11.0,0.0,0.00315793402215,300.0,-300.0,0.0861254733312,388.0,-99.0,0.0216361864102
东兴期货,24.0,-17.0,0.0068900378665,197.0,13.0,0.0565557274875,1348.0,-90.0,0.0751690187655
东吴期货,2123.0,309.0,0.609481266274,3440.0,3059.0,0.987572094198,7118.0,4784.0,0.396923646567
东方期货,104.0,5.0,0.0298568307548,104.0,5.0,0.0298568307548,10.0,10.0,0.000557633670367
东方汇金,660.0,301.0,0.189476041329,419.0,-169.0,0.120288577753,5420.0,3127.0,0.302237449339
东海期货,905.0,-1412.0,0.259811844549,246.0,-111.0,0.0706228881316,15897.0,11196.0,0.886470245783
东航期货,4001.0,-83.0,1.14862672933,3954.0,766.0,1.13513373851,41251.0,23551.0,2.30029465363
东证期货,2389.0,-964.0,0.685845852628,11450.0,-596.0,3.28712223214,27098.0,13150.0,1.51107571996
中信建投,1021.0,-226.0,0.293113694237,1150.0,-107.0,0.33014764777,21497.0,12592.0,1.19874510119
中信期货,20674.0,1361.0,5.93519345217,20790.0,5865.0,5.96849530186,31530.0,14610.0,1.75821896267
中原期货,358.0,284.0,0.102776398175,111.0,-117.0,0.0318664251326,1803.0,172.0,0.100541350767
中国国际,7745.0,764.0,2.2234726365,7644.0,302.0,2.19447706048,26750.0,2889.0,1.49167006823
中大期货,4358.0,440.0,1.25111604259,2377.0,-383.0,0.682400833695,14769.0,4122.0,0.823569167765
中州期货,314.0,-102.0,0.0901446620867,59.0,-12.0,0.0169380097551,3216.0,1444.0,0.17933498839
中投期货,533.0,13.0,0.153016257619,1233.0,809.0,0.353975695391,4884.0,1841.0,0.272348284607
中粮期货,11734.0,5855.0,3.3686543469,8359.0,3314.0,2.39974277192,15403.0,5618.0,0.858923142466
中航期货,309.0,-93.0,0.0887092375312,542.0,85.0,0.155600021818,6666.0,2924.0,0.371718604667
中融汇信,500.0,46.0,0.143542455552,5590.0,-38.0,1.60480465307,35044.0,20921.0,1.95417143443
中衍期货,648.0,-346.0,0.186031022395,642.0,-6.0,0.184308512929,8962.0,2463.0,0.499751295383
中辉期货,1445.0,-233.0,0.414837696546,584.0,-330.0,0.167657588085,14769.0,5866.0,0.823569167765
中钢期货,1186.0,-8.0,0.34048270457,232.0,-131.0,0.0666036993762,1815.0,827.0,0.101210511172
中银国际,55.0,-26.0,0.0157896701107,28.0,-431.0,0.00803837751092,99085.0,16327.0,5.52531322283
云晨期货,50.0,-37.0,0.0143542455552,48.0,-80.0,0.013780075733,1569.0,971.0,0.0874927228806
五矿期货,3200.0,766.0,0.918671715533,6198.0,101.0,1.77935227902,8675.0,2207.0,0.483747209043
信达期货,10386.0,-558.0,2.98166388673,3786.0,864.0,1.08690347344,11660.0,856.0,0.650200859648
倍特期货,2777.0,-283.0,0.797234798136,732.0,303.0,0.210146154928,4364.0,2079.0,0.243351333748
先融期货,51.0,8.0,0.0146413304663,137.0,-11.0,0.0393306328213,1735.0,736.0,0.0967494418087
光大期货,2420.0,-104.0,0.694745484872,3615.0,-301.0,1.03781195364,32941.0,14724.0,1.83690107356
兴业期货,803.0,344.0,0.230529183617,1244.0,330.0,0.357133629414,2544.0,1664.0,0.141862005741
兴证期货,1785.0,-855.0,0.512446566321,1944.0,1455.0,0.558093067186,13010.0,6392.0,0.725481405148
冠通期货,2991.0,-110.0,0.858670969113,1077.0,-62.0,0.309190449259,6232.0,4620.0,0.347517303373
创元期货,271.0,-49.0,0.0778000109092,191.0,10.0,0.0548332180209,9103.0,5592.0,0.507613930135
前二十名合计,226111.0,32498.0,64.9130563347,245805.0,26884.0,70.566906574,1018447.0,455930.0,56.7920338684
前五名合计,109852.0,9987.0,31.5368516546,110044.0,19127.0,31.5919719575,421590.0,158836.0,23.509277909
前十名合计,165656.0,22695.0,47.5573380339,175429.0,26389.0,50.3630188701,671293.0,275082.0,37.4335579482
北京金鹏,175.0,47.0,0.0502398594432,206.0,10.0,0.0591394916875,2033.0,602.0,0.113366925186
北京首创,441.0,-23.0,0.126604445797,245.0,-110.0,0.0703358032205,5163.0,603.0,0.287906264011
华创期货,48.0,-3.0,0.013780075733,99.0,20.0,0.0284214061993,1525.0,401.0,0.085039134731
华安期货,1464.0,-96.0,0.420292309856,861.0,670.0,0.247180108461,9486.0,3456.0,0.52897129971
华泰长城,8710.0,1909.0,2.50050957572,2546.0,1079.0,0.730918183671,43920.0,11507.0,2.44912708025
