member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,30915.0,13857.0,3.25278957087,16018.0,456.0,1.68536902301,,,
万达期货,19567.0,820.0,2.05878484662,63909.0,-257.0,6.7243256893,207265.0,21517.0,9.28150872152
东海期货,,,,,,,163939.0,-31552.0,7.34133239234
东航期货,,,,,,,45655.0,12588.0,2.04447099453
东证期货,,,,,,,37398.0,10403.0,1.67471528318
中信期货,22373.0,-472.0,2.35402429465,39294.0,580.0,4.13440444437,49174.0,21235.0,2.20205490494
中国国际,30020.0,-1867.0,3.15862018171,,,,41265.0,8102.0,1.8478829392
中粮期货,18625.0,-2379.0,1.95967024931,,,,,,
中银国际,,,,,,,165613.0,17023.0,7.41629558246
五矿期货,,,,13506.0,1845.0,1.42106343019,,,
光大期货,20724.0,-358.0,2.18052114076,20971.0,-120.0,2.20650978783,35904.0,-5595.0,1.60781265114
冠通期货,,,,,,,36635.0,7720.0,1.6405474731
前二十名合计,476815.0,9957.0,50.1691366403,594660.0,11334.0,62.5684569372,1317641.0,82557.0,59.0051211412
前五名合计,188489.0,12634.0,19.8322837918,272663.0,-2101.0,28.6888359296,679681.0,-11019.0,30.4367120804
前十名合计,304743.0,10533.0,32.0642035321,410718.0,-3402.0,43.2145957292,939615.0,31502.0,42.0767848762
华泰长城,34289.0,-320.0,3.60779238543,32792.0,-2200.0,3.45028224512,65648.0,14952.0,2.93977509252
南华期货,,,,19994.0,-506.0,2.10371258871,,,
国投期货,,,,36701.0,-17.0,3.86157625879,,,
国泰君安,20442.0,-1370.0,2.15084989189,26849.0,-308.0,2.82497645765,,,
宏源期货,15325.0,2558.0,1.61245350715,13507.0,2865.0,1.42116864738,38351.0,-4244.0,1.71739146011
广发期货,,,,23284.0,-428.0,2.44987715893,67944.0,10956.0,3.04259198888
弘业期货,16084.0,493.0,1.69231335785,,,,,,
徽商期货,15165.0,-449.0,1.59561875602,,,,53130.0,-3987.0,2.37920805913
新湖期货,,,,22071.0,5673.0,2.32224870188,36120.0,16101.0,1.61748532083
新纪元期货,13251.0,-4081.0,1.39423304556,,,,,,
方正中期,37220.0,449.0,3.91618398279,,,,36580.0,4166.0,1.6380845248
格林大华期货,,,,24403.0,1750.0,2.56761519968,,,
永安期货,22402.0,-2886.0,2.35707559329,74584.0,-1762.0,7.84751924159,37272.0,11737.0,1.66907289252
浙商期货,,,,,,,36228.0,-5492.0,1.62232165567
海通期货,,,,,,,74920.0,-28963.0,3.35498339525
混沌天成期货,,,,30727.0,-115.0,3.23300873829,,,
瑞达期货,12555.0,144.0,1.32100187813,15116.0,253.0,1.59046311348,,,
申银万国,56045.0,515.0,5.89689767102,23146.0,-278.0,2.43535718607,46327.0,-2267.0,2.07456374468
迈科期货,,,,18915.0,4130.0,1.99018323574,,,
银河期货,26988.0,2440.0,2.8396016477,58175.0,-645.0,6.1210102955,,,
长江期货,20385.0,3222.0,2.1448525118,,,,42273.0,8157.0,1.89302206443
首创期货,20673.0,466.0,2.17515506384,20698.0,418.0,2.17778549371,,,
鲁证期货,23767.0,-825.0,2.50069706391,,,,,,
