member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,2861.0,1378.0,5.00787677227,106.0,2.0,0.185541746893,1462.0,357.0,0.86543698056
万达期货,263.0,1.0,0.460353579555,1183.0,982.0,2.07071591108,9185.0,7979.0,5.43709895106
上海东亚,56.0,50.0,0.0980220549624,37.0,0.0,0.0647645720287,50.0,44.0,0.0295977079535
上海中期,1104.0,19.0,1.93243479783,829.0,-203.0,1.45107649221,1638.0,-1297.0,0.969620912557
上海中财,67.0,6.0,0.117276387187,2113.0,-17.0,3.69858218099,285.0,219.0,0.168706935335
上海大陆,526.0,449.0,0.920707159111,2811.0,1.0,4.92035708034,768.0,-1220.0,0.454620794166
上海浙石,5.0,0.0,0.00875196919307,,,,46.0,46.0,0.0272298913172
上海通联,2.0,0.0,0.00350078767723,2.0,1.0,0.00350078767723,1.0,0.0,0.00059195415907
东兴期货,69.0,-23.0,0.120777174864,22.0,-7.0,0.0385086644495,642.0,375.0,0.380034570123
东吴期货,38.0,6.0,0.0665149658673,52.0,13.0,0.0910204796079,101.0,-1.0,0.0597873700661
东方期货,30.0,0.0,0.0525118151584,30.0,0.0,0.0525118151584,,,
东方汇金,82.0,8.0,0.143532294766,66.0,6.0,0.115525993349,224.0,-217.0,0.132597731632
东海期货,142.0,3.0,0.248555925083,98.0,51.0,0.171538596184,458.0,82.0,0.271115004854
东航期货,268.0,-54.0,0.469105548748,682.0,-56.0,1.19376859793,2032.0,286.0,1.20285085123
东证期货,576.0,184.0,1.00822685104,222.0,-160.0,0.388587432172,19716.0,10002.0,11.6709682002
中信建投,294.0,-107.0,0.514615788552,42.0,-44.0,0.0735165412218,607.0,-67.0,0.359316174555
中信期货,1273.0,-255.0,2.22825135656,1252.0,-165.0,2.19149308594,1704.0,-2086.0,1.00868988706
中原期货,59.0,-22.0,0.103273236478,19.0,-16.0,0.0332574829337,236.0,-144.0,0.139701181541
中国国际,508.0,-33.0,0.889200070016,338.0,95.0,0.591633117451,1218.0,-158.0,0.721000165747
中大期货,339.0,80.0,0.59338351129,1013.0,139.0,1.77314895852,1695.0,-143.0,1.00336229962
中州期货,59.0,12.0,0.103273236478,19.0,8.0,0.0332574829337,52.0,-190.0,0.0307816162716
中投期货,137.0,-25.0,0.23980395589,41.0,13.0,0.0717661473832,116.0,-245.0,0.0686666824521
中粮期货,1725.0,-138.0,3.01942937161,244.0,-160.0,0.427096096622,960.0,-544.0,0.568275992707
中航期货,23.0,-1.0,0.0402590582881,13.0,-4.0,0.022755119902,151.0,-206.0,0.0893850780196
