member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
上海中期,,,,,,,7378.0,171.0,6.53869332483
东证期货,,,,,,,5739.0,-2640.0,5.08614272041
中信期货,,,,1880.0,422.0,1.95868018295,3803.0,-328.0,3.37037824808
中国国际,4355.0,28.0,4.53726180678,2726.0,-68.0,2.84008626528,,,
中粮期货,3242.0,16.0,3.37768146443,,,,1997.0,-74.0,1.76982523308
中融汇信,,,,,,,10940.0,-220.0,9.69548725584
中辉期货,1901.0,224.0,1.98055905733,,,,,,
云晨期货,1547.0,29.0,1.61174374629,,,,,,
五矿期货,1876.0,37.0,1.9545127783,,,,3427.0,1258.0,3.03715126378
光大期货,1267.0,-95.0,1.32002542117,,,,,,
兴证期货,,,,1255.0,384.0,1.30752320723,5240.0,-1970.0,4.64390797263
冠通期货,4519.0,-12.0,4.70812539721,,,,,,
前二十名合计,57943.0,701.0,60.3679818301,34217.0,3115.0,35.6490211808,72661.0,-6104.0,64.3952284732
前五名合计,30265.0,42.0,31.531625392,13775.0,438.0,14.3514997447,34420.0,-3533.0,30.5044489347
前十名合计,43940.0,338.0,45.7789400206,22610.0,2347.0,23.5562547534,52247.0,-4821.0,46.3034847035
华泰长城,,,,848.0,-156.0,0.883489784649,,,
华鑫期货,,,,,,,5123.0,1126.0,4.54021766103
国元期货,1069.0,313.0,1.11373889126,,,,,,
国泰君安,1199.0,44.0,1.24917954221,958.0,72.0,0.998093412375,4070.0,-2032.0,3.60700485661
国贸期货,,,,1745.0,-8.0,1.81803027619,,,
山金期货,2472.0,0.0,2.57545607035,,,,,,
平安期货,,,,,,,1392.0,1279.0,1.23364883548
广发期货,1520.0,-48.0,1.58361376494,1735.0,-12.0,1.80761176458,2396.0,-207.0,2.12343578291
建信期货,,,,1356.0,851.0,1.41275017451,1762.0,-1364.0,1.5615583679
招商期货,,,,1606.0,-22.0,1.6732129648,,,
招金期货,7350.0,63.0,7.6576060344,2597.0,41.0,2.70568746549,,,
新湖期货,1062.0,52.0,1.10644593313,1536.0,-164.0,1.60028338352,1984.0,-439.0,1.75830408735
方正中期,1618.0,28.0,1.68571517873,,,,1480.0,-297.0,1.31163812967
永安期货,4045.0,11.0,4.21428794682,904.0,-38.0,0.941833449673,,,
江西瑞奇,,,,1746.0,559.0,1.81907212736,,,
浙商期货,6.0,0.0,0.00625110696686,,,,,,
浙新世纪,,,,956.0,-18.0,0.996009710053,,,
海通期货,,,,2298.0,101.0,2.39417396831,3534.0,-1545.0,3.13197915559
瑞达期货,,,,,,,2180.0,267.0,1.93200751533
申万期货,1099.0,-3.0,1.1449944261,12.0,0.0,0.0125022139337,2884.0,-514.0,2.55592186891
财富期货,,,,3906.0,-12.0,4.06947063543,,,
金友期货,1746.0,6.0,1.81907212736,,,,,,
金瑞期货,5097.0,-20.0,5.31031536835,1729.0,948.0,1.80136065762,2510.0,429.0,2.22446736857
铜冠金源,2015.0,45.0,2.0993300897,1511.0,-6.0,1.57423710449,1829.0,-363.0,1.62093658052
银河期货,8944.0,-17.0,9.31831678526,2248.0,376.0,2.34208141025,2993.0,1359.0,2.65252224467
长江期货,,,,677.0,-135.0,0.705333236094,,,
鲁证期货,3.0,0.0,0.00312555348343,,,,,,
