member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,75.0,0.0,0.0657888965886,120.0,0.0,0.105262234542,,,
万达期货,,,,1116.0,-6.0,0.978938781239,,,
上海中期,,,,2939.0,49.0,2.57804756099,24447.0,1533.0,3.57979605105
东兴期货,19.0,0.0,0.0166665204691,37.0,0.0,0.0324558556504,,,
东吴期货,,,,68.0,-11.0,0.0596485995737,,,
东海期货,148.0,-1.0,0.129823422602,,,,,,
东航期货,,,,468.0,14.0,0.410522714713,6758.0,1544.0,0.989579977625
东证期货,1196.0,-92.0,1.04911360427,4645.0,-378.0,4.07452566206,41888.0,815.0,6.13369726291
中信期货,2489.0,201.0,2.18331418145,3407.0,28.0,2.9885702757,17322.0,1079.0,2.53647593555
中国国际,3143.0,603.0,2.75699335971,4375.0,244.0,3.83768563434,117.0,50.0,0.0171324145283
中大期货,2131.0,248.0,1.8692818484,,,,5300.0,283.0,0.776083735042
中粮期货,1390.0,523.0,1.21928755011,952.0,360.0,0.835080394032,,,
中航期货,10.0,0.0,0.00877185287848,,,,,,
中融汇信,,,,61.0,0.0,0.0535083025587,38522.0,5861.0,5.64081087572
中辉期货,1022.0,-8.0,0.896483364181,,,,147.0,-41.0,0.0215253413304
中钢期货,,,,91.0,0.0,0.0798238611942,43.0,24.0,0.00629652841638
五矿期货,2921.0,-17.0,2.56225822581,1163.0,-95.0,1.02016648977,5900.0,3775.0,0.863942271085
倍特期货,1480.0,-528.0,1.29823422602,95.0,0.0,0.0833326023456,,,
先融期货,252.0,0.0,0.221050692538,,,,,,
光大期货,597.0,1.0,0.523679616845,1087.0,68.0,0.953500407891,,,
兴业期货,,,,2184.0,82.0,1.91577266866,,,
兴证期货,1274.0,86.0,1.11753405672,1575.0,-75.0,1.38156682836,22901.0,-2311.0,3.35341388985
前二十名合计,50714.0,3132.0,44.4855746879,63620.0,2733.0,55.8065280129,341504.0,7721.0,50.0067358211
前五名合计,18670.0,2029.0,16.3770493241,26190.0,750.0,22.9734826887,152712.0,4325.0,22.3617545935
前十名合计,31966.0,2283.0,28.0401049114,42504.0,1745.0,37.2838834747,240202.0,153.0,35.1729934575
华泰期货,2983.0,-240.0,2.61664371365,4630.0,52.0,4.06136788274,15014.0,445.0,2.19851343357
华融期货,,,,915.0,3.0,0.802624538381,,,
华西期货,,,,,,,6482.0,-2203.0,0.949165051046
南华期货,3884.0,483.0,3.406987658,1882.0,143.0,1.65086271173,12565.0,1169.0,1.83990417562
国信期货,1919.0,-57.0,1.68331856738,,,,21.0,-4.0,0.00307504876149
国投期货,,,,,,,12266.0,6777.0,1.7961213385
国泰君安,1865.0,54.0,1.63595056184,3023.0,105.0,2.65173112517,6016.0,151.0,0.880928254719
国海良时,1041.0,13.0,0.91314988465,,,,,,
国贸期货,87.0,-3.0,0.0763151200428,3577.0,-40.0,3.13769177463,,,
国金期货,,,,,,,129.0,111.0,0.0188895852491
大地期货,146.0,0.0,0.128069052026,2286.0,-39.0,2.00524556802,,,
安粮期货,102.0,23.0,0.0894728993605,,,,37.0,33.0,0.00541794305595
宏源期货,,,,,,,42.0,41.0,0.00615009752298
宝城期货,,,,65.0,0.0,0.0570170437101,4478.0,324.0,0.655717540664
山金期货,,,,899.0,-3.0,0.788589573776,,,
广发期货,2212.0,-34.0,1.94033385672,3134.0,-263.0,2.74909869212,10517.0,-319.0,1.54001370593
弘业期货,1898.0,-15.0,1.66489767634,,,,,,
徽商期货,,,,,,,11543.0,843.0,1.69025180256
恒泰期货,,,,,,,6270.0,-1119.0,0.918121701644
新湖期货,2452.0,421.0,2.1508583258,2845.0,15.0,2.49559214393,,,
方正中期,2987.0,18.0,2.6201524548,,,,24954.0,-1573.0,3.65403651401
格林大华,138.0,-9.0,0.121051569723,,,,4.0,4.0,0.000585723573617
永安期货,5591.0,414.0,4.90434294436,6403.0,206.0,5.61661739809,6241.0,776.0,0.913875205735
浙商期货,2240.0,188.0,1.96489504478,2395.0,575.0,2.1008587644,41.0,21.0,0.00600366662957
海航东银,110.0,0.0,0.0964903816633,,,,,,
海通期货,2451.0,-111.0,2.14998114052,3173.0,1165.0,2.78330891834,18902.0,-88.0,2.76783674713
瑞达期货,,,,995.0,273.0,0.872799361409,5849.0,911.0,0.856474295521
申万期货,2339.0,384.0,2.05173638828,2459.0,334.0,2.15699862282,16649.0,2611.0,2.43792794429
美尔雅,,,,,,,22.0,21.0,0.00322147965489
财达期货,,,,310.0,9.0,0.271927439233,,,
迈科期货,,,,,,,4812.0,-964.0,0.704625459061
金瑞期货,,,,1388.0,-1.0,1.21753317953,15401.0,-1318.0,2.25518218932
金石期货,,,,,,,24.0,16.0,0.0035143414417
鑫鼎盛,80.0,0.0,0.0701748230279,,,,,,
铜冠金源,,,,,,,13646.0,-345.0,1.99819597139
银河期货,3065.0,511.0,2.68857290726,6137.0,626.0,5.38328611153,19216.0,-6456.0,2.81381604765
集成期货,,,,,,,22.0,-1.0,0.00322147965489
鲁证期货,836.0,184.0,0.733326900641,,,,,,
