member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,3141.0,1325.0,1.27111956456,1897.0,9.0,0.767689848445,5288.0,947.0,0.894645660766
万达期货,11291.0,-3047.0,4.56931264038,6130.0,253.0,2.48072681654,15726.0,-1228.0,2.66058957284
上海东亚,533.0,76.0,0.215697780296,121.0,76.0,0.0489670383036,412.0,-462.0,0.069703860105
上海中期,2172.0,-77.0,0.878978571862,2281.0,45.0,0.923089374962,3338.0,1007.0,0.564736614152
上海中财,202.0,-84.0,0.0817466259282,123.0,-21.0,0.0497764108375,941.0,-485.0,0.159202263007
上海大陆,394.0,-43.0,0.159446389187,13009.0,2683.0,5.26456364703,4542.0,-264.0,0.76843430242
上海浙石,101.0,-9.0,0.0408733129641,8.0,2.0,0.00323749013577,113.0,97.0,0.0191178062909
上海通联,305.0,100.0,0.123429311426,3.0,0.0,0.00121405880091,504.0,504.0,0.0852687997401
东兴期货,157.0,22.0,0.0635357439145,293.0,4.0,0.118573076223,284.0,-424.0,0.0480482919171
东吴期货,495.0,115.0,0.200319702151,173.0,-34.0,0.0700107241861,2301.0,-389.0,0.389292675004
东方期货,42.0,9.0,0.0169968232128,20.0,-12.0,0.00809372533943,21.0,-131.0,0.00355286665584
东方汇金,595.0,217.0,0.240788328848,171.0,60.0,0.0692013516521,3191.0,-653.0,0.539866547561
东海期货,911.0,80.0,0.368669189211,152.0,12.0,0.0615123125797,3244.0,-49.0,0.548833306264
东航期货,2543.0,-16.0,1.02911717691,1788.0,-39.0,0.723579045345,9525.0,-540.0,1.61147880461
东证期货,2657.0,-197.0,1.07525141134,1971.0,107.0,0.797636632201,6348.0,-1293.0,1.07398083482
中信建投,2216.0,-136.0,0.896784767609,6157.0,42.0,2.49165334574,9444.0,183.0,1.59777489037
中信期货,11104.0,-56.0,4.49363630845,10115.0,-206.0,4.09340159042,12662.0,-4447.0,2.14220940934
中原期货,243.0,-18.0,0.0983387628741,251.0,61.0,0.10157625301,1209.0,73.0,0.2045436089
中国国际,2418.0,-27.0,0.978531393537,2486.0,302.0,1.00605005969,4743.0,-1725.0,0.80244031184
中大期货,1609.0,-61.0,0.651140203557,509.0,-570.0,0.205985309889,3201.0,-1441.0,0.541558388826
中州期货,372.0,27.0,0.150543291313,82.0,3.0,0.0331842738917,970.0,-859.0,0.164108602674
中投期货,1821.0,-4.0,0.736933692155,153.0,11.0,0.0619169988466,3089.0,81.0,0.522609766661
中粮期货,7956.0,-503.0,3.21968394003,41432.0,-201.0,16.7669614132,2372.0,-2538.0,0.401304747983
中航期货,238.0,-170.0,0.0963153315392,37.0,2.0,0.0149733918779,2264.0,709.0,0.383032862325
中融汇信,492.0,15.0,0.19910564335,153.0,-30.0,0.0619169988466,58003.0,-3003.0,9.81318688755
中衍期货,1406.0,-219.0,0.568988891362,246.0,-8.0,0.099552821675,8205.0,1314.0,1.38815575767
中辉期货,2235.0,139.0,0.904473806681,282.0,102.0,0.114121527286,3691.0,-1018.0,0.624458610795
中钢期货,425.0,-293.0,0.171991663463,194.0,-32.0,0.0785091357925,997.0,-17.0,0.168676574089
中银国际,28.0,0.0,0.0113312154752,27.0,-1.0,0.0109265292082,14687.0,254.0,2.48480726544
云晨期货,37.0,1.0,0.0149733918779,1.0,-6.0,0.000404686266972,167.0,-153.0,0.0282537491202
五矿经易,2419.0,189.0,0.978936079804,819.0,45.0,0.33143805265,3080.0,355.0,0.521087109523
信达期货,2993.0,-37.0,1.21122599705,303.0,4.0,0.122619938892,3459.0,-838.0,0.585207893455
倍特期货,414.0,-22.0,0.167540114526,2873.0,45.0,1.16266364501,1535.0,-927.0,0.259697634129
先融期货,115.0,6.0,0.0465389207017,13.0,6.0,0.00526092147063,154.0,-302.0,0.0260543554762
光大期货,26892.0,1063.0,10.8828230914,4351.0,55.0,1.76078994759,19484.0,-309.0,3.29638352011
兴业期货,44.0,0.0,0.0178061957467,44.0,-2.0,0.0178061957467,158.0,45.0,0.026731091982
兴证期货,3733.0,879.0,1.5106938346,2131.0,95.0,0.862386434916,6808.0,540.0,1.151805533
冠通期货,1744.0,-536.0,0.705772849598,249.0,-17.0,0.100766880476,3815.0,-394.0,0.645437442477
创元期货,553.0,98.0,0.223791505635,37.0,-200.0,0.0149733918779,1928.0,-127.0,0.326186995831
前二十名合计,154627.0,4328.0,62.575423403,189634.0,2411.0,76.7422755509,343198.0,-31577.0,58.0636538357
前五名合计,78231.0,3139.0,31.6590113514,111705.0,1303.0,45.2054794521,168438.0,-2728.0,28.4970358941
