member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,194.0,23.0,0.378995076971,87.0,-15.0,0.169961709776,574.0,210.0,0.592461087486
万达期货,1051.0,-117.0,2.05321559741,744.0,-43.0,1.45346565601,1128.0,-1424.0,1.16427893151
上海东亚,,,,13.0,-2.0,0.0253965773228,6.0,-14.0,0.00619297303992
上海中期,704.0,1.0,1.37532234117,632.0,46.0,1.23466437446,1601.0,333.0,1.65249163949
上海中财,108.0,6.0,0.210986950066,59.0,-3.0,0.115261389388,95.0,-21.0,0.0980554064655
上海大陆,289.0,-32.0,0.564585449715,212.0,-2.0,0.414159568649,152.0,-43.0,0.156888650345
上海浙石,4.0,0.0,0.00781433148394,100.0,0.0,0.195358287099,20.0,-88.0,0.0206432434664
上海通联,20.0,0.0,0.0390716574197,77.0,0.0,0.150425881066,24.0,-175.0,0.0247718921597
东兴期货,83.0,42.0,0.162147378292,31.0,6.0,0.0605610690005,130.0,9.0,0.134181082532
东吴期货,199.0,24.0,0.388762991326,194.0,147.0,0.378995076971,585.0,247.0,0.603814871393
东方期货,3.0,0.0,0.00586074861296,5.0,0.0,0.00976791435493,10.0,10.0,0.0103216217332
东方汇金,111.0,-30.0,0.216847698679,306.0,-76.0,0.597796358522,540.0,-279.0,0.557367573593
东海期货,368.0,95.0,0.718918496523,258.0,29.0,0.504024380714,668.0,146.0,0.689484331778
东航期货,1145.0,-330.0,2.23685238728,1994.0,57.0,3.89544424474,3683.0,-759.0,3.80145328434
东证期货,374.0,62.0,0.730639993749,1151.0,79.0,2.2485738845,1473.0,265.0,1.5203748813
中信建投,597.0,-46.0,1.16628897398,2685.0,-494.0,5.2453700086,2454.0,25.0,2.53292597333
中信期货,1354.0,420.0,2.64515120731,1080.0,-93.0,2.10986950066,2543.0,-527.0,2.62478840675
中原期货,402.0,-26.0,0.785340314136,140.0,11.0,0.273501601938,589.0,-79.0,0.607943520086
中国国际,975.0,33.0,1.90474329921,491.0,14.0,0.959209189654,1435.0,-464.0,1.48115271872
中大期货,869.0,2.0,1.69766351489,462.0,-8.0,0.902555286395,1314.0,-112.0,1.35626109574
中州期货,86.0,7.0,0.168008126905,9.0,-9.0,0.0175822458389,158.0,-7.0,0.163081623385
中投期货,266.0,-106.0,0.519653043682,186.0,0.0,0.363366414003,378.0,-211.0,0.390157301515
中粮期货,960.0,-473.0,1.87543955615,1295.0,162.0,2.52988981793,1175.0,-571.0,1.21279055365
中航期货,89.0,27.0,0.173868875518,39.0,-23.0,0.0761897319684,242.0,-57.0,0.249783245944
中融汇信,18.0,-7.0,0.0351644916777,16.0,-8.0,0.0312573259358,2841.0,-1097.0,2.9323727344
中衍期货,1569.0,91.0,3.06517152458,312.0,-7.0,0.609517855747,1228.0,-500.0,1.26749514884
中辉期货,2048.0,-8.0,4.00093771978,177.0,-21.0,0.345784168164,849.0,-522.0,0.876305685149
中钢期货,183.0,103.0,0.35750566539,345.0,300.0,0.67398609049,447.0,73.0,0.461376491474
中银国际,24.0,-13.0,0.0468859889036,30.0,2.0,0.0586074861296,833.0,-67.0,0.859791090376
云晨期货,34.0,0.0,0.0664218176135,1.0,-31.0,0.00195358287099,53.0,-79.0,0.054704595186
五矿经易,568.0,88.0,1.10963507072,211.0,-25.0,0.412205985778,505.0,-204.0,0.521241897527
信达期货,323.0,-6.0,0.631007267328,225.0,78.0,0.439556145972,1484.0,-938.0,1.53172866521
倍特期货,251.0,28.0,0.490349300617,164.0,9.0,0.320387590842,395.0,-72.0,0.407704058462
先融期货,9.0,0.0,0.0175822458389,8.0,2.0,0.0156286629679,126.0,-615.0,0.130052433838
光大期货,759.0,17.0,1.48276939908,850.0,89.0,1.66054544034,1206.0,-623.0,1.24478758102
兴业期货,8.0,3.0,0.0156286629679,8.0,-157.0,0.0156286629679,254.0,-52.0,0.262169192023
兴证期货,220.0,-65.0,0.429788231617,1053.0,464.0,2.05712276315,1697.0,-586.0,1.75157920813
冠通期货,143.0,-54.0,0.279362350551,259.0,-4.0,0.505977963585,290.0,-133.0,0.299327030263
创元期货,86.0,10.0,0.168008126905,236.0,64.0,0.461045557553,452.0,11.0,0.466537302341
前二十名合计,27324.0,1419.0,53.3796983668,29948.0,766.0,58.5058998203,48080.0,-13286.0,49.6263572933
前五名合计,10476.0,512.0,20.4657341564,12523.0,-217.0,24.4647182934,17387.0,-5114.0,17.9462037075
前十名合计,17421.0,1356.0,34.0333671954,20240.0,-13.0,39.5405173087,30367.0,-8974.0,31.3436687172
北京金鹏,340.0,12.0,0.664218176135,305.0,-15.0,0.595842775651,381.0,-276.0,0.393253788035
北京首创,704.0,50.0,1.37532234117,581.0,28.0,1.13503164804,430.0,-610.0,0.443829734528
华创期货,48.0,0.0,0.0937719778073,21.0,2.0,0.0410252402907,130.0,21.0,0.134181082532
华安期货,165.0,44.0,0.322341173713,199.0,-45.0,0.388762991326,405.0,-181.0,0.418025680195
华泰期货,732.0,50.0,1.43002266156,1056.0,60.0,2.06298351176,3280.0,-565.0,3.38549192849
华海期货,12.0,4.0,0.0234429944518,47.0,0.0,0.0918183949363,20.0,14.0,0.0206432434664
华联期货,222.0,-11.0,0.433695397359,238.0,174.0,0.464952723295,371.0,109.0,0.382932166302
华融期货,19.0,2.0,0.0371180745487,11.0,-3.0,0.0214894115808,79.0,-75.0,0.0815408116923
华西期货,211.0,-25.0,0.412205985778,426.0,19.0,0.83222630304,910.0,-391.0,0.939267577722
华鑫期货,1042.0,370.0,2.03563335157,541.0,-47.0,1.0568883332,779.0,-173.0,0.804054333017
华闻期货,7.0,3.0,0.0136750800969,,,,31.0,25.0,0.0319970273729
华龙期货,50.0,7.0,0.0976791435493,62.0,8.0,0.121122138001,139.0,12.0,0.143470542092
南华期货,781.0,53.0,1.52574822224,426.0,43.0,0.83222630304,1666.0,-535.0,1.71958218075
南证期货,181.0,-2.0,0.353598499648,30.0,10.0,0.0586074861296,44.0,22.0,0.0454151356261
同信久恒,177.0,26.0,0.345784168164,44.0,-4.0,0.0859576463234,136.0,-363.0,0.140374055572
和合期货,36.0,0.0,0.0703289833555,6.0,-12.0,0.0117214972259,62.0,-95.0,0.0639940547459
和融期货,11.0,0.0,0.0214894115808,,,,6.0,6.0,0.00619297303992
国信期货,532.0,53.0,1.03930608736,556.0,27.0,1.08619207627,1044.0,162.0,1.07757730895
国元期货,275.0,-44.0,0.537235289521,431.0,74.0,0.841994217395,506.0,244.0,0.5222740597
国富期货,2.0,0.0,0.00390716574197,0.0,-5.0,0.0,9.0,-13.0,0.00928945955989
国投期货,317.0,-16.0,0.619285770102,85.0,21.0,0.166054544034,115.0,-278.0,0.118698649932
国泰君安,1476.0,167.0,2.88348831757,1880.0,-61.0,3.67273579745,3400.0,-2600.0,3.50935138929
国海良时,500.0,62.0,0.976791435493,332.0,68.0,0.648589513167,700.0,-466.0,0.722513521324
国联期货,520.0,-109.0,1.01586309291,431.0,128.0,0.841994217395,583.0,7.0,0.601750547046
国贸期货,118.0,-16.0,0.230522778776,286.0,55.0,0.558724701102,353.0,-199.0,0.364353247182
国都期货,79.0,5.0,0.154333046808,34.0,-13.0,0.0664218176135,58.0,-215.0,0.0598654060526
国金期货,37.0,-127.0,0.0722825662265,236.0,18.0,0.461045557553,351.0,48.0,0.362288922836
大地期货,101.0,28.0,0.19731186997,294.0,152.0,0.57435336407,398.0,-474.0,0.410800544982
大有期货,456.0,-8.0,0.890833789169,41.0,29.0,0.0800968977104,557.0,127.0,0.57491433054
大越期货,171.0,-21.0,0.334062670939,23.0,-8.0,0.0449324060327,423.0,-223.0,0.436604599315
大连良运,79.0,-35.0,0.154333046808,57.0,-1.0,0.111354223646,94.0,-109.0,0.0970232442921
大通期货,14.0,10.0,0.0273501601938,263.0,81.0,0.513792295069,183.0,70.0,0.188885677718
天富期货,6.0,3.0,0.0117214972259,6.0,0.0,0.0117214972259,29.0,5.0,0.0299327030263
天风期货,65.0,-108.0,0.126982886614,1019.0,149.0,1.99070094553,409.0,-129.0,0.422154328888
天鸿期货,19.0,-98.0,0.0371180745487,2.0,-5.0,0.00390716574197,221.0,89.0,0.228107840304
安信期货,478.0,-29.0,0.933812612331,162.0,-4.0,0.3164804251,819.0,10.0,0.84534081995
安粮期货,164.0,-2.0,0.320387590842,124.0,46.0,0.242244276002,830.0,20.0,0.856694603856
宏源期货,374.0,81.0,0.730639993749,521.0,-41.0,1.01781667578,1040.0,82.0,1.07344866025
宝城期货,237.0,60.0,0.462999140424,150.0,16.0,0.293037430648,442.0,-241.0,0.456215680608
山西三立,41.0,5.0,0.0800968977104,4.0,-1.0,0.00781433148394,54.0,25.0,0.0557367573593
山金期货,29.0,-3.0,0.0566539032586,17.0,-8.0,0.0332109088068,63.0,-62.0,0.0650262169192
平安期货,40.0,2.0,0.0781433148394,126.0,22.0,0.246151441744,134.0,31.0,0.138309731225
广发期货,957.0,81.0,1.86957880753,550.0,100.0,1.07447057904,1909.0,-1.0,1.97039758887
广州期货,81.0,19.0,0.15824021255,45.0,-7.0,0.0879112291943,434.0,76.0,0.447958383221
广永期货,256.0,0.0,0.500117214972,16.0,3.0,0.0312573259358,23.0,-140.0,0.0237397299864
建信期货,81.0,0.0,0.15824021255,121.0,-38.0,0.236383527389,224.0,-899.0,0.231204326824
弘业期货,397.0,31.0,0.775572399781,380.0,-54.0,0.742361490974,797.0,-115.0,0.822633252137
德盛期货,115.0,12.0,0.224662030163,46.0,-22.0,0.0898648120653,398.0,185.0,0.410800544982
徽商期货,1031.0,404.0,2.01414393999,865.0,71.0,1.6898491834,3197.0,-514.0,3.29982246811
恒泰期货,292.0,224.0,0.570446198328,132.0,9.0,0.25787293897,537.0,106.0,0.554271087073
招商期货,316.0,-15.0,0.617332187231,370.0,58.0,0.722825662265,853.0,184.0,0.880434333843
招金期货,350.0,144.0,0.683754004845,783.0,18.0,1.52965538798,1328.0,353.0,1.37071136617
文峰期货,28.0,3.0,0.0547003203876,24.0,-48.0,0.0468859889036,185.0,38.0,0.190950002064
新晟期货,96.0,-21.0,0.187543955615,10.0,1.0,0.0195358287099,236.0,34.0,0.243590272904
新湖期货,811.0,-2.0,1.58435570837,455.0,25.0,0.888880206298,1487.0,-425.0,1.53482515173
新疆天利,45.0,16.0,0.0879112291943,,,,36.0,30.0,0.0371578382395
方正中期,1509.0,212.0,2.94795655232,1885.0,66.0,3.68250371181,2314.0,-434.0,2.38842326906
晟鑫期货,36.0,22.0,0.0703289833555,26.0,0.0,0.0507931546456,202.0,-24.0,0.208496759011
格林大华,1057.0,90.0,2.06493709463,556.0,-8.0,1.08619207627,836.0,-138.0,0.862887576896
民生期货,406.0,-31.0,0.79315464562,41.0,-2.0,0.0800968977104,177.0,-253.0,0.182692704678
永安期货,2578.0,-242.0,5.0363366414,1107.0,-15.0,2.16261623818,1755.0,-1588.0,1.81144461418
汇鑫期货,348.0,-41.0,0.679846839103,196.0,6.0,0.382902242713,843.0,177.0,0.870112712109
江信国盛,5.0,0.0,0.00976791435493,42.0,-15.0,0.0820504805814,15.0,-27.0,0.0154824325998
江苏东华,81.0,-2.0,0.15824021255,9.0,1.0,0.0175822458389,89.0,-78.0,0.0918624334255
江苏新纪元,173.0,-16.0,0.33796983668,145.0,4.0,0.283269516293,610.0,123.0,0.629618925726
江西瑞奇,80.0,27.0,0.156286629679,305.0,54.0,0.595842775651,315.0,47.0,0.325131084596
河北恒银,108.0,1.0,0.210986950066,63.0,4.0,0.123075720872,79.0,-39.0,0.0815408116923
津投期货,231.0,47.0,0.451277643198,57.0,-20.0,0.111354223646,215.0,74.0,0.221914867264
浙商期货,1251.0,200.0,2.4439321716,1600.0,-8.0,3.12573259358,1126.0,-601.0,1.16221460716
浙江新世纪,141.0,76.0,0.275455184809,290.0,143.0,0.566539032586,395.0,-42.0,0.407704058462
海航东银,70.0,-3.0,0.136750800969,28.0,4.0,0.0547003203876,287.0,29.0,0.296230543743
海证期货,30.0,-4.0,0.0586074861296,19.0,-8.0,0.0371180745487,50.0,-11.0,0.051608108666
海通期货,816.0,3.0,1.59412362272,3021.0,237.0,5.90177385325,2686.0,-257.0,2.77238759754
深圳瑞龙,139.0,-119.0,0.271548019067,215.0,-29.0,0.420020317262,630.0,195.0,0.650262169192
深圳金汇,9.0,-15.0,0.0175822458389,6.0,-1.0,0.0117214972259,70.0,23.0,0.0722513521324
混沌天成,26.0,11.0,0.0507931546456,58.0,0.0,0.113307806517,31.0,-359.0,0.0319970273729
