member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
上海东证,384.0,1.0,2.82935455349,232.0,-14.0,1.7094017094,289.0,-166.0,1.76284006344
上海中期,,,,244.0,-12.0,1.7978190392,,,
中信建投,,,,104.0,4.0,0.766283524904,245.0,-73.0,1.49444918873
中信期货,754.0,21.0,5.55555555556,987.0,63.0,7.27232537577,1140.0,-59.0,6.95376357204
中大期货,256.0,-3.0,1.88623636899,,,,266.0,-43.0,1.62254483348
光大期货,262.0,-18.0,1.93044503389,233.0,13.0,1.71676982022,481.0,-316.0,2.93400024399
兴证期货,319.0,15.0,2.35042735043,230.0,1.0,1.69466548777,532.0,-46.0,3.24508966695
前二十名合计,6322.0,-54.0,46.5811965812,6353.0,-154.0,46.8096080165,9396.0,-1804.0,57.3136513359
前五名合计,2971.0,65.0,21.8906572355,3126.0,-13.0,23.032714412,3998.0,-637.0,24.386970843
前十名合计,4440.0,-14.0,32.7144120248,4558.0,-6.0,33.5838491011,6465.0,-1291.0,39.4351592046
华泰期货,648.0,6.0,4.77453580902,324.0,6.0,2.38726790451,460.0,-76.0,2.80590459924
华西期货,240.0,24.0,1.76834659593,107.0,-49.0,0.788387857353,,,
南华期货,276.0,-11.0,2.03359858532,265.0,48.0,1.95254936634,385.0,34.0,2.34842015371
国信期货,182.0,-14.0,1.34099616858,209.0,-18.0,1.53993516062,316.0,-63.0,1.92753446383
国泰君安,564.0,28.0,4.15561450044,796.0,-24.0,5.86501620984,748.0,-91.0,4.56264487007
广发期货,166.0,-40.0,1.22310639552,182.0,-79.0,1.34099616858,525.0,-124.0,3.2023911187
招商期货,151.0,6.0,1.11258473327,257.0,-5.0,1.89360447981,277.0,-150.0,1.68964255215
方正中期,,,,148.0,7.0,1.09048040083,,,
永安期货,306.0,-13.0,2.25464190981,390.0,-1.0,2.87356321839,502.0,-101.0,3.06209588874
浙商期货,114.0,-61.0,0.839964633068,106.0,-1.0,0.781019746537,324.0,21.0,1.97633280468
海通期货,621.0,9.0,4.57559681698,614.0,-44.0,4.52402004126,977.0,-164.0,5.95949737709
申银万国,300.0,-72.0,2.21043324492,287.0,-21.0,2.1146478043,499.0,-37.0,3.04379651092
财富期货,179.0,29.0,1.31889183613,,,,,,
金瑞期货,,,,,,,265.0,-37.0,1.61644504087
银河期货,268.0,2.0,1.97465369879,299.0,-21.0,2.2030651341,601.0,-277.0,3.66597535684
长江期货,115.0,-20.0,0.847332743884,,,,264.0,-14.0,1.61034524826
鲁证期货,217.0,57.0,1.59888004716,339.0,-7.0,2.49778956676,300.0,-22.0,1.82993778212
