member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
万达期货,,,,76.0,67.0,0.442813028025,152.0,64.0,0.865702243991
上海东证,68.0,-82.0,0.396201130339,108.0,-99.0,0.629260618773,305.0,9.0,1.73709989748
东航期货,,,,50.0,-15.0,0.291324360543,,,
中信建投,66.0,-6.0,0.384548155917,175.0,-59.0,1.0196352619,155.0,-85.0,0.882788472491
中信期货,1060.0,-174.0,6.17607644351,414.0,-221.0,2.4121657053,683.0,-174.0,3.88996468846
五矿经易,,,,117.0,-118.0,0.681699003671,228.0,-32.0,1.29855336599
光大期货,107.0,-45.0,0.623434131562,145.0,-55.0,0.844840645575,216.0,-195.0,1.23020845199
兴证期货,82.0,-31.0,0.477771951291,106.0,-138.0,0.617607644351,283.0,109.0,1.61180088848
前二十名合计,4391.0,-1999.0,25.5841053429,4475.0,-1792.0,26.0735302686,6745.0,-434.0,38.4155370771
前五名合计,2904.0,-1117.0,16.9201188603,2988.0,-931.0,17.4095437861,3191.0,104.0,18.1740517143
前十名合计,3639.0,-1726.0,21.2025869603,3726.0,-1305.0,21.7094913477,4819.0,-165.0,27.4461783802
北京首创,40.0,18.0,0.233059488434,,,,,,
华泰期货,83.0,-57.0,0.483598438501,150.0,-105.0,0.873973081629,312.0,-63.0,1.77696776398
华西期货,63.0,-18.0,0.367068694284,,,,,,
南华期货,89.0,-15.0,0.518557361767,141.0,-82.0,0.821534696731,251.0,-2.0,1.42954778449
国信期货,107.0,-77.0,0.623434131562,62.0,-32.0,0.361242207073,163.0,16.0,0.928351748491
国泰君安,787.0,-642.0,4.58544543495,317.0,-66.0,1.84699644584,898.0,4.0,5.11447773095
安信期货,425.0,-10.0,2.47625706462,,,,,,
广发期货,185.0,-159.0,1.07790013401,127.0,-73.0,0.739963875779,358.0,-203.0,2.03895660098
招商期货,74.0,-17.0,0.431160053604,70.0,-34.0,0.40785410476,177.0,-123.0,1.00808748149
方正中期,,,,41.0,-10.0,0.238885975645,,,
永安期货,144.0,12.0,0.839014158364,186.0,-66.0,1.08372662122,322.0,-101.0,1.83392185898
江海汇鑫,,,,,,,143.0,91.0,0.814443558492
海通期货,189.0,-77.0,1.10120608285,882.0,-346.0,5.13896171998,737.0,262.0,4.19751680146
申银万国,80.0,-20.0,0.466118976869,55.0,-30.0,0.320456796597,158.0,-112.0,0.899874700991
财富期货,370.0,-292.0,2.15580026802,,,,371.0,63.0,2.11299692448
银河期货,110.0,-308.0,0.640913593195,64.0,-78.0,0.372895181495,502.0,-51.0,2.85909556897
鲁证期货,262.0,1.0,1.52653964925,1189.0,-232.0,6.92769329371,331.0,89.0,1.88518054448
