member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,2002.0,-87.0,1.97299694491,4935.0,-874.0,4.86350645511,2101.0,1059.0,2.31791001964
万达期货,275.0,-291.0,0.271016063861,1843.0,10.0,1.81630038435,1189.0,-549.0,1.31175393306
上海东亚,351.0,0.0,0.345915048783,238.0,0.0,0.23455208436,214.0,72.0,0.236093643123
上海中期,486.0,-26.0,0.478959298315,587.0,36.0,0.578496107224,1068.0,131.0,1.17826173297
上海中财,970.0,15.0,0.955947570711,166.0,-70.0,0.163595151276,221.0,44.0,0.243816332385
上海大陆,57.0,-10.0,0.0561742386912,225.0,2.0,0.221740415886,70.0,8.0,0.0772268926105
上海浙石,6.0,-22.0,0.00591307775697,238.0,-10.0,0.23455208436,86.0,13.0,0.0948787537786
东兴期货,155.0,-11.0,0.152754508722,10.0,0.0,0.00985512959495,25.0,-73.0,0.0275810330752
东吴期货,2065.0,-63.0,2.03508426136,76.0,-14.0,0.0748989849217,231.0,12.0,0.254848745615
东方期货,29.0,0.0,0.0285798758254,,,,,,
东方汇金,1422.0,-46.0,1.4013994284,199.0,-7.0,0.19611707894,355.0,52.0,0.391650669667
东海期货,978.0,-186.0,0.963831674387,1583.0,-136.0,1.56006701488,746.0,164.0,0.823018026963
东航期货,1529.0,-36.0,1.50684931507,2810.0,-60.0,2.76929141618,1376.0,-1130.0,1.51806006046
东证期货,1141.0,51.0,1.12447028678,1087.0,-286.0,1.07125258697,3735.0,1131.0,4.12060634143
中信建投,415.0,-22.0,0.408987878191,372.0,63.0,0.366610820932,527.0,183.0,0.581408177225
中信期货,4570.0,33.0,4.50379422489,3287.0,-243.0,3.23938109786,1146.0,-404.0,1.26431455617
中原期货,146.0,-22.0,0.143884892086,89.0,15.0,0.0877106533951,161.0,71.0,0.177621853004
中国国际,1283.0,137.0,1.26441312703,1522.0,-11.0,1.49995072435,1048.0,369.0,1.15619690651
中大期货,479.0,-44.0,0.472060707598,1218.0,71.0,1.20035478467,1473.0,609.0,1.62507446879
中州期货,156.0,1.0,0.153740021681,16.0,-44.0,0.0157682073519,115.0,67.0,0.126872752146
中投期货,755.0,-3.0,0.744062284419,734.0,16.0,0.72336651227,167.0,28.0,0.184241300942
中粮期货,1563.0,-11.0,1.54035675569,3830.0,555.0,3.77451463487,1392.0,545.0,1.53571192163
中航期货,122.0,0.0,0.120232581058,168.0,-28.0,0.165566177195,126.0,-3.0,0.139008406699
中融汇信,7.0,7.0,0.00689859071647,17.0,7.0,0.0167537203114,836.0,52.0,0.922309746034
中衍期货,355.0,-12.0,0.349857100621,307.0,9.0,0.302552478565,269.0,-544.0,0.296771915889
中辉期货,431.0,-1.0,0.424756085543,94.0,-6.0,0.0926382181926,651.0,276.0,0.718210101278
中钢期货,146.0,-2.0,0.143884892086,405.0,0.0,0.399132748596,46.0,-179.0,0.0507491008583
中银国际,19.0,-1.0,0.0187247462304,226.0,94.0,0.222725928846,139.0,-29.0,0.153350543898
云晨期货,68.0,-2.0,0.0670148812457,10.0,7.0,0.00985512959495,17.0,-42.0,0.0187551024911
五矿经易,9105.0,-236.0,8.97309549621,367.0,2.0,0.361683256135,1104.0,-123.0,1.2179784206
信达期货,1408.0,431.0,1.38760224697,128.0,-565.0,0.126145658815,2124.0,1293.0,2.34328457007
倍特期货,305.0,105.0,0.300581452646,242.0,-27.0,0.238494136198,428.0,392.0,0.472187286247
先融期货,45.0,-18.0,0.0443480831773,3.0,0.0,0.00295653887849,124.0,7.0,0.136801924053
光大期货,799.0,-17.0,0.787424854637,860.0,71.0,0.847541145166,1892.0,233.0,2.08733258313
兴业期货,75.0,-1.0,0.0739134719622,6.0,-6.0,0.00591307775697,7.0,-29.0,0.00772268926105
兴证期货,2035.0,100.0,2.00551887257,955.0,-50.0,0.941164876318,1796.0,382.0,1.98142141612
冠通期货,577.0,9.0,0.568640977629,635.0,-17.0,0.62580072928,150.0,48.0,0.165486198451
创元期货,205.0,6.0,0.202030156697,23.0,12.0,0.0226667980684,64.0,-126.0,0.0706074446724
前二十名合计,63587.0,-386.0,62.6658125554,71690.0,-617.0,70.6514240662,53241.0,9778.0,58.7376712782
前五名合计,28154.0,-294.0,27.7461318616,37451.0,-329.0,36.9084458461,22527.0,4631.0,24.8527172834
前十名合计,44918.0,-394.0,44.2672711146,54451.0,-446.0,53.6621661575,36621.0,8882.0,40.4018004898
北京金鹏,65.0,2.0,0.0640583423672,4.0,-8.0,0.00394205183798,10.0,-20.0,0.0110324132301
北京首创,1607.0,-6.0,1.58371932591,332.0,33.0,0.327190302552,213.0,53.0,0.2349904018
华创期货,37.0,-23.0,0.0364639795013,26.0,-3.0,0.0256233369469,198.0,-25.0,0.218441781955
华安期货,223.0,9.0,0.219769389967,342.0,55.0,0.337045432147,1454.0,529.0,1.60411288365
华泰期货,3888.0,8.0,3.83167438652,6158.0,274.0,6.06878880457,3970.0,1314.0,4.37986805234
华海期货,44.0,0.0,0.0433625702178,18.0,10.0,0.0177392332709,10.0,4.0,0.0110324132301
华联期货,448.0,-326.0,0.441509805854,39.0,7.0,0.0384350054203,423.0,100.0,0.466671079632
华融期货,142.0,0.0,0.139942840248,35.0,-7.0,0.0344929535823,23.0,-162.0,0.0253745504292
华西期货,67.0,11.0,0.0660293682862,194.0,-4.0,0.191189514142,39.0,-10.0,0.0430264115973
华鑫期货,86.0,0.0,0.0847541145166,101.0,-10.0,0.099536808909,66.0,29.0,0.0728139273185
华闻期货,128.0,-40.0,0.126145658815,102.0,101.0,0.100522321869,173.0,167.0,0.19086074888
华龙期货,126.0,5.0,0.124174632896,100.0,96.0,0.0985512959495,375.0,230.0,0.413715496128
南华期货,1660.0,-110.0,1.63595151276,632.0,26.0,0.622844190401,3802.0,467.0,4.19452351007
南证期货,60.0,0.0,0.0591307775697,45.0,6.0,0.0443480831773,40.0,21.0,0.0441296529203
同信久恒,950.0,-12.0,0.936237311521,480.0,-12.0,0.473046220558,782.0,470.0,0.862734714591
和合期货,51.0,2.0,0.0502611609343,5.0,0.0,0.00492756479748,26.0,-25.0,0.0286842743982
和融期货,10.0,-12.0,0.00985512959495,20.0,20.0,0.0197102591899,32.0,32.0,0.0353037223362
国信期货,393.0,-19.0,0.387306593082,662.0,-194.0,0.652409579186,437.0,-203.0,0.482116458154
国元期货,101.0,11.0,0.099536808909,39.0,-1.0,0.0384350054203,188.0,8.0,0.207409368725
国富期货,3.0,1.0,0.00295653887849,,,,1.0,1.0,0.00110324132301
国投期货,715.0,64.0,0.704641766039,467.0,21.0,0.460234552084,595.0,-241.0,0.656428587189
