member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,,,,370.0,170.0,0.121205768084,170.0,125.0,0.0361811440903
万达期货,575.0,0.0,0.188360315266,8404.0,294.0,2.7530088513,,,
上海中期,6001.0,-105.0,1.96582652506,4399.0,-12.0,1.44103830757,547.0,-295.0,0.116418151867
上海通联,5722.0,434.0,1.87443082426,,,,270.0,245.0,0.0574641700258
东海期货,540.0,-17.0,0.176894904772,,,,,,
东航期货,,,,7598.0,589.0,2.48897682677,9866.0,-2523.0,2.0997833388
东证期货,,,,,,,1851.0,777.0,0.393948810066
中信建投,2099.0,-379.0,0.68759704651,535.0,7.0,0.175256988987,407.0,139.0,0.0866219155575
中信期货,5383.0,226.0,1.76338013405,26068.0,-1049.0,8.53943773627,16919.0,-6946.0,3.60087515803
中国国际,1458.0,-130.0,0.477616242883,1268.0,100.0,0.415375443056,,,
中大期货,513.0,146.0,0.168050159533,1479.0,106.0,0.48449548918,166.0,23.0,0.0353298230529
中投期货,,,,,,,263.0,242.0,0.0559743582104
中粮期货,10306.0,652.0,3.37607201588,15125.0,-319.0,4.95469524939,6682.0,3679.0,1.42213179301
中融汇信,,,,,,,7031.0,-3581.0,1.49640955352
中辉期货,140.0,-20.0,0.0458616419778,,,,3201.0,-632.0,0.681269660195
中钢期货,,,,3704.0,-906.0,1.21336801347,969.0,947.0,0.206232521315
中银国际,,,,1292.0,10.0,0.423237438824,,,
乾坤期货,,,,665.0,0.0,0.217842799395,,,
五矿经易,3815.0,-568.0,1.2497297439,2107.0,-49.0,0.690217711766,1851.0,1010.0,0.393948810066
信达期货,437.0,-3.0,0.143153839602,,,,,,
倍特期货,8174.0,-1042.0,2.67766472519,9374.0,1274.0,3.07076451357,3571.0,186.0,0.760016856157
先融期货,13563.0,-80.0,4.44301035818,,,,,,
光大期货,6635.0,86.0,2.17351424659,6298.0,-254.0,2.06311872269,6825.0,-3419.0,1.4525665201
兴证期货,,,,5723.0,-196.0,1.87475840742,17047.0,-1463.0,3.62811743122
前二十名合计,127464.0,-799.0,41.7550595219,181948.0,-539.0,59.603100247,214890.0,6381.0,45.7350944328
前五名合计,52488.0,-1411.0,17.1941847438,87004.0,-14.0,28.5010449903,80490.0,7126.0,17.1307075755
前十名合计,82636.0,-509.0,27.0701617606,127163.0,-2062.0,41.6564569916,138942.0,5506.0,29.5710618953
北京首创,1559.0,66.0,0.510702141739,5458.0,-750.0,1.78794887082,10579.0,2848.0,2.25153131372
华泰期货,4264.0,-182.0,1.39681458138,7444.0,-94.0,2.43852902059,8149.0,-108.0,1.73435378348
华融期货,170.0,0.0,0.0556891366873,,,,,,
华西期货,,,,,,,3555.0,681.0,0.756611572007
华鑫期货,,,,6578.0,250.0,2.15484200664,,,
华闻期货,,,,1991.0,655.0,0.652218065556,,,
华龙期货,,,,,,,200.0,-400.0,0.042566051871
南华期货,4369.0,252.0,1.43121081286,,,,,,
同信久恒,,,,1379.0,65.0,0.451737173481,,,
国信期货,10692.0,-169.0,3.50251911448,756.0,683.0,0.24765286668,5938.0,1880.0,1.26378608005
国投期货,,,,3234.0,268.0,1.05940392969,164.0,-58.0,0.0349041625342
国泰君安,4895.0,59.0,1.60351955344,3770.0,59.0,1.23498850183,8438.0,3733.0,1.79586172844
国联期货,,,,4181.0,-13.0,1.36962517935,1207.0,540.0,0.256886123041
国贸期货,2590.0,25.0,0.84844037659,,,,,,
大地期货,,,,,,,165.0,-263.0,0.0351169927936
大通期货,,,,,,,750.0,750.0,0.159622694516
安信期货,,,,510.0,0.0,0.167067410062,,,
宏源期货,1712.0,-50.0,0.560822364757,1482.0,202.0,0.485478238651,,,
宝城期货,,,,480.0,35.0,0.157239915353,139.0,55.0,0.0295834060503
广发期货,707.0,138.0,0.231601291988,6685.0,-232.0,2.18989340444,6207.0,-1034.0,1.32103741982
广州期货,,,,,,,102.0,99.0,0.0217086864542
弘业期货,,,,,,,924.0,847.0,0.196655159644
徽商期货,,,,,,,12724.0,242.0,2.70805222003
恒泰期货,,,,,,,7119.0,-686.0,1.51513861635
招商期货,4228.0,-503.0,1.38502158773,2784.0,-307.0,0.911991509045,7039.0,51.0,1.4981121956
招金期货,,,,1535.0,153.0,0.502840145971,2062.0,1716.0,0.43885599479
新晟期货,3247.0,34.0,1.06366251073,1293.0,281.0,0.423565021981,207.0,135.0,0.0440558636865
新湖期货,1372.0,-3.0,0.449444091383,,,,17198.0,4921.0,3.66025480039
方正中期,3705.0,151.0,1.21369559663,7168.0,2983.0,2.34811606926,9187.0,3090.0,1.95527159269
格林大华,895.0,-31.0,0.293186925501,300.0,-400.0,0.0982749470953,2170.0,124.0,0.4618416628
永安期货,6407.0,261.0,2.0988252868,8416.0,-2920.0,2.75693984918,12134.0,2777.0,2.58248236701
江苏东华,720.0,300.0,0.235859873029,,,,600.0,520.0,0.127698155613
浙新世纪,3733.0,791.0,1.22286792502,,,,,,
海通期货,5348.0,-307.0,1.75191472355,27762.0,-83.0,9.0943636042,13149.0,-4964.0,2.79850508026
渤海期货,,,,,,,216.0,-14.0,0.0459713360207
瑞达期货,,,,2100.0,19.0,0.687924629667,14652.0,8309.0,3.11838896007
申万期货,5375.0,70.0,1.76075946879,4070.0,-198.0,1.33326344893,9271.0,-850.0,1.97314933448
财富期货,,,,4225.0,-55.0,1.38403883826,,,
迈科期货,890.0,0.0,0.291549009716,,,,2877.0,365.0,0.612312656164
金瑞期货,9753.0,-772.0,3.19491853007,241.0,0.0,0.0789475408332,,,
铜冠金源,,,,420.0,0.0,0.137584925933,1788.0,968.0,0.380540503727
银河期货,5096.0,-53.0,1.66936376799,8297.0,83.0,2.7179574535,14674.0,2305.0,3.12307122577
鲁证期货,1168.0,241.0,0.382617127358,8675.0,163.0,2.84178388684,1051.0,236.0,0.223684602582
