member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,6650.0,-56.0,0.641546967509,4196.0,-1609.0,0.404801665514,4565.0,2989.0,0.867033359417
万达期货,106481.0,167.0,10.2725658116,12659.0,-542.0,1.22125459574,12301.0,2147.0,2.33633676981
上海东亚,84.0,22.0,0.00810375116853,996.0,-111.0,0.096087335284,1215.0,977.0,0.230765724357
上海中期,2642.0,-5.0,0.254882268896,3347.0,-19.0,0.322895894775,1876.0,509.0,0.356309875633
上海中财,251.0,-44.0,0.0242147802774,853.0,176.0,0.0822916636519,778.0,287.0,0.147766035844
上海大陆,925.0,-5.0,0.089237736082,590.0,-41.0,0.0569192046361,220.0,-296.0,0.0417847402129
上海浙石,,,,1118.0,-1191.0,0.107857069124,1191.0,1151.0,0.226207389062
东兴期货,329.0,-10.0,0.0317396920768,9842.0,4.0,0.949489511913,280.0,137.0,0.0531805784527
东吴期货,886.0,222.0,0.0854752801824,10525.0,38.0,1.01538072677,3870.0,967.0,0.735031566472
东方期货,20.0,0.0,0.00192946456394,,,,,,
东方汇金,57962.0,-513.0,5.59178125274,557.0,7.0,0.0537355881056,2574.0,-3222.0,0.488881460491
东海期货,1585.0,-51.0,0.152910066692,25830.0,283.0,2.49190348432,2804.0,-1858.0,0.532565507077
东航期货,7245.0,417.0,0.698948538286,8075.0,-488.0,0.779021317689,13899.0,3885.0,2.63984592827
东证期货,1524.0,-295.0,0.147025199772,24855.0,-354.0,2.39784208683,4995.0,-5850.0,0.94870353347
中信建投,1533.0,-326.0,0.147893458826,1762.0,-104.0,0.169985828083,3736.0,424.0,0.70958086107
中信期货,11559.0,-349.0,1.11513404473,22864.0,-1399.0,2.20576388949,5518.0,-427.0,1.04803725679
中原期货,16994.0,-4115.0,1.63946603998,220.0,77.0,0.0212241102033,6678.0,-3294.0,1.2683567961
中国国际,4816.0,-517.0,0.464615066996,8328.0,-2361.0,0.803429044423,9506.0,5834.0,1.80548063847
中大期货,21594.0,853.0,2.08324288968,1202.0,86.0,0.115960820293,3781.0,2664.0,0.718127739749
中州期货,889.0,-24.0,0.085764699867,1078.0,72.0,0.103998139996,1242.0,641.0,0.235893851565
中投期货,1493.0,-54.0,0.144034529698,1717.0,-29.0,0.165644532814,2993.0,1757.0,0.568462397532
中粮期货,37200.0,-173.0,3.58880408892,43255.0,-11491.0,4.17294948565,20372.0,13786.0,3.86926694371
中航期货,2904.0,2547.0,0.280158254684,1227.0,80.0,0.118372650997,6143.0,2974.0,1.16674390513
中融汇信,212.0,-35.0,0.0204523243777,314.0,-68.0,0.0302925936538,12633.0,1070.0,2.39939374141
中衍期货,1063.0,-346.0,0.102551041573,4279.0,-211.0,0.412808943454,2891.0,-1454.0,0.549089472525
中辉期货,1842.0,-28.0,0.177703686339,3572.0,44.0,0.344602371119,2428.0,754.0,0.46115158744
中钢期货,165.0,14.0,0.0159180826525,27937.0,100.0,2.69517257613,244.0,-347.0,0.0463430755088
中银国际,61.0,8.0,0.00588486692001,5.0,-215.0,0.000482366140984,317.0,279.0,0.060208012034
云晨期货,64.0,-2.0,0.0061742866046,14.0,2.0,0.00135062519476,72.0,32.0,0.0136750058878
五矿经易,2620.0,-738.0,0.252759857876,4861.0,256.0,0.468956362265,3472.0,1398.0,0.659439172814
信达期货,2066.0,-587.0,0.199313689455,3246.0,-383.0,0.313152098727,2494.0,1307.0,0.473687009504
倍特期货,6736.0,6062.0,0.649843665134,196.0,-240.0,0.0189087527266,7140.0,6306.0,1.35610475055
先融期货,104.0,2.0,0.0100332157325,55.0,20.0,0.00530602755082,328.0,266.0,0.0622972490446
光大期货,54753.0,-403.0,5.28219866346,80595.0,2926.0,7.77525982652,20047.0,4428.0,3.80753948658
兴业期货,81.0,0.0,0.00781433148394,57.0,-51.0,0.00549897400722,211.0,54.0,0.0400753644769
兴证期货,6357.0,-1746.0,0.613280311647,28638.0,-202.0,2.7628003091,15918.0,4760.0,3.02331588504
冠通期货,446.0,142.0,0.0430270597758,3564.0,-915.0,0.343830585293,5691.0,2602.0,1.08089525705
创元期货,949.0,17.0,0.0915530935588,21224.0,-41.0,2.04754779525,668.0,-421.0,0.126873665737
前二十名合计,822328.0,-22066.0,79.3326367966,698284.0,-5988.0,67.3657116782,291424.0,106388.0,55.3503460536
