member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,5430.0,-509.0,0.282640707445,99407.0,-2594.0,5.17430291068,,,
万达期货,34774.0,-678.0,1.81004566495,,,,,,
上海中期,,,,,,,304095.0,-125446.0,6.91419796259
上海大陆,,,,1367.0,4.0,0.07115466797,18698.0,-5520.0,0.425135807904
东吴期货,,,,29477.0,-1378.0,1.53432783303,,,
东海期货,,,,3916.0,-211.0,0.203834440213,,,
东航期货,,,,6395.0,-2328.0,0.332870593759,17181.0,167.0,0.390643829051
东证期货,5357.0,2243.0,0.278840933662,31579.0,2771.0,1.64374049731,98588.0,-22668.0,2.24159209699
中信期货,85803.0,-39868.0,4.46619164289,85512.0,-6830.0,4.45104459945,166228.0,-81764.0,3.77952054103
中原期货,4196.0,-1885.0,0.218408914998,,,,2439.0,-2446.0,0.0554554623744
中国国际,31354.0,-1819.0,1.63202886579,22923.0,-1273.0,1.19318101966,,,
中大期货,,,,4730.0,-16.0,0.246204520482,5051.0,-3354.0,0.11484442003
中粮期货,5461.0,-635.0,0.284254310011,,,,,,
中融汇信,,,,3510.0,-413.0,0.182701451774,,,
中财期货,,,,25623.0,-83.0,1.33372059795,,,
五矿经易,31783.0,-426.0,1.65435904323,,,,,,
倍特期货,20634.0,391.0,1.07403468829,,,,,,
光大期货,26542.0,1219.0,1.38155610626,5551.0,198.0,0.28893896262,165849.0,-15177.0,3.77090323056
兴证期货,,,,5390.0,233.0,0.280558639619,7280.0,-5285.0,0.165525119346
创元期货,,,,,,,1531.0,-1616.0,0.03481029639
前二十名合计,965400.0,-76252.0,50.2507069922,1193146.0,-56504.0,62.1052724724,2907235.0,-631834.0,66.1017060911
前五名合计,395251.0,-63449.0,20.5734847621,562400.0,-28206.0,29.2738736403,1755979.0,-386762.0,39.9256364759
前十名合计,663065.0,-72508.0,34.5136575842,880780.0,-45579.0,45.8460925052,2314800.0,-507015.0,52.6315310801
北京首创,5480.0,13.0,0.285243292228,32185.0,-1114.0,1.67528382488,,,
华安期货,34338.0,-909.0,1.78735112564,,,,,,
华泰期货,62471.0,-9159.0,3.2517214797,64135.0,-859.0,3.33833550129,63204.0,244.0,1.43706725868
华联期货,2205.0,-24.0,0.114773988935,,,,,,
华融期货,,,,,,,1498.0,-1152.0,0.0340599764809
南华期货,46029.0,-1293.0,2.39588749963,,,,5893.0,3094.0,0.133988946196
南证期货,,,,,,,2589.0,-266.0,0.0588660074159
同信久恒,,,,,,,76135.0,-37195.0,1.73107897822
国投期货,,,,,,,98184.0,-23118.0,2.23240636235
国泰君安,75426.0,-2341.0,3.92605119701,39666.0,-8473.0,2.06468256013,305072.0,-34707.0,6.93641197929
国海良时,,,,,,,35893.0,2788.0,0.816097954492
国联期货,10048.0,-739.0,0.523015438012,29452.0,-2503.0,1.53302654064,1328.0,869.0,0.0301946921005
国贸期货,4896.0,194.0,0.254845101961,38390.0,-7448.0,1.99826459647,30.0,30.0,0.000682109008295
国都期货,30.0,0.0,0.00156155086986,,,,,,
大通期货,,,,,,,2742.0,634.0,0.0623447633582
宝城期货,12178.0,-18.0,0.633885549773,2028.0,1.0,0.105560838803,,,
山西三立,,,,,,,5306.0,-3994.0,0.120642346601
广发期货,40539.0,-1549.0,2.11012369044,24007.0,-1553.0,1.24960505776,50331.0,4967.0,1.14437428322
弘业期货,,,,1478.0,301.0,0.0769324061885,,,
徽商期货,1476.0,-33.0,0.0768283027972,,,,66666.0,-4233.0,1.51578263823
招商期货,22849.0,-97.0,1.18932919418,2556.0,-235.0,0.133044134112,13859.0,-7249.0,0.315111624866
新湖期货,,,,,,,40871.0,-35141.0,0.929282575935
方正中期,62598.0,-3450.0,3.25833204505,76676.0,-8183.0,3.99111581658,88641.0,-45411.0,2.01542748681
格林大华,54845.0,-3668.0,2.85477524859,,,,,,
永安期货,108953.0,-8631.0,5.67118839747,184478.0,-18494.0,9.60239271235,106581.0,-24930.0,2.42332867377
浙商期货,32183.0,-37.0,1.67517972149,4495.0,-520.0,0.233972372001,,,
浙新世纪,,,,40559.0,-550.0,2.11116472436,,,
海通期货,56210.0,-2699.0,2.92582581316,76598.0,-7388.0,3.98705578432,366276.0,-84736.0,8.32800530408
混沌天成,,,,11432.0,1257.0,0.595054984809,2029.0,2027.0,0.0461333059277
瑞达期货,12220.0,-282.0,0.63607172099,60412.0,-393.0,3.14454703834,38349.0,-31342.0,0.871939945304
申万期货,61126.0,-4182.0,3.18171194904,39064.0,10129.0,2.03334743934,614308.0,-60109.0,13.9675006889
美尔雅,,,,4467.0,37.0,0.232514924522,,,
英大期货,,,,78205.0,-136.0,4.07070285925,1163.0,-7.0,0.0264430925549
迈科期货,,,,,,,9481.0,230.0,0.215569183588
道通期货,,,,6243.0,125.0,0.324958736018,,,
铜冠金源,,,,,,,80481.0,1345.0,1.82989383655
银河期货,49604.0,2783.0,2.58197231162,114798.0,-152.0,5.97543055861,89619.0,-34360.0,2.03766424048
长江期货,27339.0,161.0,1.42304130771,,,,,,
鲁证期货,8233.0,-716.0,0.428541610386,8857.0,-223.0,0.461021868479,51864.0,19159.0,1.17923005354
