member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
上海东证,446.0,34.0,1.30619417191,1073.0,11.0,3.14248059745,721.0,72.0,2.18180717787
中信建投,,,,442.0,27.0,1.29447942598,670.0,82.0,2.02747685045
中信期货,2608.0,161.0,7.63801435056,2883.0,160.0,8.44340313369,1479.0,-86.0,4.47557949525
信达期货,,,,,,,419.0,165.0,1.26792955274
光大期货,478.0,14.0,1.39991213941,1167.0,-11.0,3.41777712696,1463.0,277.0,4.42716213763
兴业期货,,,,410.0,-36.0,1.20076145849,,,
兴证期货,788.0,52.0,2.30780494948,1293.0,85.0,3.78679162396,1497.0,7.0,4.53004902257
前二十名合计,20345.0,1099.0,59.5841265193,20490.0,1186.0,60.0087860595,19496.0,1052.0,58.9965502633
前五名合计,9977.0,365.0,29.219505052,9429.0,445.0,27.6145848587,8160.0,466.0,24.6928523876
前十名合计,15740.0,722.0,46.0975252599,15082.0,763.0,44.1704495534,13580.0,997.0,41.0942322823
华泰期货,1499.0,118.0,4.39010103968,1425.0,137.0,4.17337823986,1223.0,-95.0,3.70090177329
南华期货,574.0,98.0,1.68106604188,747.0,89.0,2.18772880363,733.0,39.0,2.21812019609
国信期货,407.0,-24.0,1.19197539903,,,,525.0,41.0,1.588694547
国泰君安,1732.0,0.0,5.07248499048,962.0,77.0,2.81739639772,1769.0,166.0,5.35314410216
国金期货,,,,418.0,68.0,1.22419095036,,,
安信期货,298.0,91.0,0.872748572265,651.0,16.0,1.90657490116,,,
宏源期货,536.0,-41.0,1.56977595548,,,,500.0,55.0,1.51304242571
广发期货,1564.0,60.0,4.58046566115,1749.0,-7.0,5.12227266071,1241.0,138.0,3.75537130061
招商期货,492.0,74.0,1.44091375018,1158.0,156.0,3.3914189486,794.0,204.0,2.40271137203
新湖期货,436.0,34.0,1.27690730707,,,,,,
方正中期,,,,,,,500.0,14.0,1.51304242571
格林大华,,,,515.0,26.0,1.50827353932,,,
永安期货,1736.0,127.0,5.08419973642,626.0,30.0,1.83335773905,683.0,-618.0,2.06681595352
浙商期货,,,,,,,415.0,119.0,1.25582521334
海通期货,1340.0,12.0,3.92443988871,1476.0,64.0,4.32274125055,1952.0,102.0,5.90691762997
瑞达期货,470.0,11.0,1.37648264753,,,,,,
申银万国,835.0,71.0,2.44545321423,410.0,65.0,1.20076145849,750.0,86.0,2.26956363856
红塔期货,,,,664.0,3.0,1.94464782545,,,
财富期货,2337.0,17.0,6.84434031337,,,,,,
银河期货,1301.0,104.0,3.81022111583,1896.0,91.0,5.55278957388,1349.0,64.0,4.08218846456
鲁证期货,468.0,86.0,1.37062527456,525.0,135.0,1.53756040416,813.0,220.0,2.4602069842
