member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,695.0,652.0,1.99695428555,65.0,-35.0,0.186765508721,901.0,391.0,3.29698477752
上海东亚,2.0,-4.0,0.00574663103755,,,,12.0,2.0,0.0439110070258
上海中期,549.0,176.0,1.57745021981,107.0,6.0,0.307444760509,396.0,96.0,1.44906323185
上海中财,1442.0,-596.0,4.14332097808,377.0,-598.0,1.08323995058,1246.0,912.0,4.55942622951
上海大陆,18.0,2.0,0.051719679338,385.0,-3.0,1.10622647473,55.0,-70.0,0.201258782201
上海浙石,58.0,27.0,0.166652300089,57.0,27.0,0.16377898457,90.0,86.0,0.329332552693
东兴期货,1.0,1.0,0.00287331551878,14.0,0.0,0.0402264172629,3.0,1.0,0.0109777517564
东吴期货,310.0,96.0,0.890727810821,6.0,-11.0,0.0172398931127,137.0,-35.0,0.501317330211
东方汇金,8.0,2.0,0.0229865241502,10.0,-2.0,0.0287331551878,74.0,56.0,0.270784543326
东海期货,100.0,-18.0,0.287331551878,19.0,4.0,0.0545929948568,28.0,-50.0,0.102459016393
东航期货,1218.0,-7.0,3.49969830187,167.0,6.0,0.479843691636,1443.0,33.0,5.28029859485
东证期货,207.0,8.0,0.594776312387,9.0,0.0,0.025859839669,56.0,-39.0,0.204918032787
中信建投,45.0,-5.0,0.129299198345,126.0,-4.0,0.362037755366,31.0,-337.0,0.11343676815
中信期货,1141.0,16.0,3.27845300692,261.0,-772.0,0.749935350401,1084.0,320.0,3.96662763466
中原期货,7.0,0.0,0.0201132086314,3.0,0.0,0.00861994655633,6.0,1.0,0.0219555035129
中国国际,632.0,-840.0,1.81593540787,359.0,-6.0,1.03152027124,1812.0,527.0,6.63056206089
中大期货,331.0,27.0,0.951067436715,72.0,-27.0,0.206878717352,260.0,152.0,0.951405152225
中州期货,10.0,0.0,0.0287331551878,17.0,1.0,0.0488463638192,3.0,1.0,0.0109777517564
中投期货,100.0,7.0,0.287331551878,268.0,-11.0,0.770048559032,26.0,9.0,0.0951405152225
中粮期货,434.0,-205.0,1.24701893515,770.0,-71.0,2.21245294946,504.0,-212.0,1.84426229508
中航期货,46.0,0.0,0.132172513864,0.0,-9.0,0.0,21.0,-26.0,0.0768442622951
中衍期货,19.0,-13.0,0.0545929948568,76.0,30.0,0.218371979427,313.0,-301.0,1.14534543326
中辉期货,32.0,5.0,0.0919460966009,38.0,4.0,0.109185989714,57.0,-13.0,0.208577283372
中金期货,,,,955.0,0.0,2.74401632043,,,
中钢期货,1.0,0.0,0.00287331551878,,,,,,
中银国际,4.0,0.0,0.0114932620751,12.0,0.0,0.0344797862253,,,
云晨期货,,,,10.0,2.0,0.0287331551878,2.0,2.0,0.00731850117096
五矿经易,441.0,-10.0,1.26713214378,86.0,-33.0,0.247105134615,45.0,-211.0,0.164666276347
信达期货,3100.0,331.0,8.90727810821,3678.0,-9.0,10.5680544781,428.0,-71.0,1.56615925059
倍特期货,618.0,1.0,1.7757089906,378.0,1.0,1.0861132661,38.0,38.0,0.139051522248
先融期货,1.0,0.0,0.00287331551878,7.0,1.0,0.0201132086314,9.0,3.0,0.0329332552693
光大期货,105.0,5.0,0.301698129472,599.0,25.0,1.72111599575,758.0,236.0,2.77371194379
兴业期货,12.0,0.0,0.0344797862253,3.0,0.0,0.00861994655633,,,
兴证期货,373.0,-423.0,1.0717466885,166.0,-172.0,0.476970376117,971.0,216.0,3.5531323185
冠通期货,20.0,1.0,0.0574663103755,8.0,0.0,0.0229865241502,101.0,92.0,0.369584309133
创元期货,,,,22.0,-43.0,0.0632129414131,55.0,30.0,0.201258782201
前二十名合计,28624.0,-1886.0,82.2457834095,29216.0,-917.0,83.9467861966,21404.0,1574.0,78.3225995316
