member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,8579.0,-276.0,1.97748447563,,,,,,
上海中期,,,,,,,263834.0,-315233.0,6.95134527293
东吴期货,,,,,,,56938.0,-11724.0,1.50016941391
东航期货,7204.0,58.0,1.66054297266,,,,,,
东证期货,8229.0,-3554.0,1.89680845669,5412.0,-3963.0,1.24748175569,75971.0,23507.0,2.00163986344
中信期货,11289.0,1159.0,2.60214736512,9385.0,-5488.0,2.1632698221,66205.0,-19082.0,1.74433095732
中融汇信,,,,,,,56357.0,-46709.0,1.48486156275
中衍期货,6828.0,-2107.0,1.57387387803,,,,,,
五矿经易,,,,8203.0,-91.0,1.890815381,,,
倍特期货,,,,4962.0,-167.0,1.14375544563,,,
兴证期货,,,,5883.0,338.0,1.35604862689,,,
创元期货,,,,,,,130518.0,-31112.0,3.43881259554
前二十名合计,206795.0,-10299.0,47.6668495323,339787.0,1635.0,78.3218927055,2171759.0,-1291838.0,57.220247044
前五名合计,72109.0,8451.0,16.6213344275,199929.0,3948.0,46.0842165437,1035155.0,-870825.0,27.2736638038
前十名合计,124438.0,1688.0,28.6833212703,267186.0,693.0,61.5871508457,1505683.0,-1027112.0,39.6708627568
华泰期货,13421.0,-1211.0,3.09357957191,26963.0,392.0,6.21504999608,60565.0,-58678.0,1.59573150714
南华期货,,,,6500.0,-3546.0,1.49826892314,,,
同信久恒,,,,,,,112144.0,-33577.0,2.95470509596
国信期货,7186.0,864.0,1.65639392026,,,,,,
国投期货,,,,5673.0,1148.0,1.30764301553,83070.0,23023.0,2.18868019976
国泰君安,16440.0,-2287.0,3.78946786098,12248.0,-1951.0,2.82319965701,94170.0,-125423.0,2.48113656448
大地期货,,,,18316.0,-1067.0,4.22189132249,,,
宏源期货,,,,11397.0,-502.0,2.62704167954,,,
宝城期货,,,,11965.0,766.0,2.75796733313,,,
广发期货,9335.0,1394.0,2.15174467654,13331.0,-501.0,3.0728343099,,,
徽商期货,10959.0,-2005.0,2.52608140441,,,,88085.0,-34454.0,2.32081251228
恒泰期货,9213.0,-1249.0,2.12362332136,,,,66646.0,-41663.0,1.75595016965
招商期货,7954.0,-5352.0,1.8334201561,,,,93059.0,14144.0,2.45186458058
新湖期货,9069.0,-943.0,2.09043090214,,,,,,
方正中期,10049.0,313.0,2.31632375517,,,,73034.0,-39309.0,1.92425749018
永安期货,9450.0,-2981.0,2.17825251133,82939.0,278.0,19.1176809563,72805.0,-26887.0,1.91822393094
浙商期货,10716.0,172.0,2.47006919697,33125.0,1080.0,7.63540893521,,,
海通期货,14255.0,2023.0,3.28581899989,9699.0,2552.0,2.23564773623,277491.0,-292507.0,7.31117199122
瑞达期货,,,,,,,69785.0,-11196.0,1.8386547218
申万期货,16704.0,8767.0,3.85032062955,20653.0,120.0,4.76057662608,120437.0,-56846.0,3.17320425205
金瑞期货,,,,7383.0,1270.0,1.70180299377,,,
铜冠金源,,,,,,,242875.0,-175127.0,6.39912969201
银河期货,11155.0,-2262.0,2.57125997501,36249.0,2078.0,8.35550002997,67770.0,-32985.0,1.78556467001
长江期货,8760.0,-822.0,2.01920550257,,,,,,
鲁证期货,,,,9501.0,8889.0,2.1900081598,,,
