member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
东吴期货,,,,10627.0,143.0,1.58575728229,,,
东海期货,,,,,,,32818.0,9407.0,3.10335110477
东航期货,17915.0,777.0,2.67327013384,,,,17822.0,-1678.0,1.68529232096
东证期货,11204.0,-1234.0,1.67185702369,,,,,,
中信期货,46435.0,2322.0,6.92901471753,35067.0,518.0,5.23268567029,19860.0,-4783.0,1.8780106326
中原期货,,,,10384.0,1366.0,1.54949690593,,,
中国国际,,,,17126.0,1992.0,2.5555358254,20377.0,2617.0,1.92689942903
中大期货,,,,13302.0,-96.0,1.98491986158,,,
中粮期货,10657.0,-1953.0,1.59023387197,21945.0,-1843.0,3.27462534675,,,
中辉期货,,,,,,,26455.0,-6402.0,2.50165011508
光大期货,12834.0,-678.0,1.91508506266,,,,30128.0,-9429.0,2.8489780634
兴证期货,11601.0,3221.0,1.73109722705,,,,,,
冠通期货,,,,,,,62955.0,-14803.0,5.95318023039
前二十名合计,410494.0,15322.0,61.253773392,526546.0,15411.0,78.5710128881,611256.0,-19619.0,57.8018764976
前五名合计,175634.0,8773.0,26.2080450285,276819.0,5744.0,41.3068359017,260439.0,-2475.0,24.6277548411
前十名合计,283888.0,12652.0,42.3616696486,393757.0,9631.0,58.7562840128,417230.0,4052.0,39.4542989044
华信万达期货,,,,,,,14518.0,-2526.0,1.37285792367
华安期货,,,,,,,39936.0,4083.0,3.77644675849
华泰期货,28843.0,529.0,4.30394253253,8045.0,-500.0,1.20047213099,46241.0,767.0,4.37266312499
华闻期货,11010.0,6388.0,1.64290841047,,,,,,
南华期货,15770.0,900.0,2.35319397212,23546.0,-284.0,3.5135260157,19566.0,5511.0,1.85020926674
国泰君安,25733.0,248.0,3.83986940296,14533.0,626.0,2.16860925789,22574.0,1880.0,2.13465317323
国联期货,,,,13037.0,1262.0,1.94537665279,,,
国贸期货,,,,93261.0,38.0,13.9163743205,,,
广发期货,20764.0,-249.0,3.09839693324,,,,,,
建信期货,,,,43394.0,69.0,6.47523774422,,,
徽商期货,21692.0,1196.0,3.23687277383,17353.0,-319.0,2.58940868727,19701.0,1051.0,1.86297520005
新湖期货,12528.0,1134.0,1.86942384799,11723.0,1197.0,1.74930202506,18275.0,-2473.0,1.72812911938
方正中期,15082.0,-2712.0,2.25053084893,,,,,,
格林大华期货,12573.0,491.0,1.8761387325,,,,,,
永安期货,45534.0,175.0,6.79456780765,28447.0,-363.0,4.24485154883,39014.0,4099.0,3.68926016216
浙江新世纪,,,,16659.0,109.0,2.48585024614,,,
海通期货,22150.0,1907.0,3.30521537619,,,,53212.0,-5977.0,5.03185809578
申银万国,13347.0,-2887.0,1.9916347461,23955.0,1140.0,3.57455685493,58095.0,13455.0,5.49360663148
美尔雅,28802.0,72.0,4.29782452664,19045.0,5237.0,2.8418883449,,,
通惠期货,,,,32541.0,888.0,4.85575681971,,,
金瑞期货,,,,,,,17997.0,-10650.0,1.70184075302
银河期货,26020.0,5675.0,3.88269544417,72556.0,4231.0,10.8267813469,28376.0,8852.0,2.68330461786
首创期货,,,,,,,23336.0,-12620.0,2.20670977454
