member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,3639.0,107.0,2.25892956907,2875.0,84.0,1.78467230313,,,
上海中期,4098.0,204.0,2.54385638199,3545.0,-235.0,2.2005785442,10523.0,-6291.0,2.47010661621
东证期货,,,,,,,8769.0,-791.0,2.05838305783
中信期货,7250.0,-2056.0,4.5004779818,11160.0,-1147.0,6.92763231405,19383.0,-2084.0,4.5498504744
中粮期货,2988.0,428.0,1.85481768409,4954.0,144.0,3.07522316163,,,
中融汇信,5316.0,588.0,3.29993668293,,,,21113.0,-14143.0,4.9559404151
中钢期货,4479.0,0.0,2.78036425938,1975.0,-12.0,1.2259922778,,,
云晨期货,,,,2677.0,17.0,1.66176269756,,,
五矿经易,5818.0,201.0,3.61155598595,25878.0,198.0,16.0639129949,12191.0,-2806.0,2.86164304459
光大期货,3264.0,-233.0,2.02614622519,2294.0,-172.0,1.424013309,,,
前二十名合计,89670.0,963.0,55.6631531901,105566.0,-1133.0,65.5306839485,260354.0,-69520.0,61.1139540015
前五名合计,37866.0,-1205.0,23.5055309323,64595.0,-386.0,40.0977069289,152621.0,-41269.0,35.8253484627
前十名合计,60548.0,-1631.0,37.5855090817,82471.0,-376.0,51.194333743,197941.0,-51483.0,46.4634965048
华信万达,,,,2477.0,-96.0,1.53761158082,,,
华泰期货,2327.0,618.0,1.44449824326,3542.0,53.0,2.19871627745,13627.0,-1512.0,3.19872116879
华西期货,,,,,,,7761.0,-2935.0,1.8217711155
南华期货,,,,2537.0,69.0,1.57485691584,6356.0,-3589.0,1.49196974747
国投期货,2826.0,263.0,1.75425527953,1629.0,-155.0,1.01121084584,,,
国泰君安,,,,,,,9850.0,-545.0,2.31213058726
国海良时,3178.0,427.0,1.97276124499,6386.0,854.0,3.96414515749,5995.0,-6252.0,1.40723074829
国贸期货,8068.0,412.0,5.00825604926,,,,5118.0,1542.0,1.20136896909
国都期货,3326.0,162.0,2.06463307137,,,,,,
宏源期货,2804.0,858.0,1.74059865668,,,,6213.0,556.0,1.4584027755
广发期货,,,,2863.0,-216.0,1.77722323612,6362.0,-3265.0,1.49337815189
徽商期货,,,,,,,5452.0,1788.0,1.2797701484
招商期货,3099.0,1030.0,1.92372155388,,,,,,
方正中期,,,,1857.0,-9.0,1.15274311892,7307.0,-2383.0,1.71520184783
永安期货,5150.0,-1325.0,3.19689125604,7531.0,-47.0,4.67491030082,5066.0,-2189.0,1.18916279747
海通期货,3203.0,-98.0,1.98828013458,2661.0,-377.0,1.65183060822,86307.0,-20724.0,20.2591933598
英大期货,5888.0,-555.0,3.6550088768,,,,,,
迈科期货,,,,13640.0,-244.0,8.46710616162,,,
金瑞期货,10842.0,793.0,6.73023203844,2125.0,194.0,1.31910561536,6783.0,-1310.0,1.59220119527
铜冠金源,,,,,,,8229.0,-11.0,1.93162666016
银河期货,2107.0,-861.0,1.30793201485,2960.0,-36.0,1.83743652774,7949.0,-2576.0,1.86590112062
