member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,1061.0,78.0,0.596322025134,8145.0,6.0,4.57779726175,3758.0,-2026.0,1.18819519537
上海东亚,448.0,-100.0,0.251792900339,,,,128.0,-168.0,0.0404707251216
上海中期,1413.0,-11.0,0.794159303972,297.0,-108.0,0.16692520402,4139.0,257.0,1.30865883811
上海中财,845.0,-20.0,0.474921876756,404.0,33.0,0.227063240485,543.0,-186.0,0.171684404227
上海大陆,2222.0,-32.0,1.24884782267,215.0,36.0,0.120838110654,2498.0,-842.0,0.789811494951
上海浙石,4.0,-18.0,0.00224815089589,,,,32.0,-12.0,0.0101176812804
东兴期货,515.0,-34.0,0.289449427846,172.0,7.0,0.0966704885232,863.0,-586.0,0.272861217031
东吴期货,589.0,15.0,0.33104021942,212.0,-9.0,0.119151997482,986.0,-52.0,0.311751054452
东方期货,4.0,0.0,0.00224815089589,0.0,-16.0,0.0,20.0,-14.0,0.00632355080025
东方汇金,378.0,-84.0,0.212450259661,45.0,1.0,0.0252916975787,817.0,111.0,0.25831705019
东海期货,956.0,1.0,0.537308064117,78.0,-161.0,0.0438389424698,1444.0,-890.0,0.456560367778
东航期货,4609.0,56.0,2.59043186979,179.0,48.0,0.100604752591,4002.0,-2354.0,1.26534251513
东证期货,8328.0,-274.0,4.68065016524,6181.0,-189.0,3.47395517187,2799.0,-1468.0,0.884980934494
中信建投,1026.0,-16.0,0.576650704795,243.0,62.0,0.136575166925,5512.0,-2841.0,1.74277060055
中信期货,12813.0,-42.0,7.20138935725,3363.0,109.0,1.89013286572,13421.0,-3284.0,4.2434187645
中原期货,175.0,38.0,0.0983566016951,627.0,73.0,0.35239765293,915.0,-663.0,0.289302449111
中国国际,2903.0,171.0,1.63159551269,459.0,-15.0,0.257975315303,5838.0,650.0,1.84584447859
中大期货,611.0,-28.0,0.343405049347,107.0,26.0,0.060138036465,938.0,-779.0,0.296574532532
中州期货,391.0,-12.0,0.219756750073,44.0,11.0,0.0247296598548,585.0,222.0,0.184963860907
中投期货,891.0,-479.0,0.500775612059,223.0,-3.0,0.125334412446,2744.0,-214.0,0.867591169794
中粮期货,1862.0,-232.0,1.04651424204,35331.0,972.0,19.8573548257,2320.0,689.0,0.733531892828
中航期货,559.0,-164.0,0.3141790877,35.0,-62.0,0.019671320339,624.0,101.0,0.197294784968
中融汇信,565.0,-46.0,0.317551314044,1006.0,-6.0,0.565409950316,2636.0,-841.0,0.833443995472
中衍期货,1217.0,243.0,0.683999910074,77.0,-7.0,0.0432769047458,2002.0,-276.0,0.632987435105
中辉期货,1344.0,51.0,0.755378701018,232.0,-34.0,0.130392751962,2749.0,-1568.0,0.869172057494
中金期货,1564.0,80.0,0.879027000292,,,,80.0,-58.0,0.025294203201
中钢期货,284.0,5.0,0.159618713608,13.0,2.0,0.00730649041164,161.0,-150.0,0.050904583942
中银国际,145.0,24.0,0.0814954699759,17.0,-1.0,0.00955464130752,121.0,-20.0,0.0382574823415
九州期货,3.0,0.0,0.00168611317192,,,,404.0,-328.0,0.127735726165
云晨期货,46.0,35.0,0.0258537353027,3.0,1.0,0.00168611317192,82.0,-54.0,0.025926558281
五矿经易,2758.0,-38.0,1.55010004271,341.0,-29.0,0.191654863874,629.0,-974.0,0.198875672668
信达期货,1315.0,-138.0,0.739079607023,347.0,102.0,0.195027090218,2196.0,-1149.0,0.694325877867
倍特期货,215.0,-86.0,0.120838110654,95.0,19.0,0.0533935837773,333.0,-646.0,0.105287120824
先融期货,79.0,2.0,0.0444009801938,9.0,5.0,0.00505833951575,335.0,-596.0,0.105919475904
光大期货,2325.0,-258.0,1.30673770823,1149.0,303.0,0.645781344844,7705.0,-4501.0,2.43614794579
兴业期货,23.0,-11.0,0.0129268676514,4.0,2.0,0.00224815089589,35.0,-53.0,0.0110662139004
兴证期货,6202.0,72.0,3.48575796407,1184.0,-111.0,0.665452665183,4527.0,-4666.0,1.43133572364
冠通期货,293.0,-1.0,0.164677053124,131.0,-18.0,0.0736269418403,345.0,-418.0,0.109081251304
创元期货,402.0,36.0,0.225939165037,64.0,-25.0,0.0359704143342,2313.0,-178.0,0.731318650048
前二十名合计,107654.0,1261.0,60.5056091365,154182.0,-1826.0,86.6561003575,183470.0,-54417.0,58.0090932661
前五名合计,55096.0,738.0,30.96603044,106484.0,-618.0,59.8480249994,80344.0,-19527.0,25.4029682747
前十名合计,79867.0,1193.0,44.8882669005,135545.0,-2075.0,76.1814032958,125251.0,-29017.0,39.6015530641
北京金鹏,117.0,-4.0,0.0657584137047,40.0,-6.0,0.0224815089589,210.0,-226.0,0.0663972834026
北京首创,1424.0,556.0,0.800341718936,2204.0,294.0,1.23873114363,3814.0,439.0,1.20590113761
华信万达,1714.0,40.0,0.963332658888,7279.0,-1316.0,4.09107259279,5894.0,2868.0,1.86355042083
华创期货,52.0,2.0,0.0292259616465,263.0,2.0,0.147815921405,952.0,435.0,0.301001018092
华安期货,2305.0,848.0,1.29549695376,672.0,-323.0,0.377689350509,7619.0,1543.0,2.40895667735
华泰期货,17324.0,-81.0,9.73674153009,3637.0,51.0,2.04413120209,7274.0,-10355.0,2.29987542605
华联期货,411.0,123.0,0.230997504553,112.0,-28.0,0.0629482250849,1107.0,-817.0,0.350008536794
华融期货,367.0,58.0,0.206267844698,176.0,0.0,0.0989186394191,550.0,-877.0,0.173897647007
华西期货,648.0,91.0,0.364200445134,289.0,-5.0,0.162428902228,1128.0,-628.0,0.356648265134
华金期货,69.0,-2.0,0.0387806029541,16.0,0.0,0.00899260358355,2.0,-1.0,0.000632355080025
华鑫期货,85.0,-2.0,0.0477732065376,32.0,6.0,0.0179852071671,252.0,-162.0,0.0796767400831
华闻期货,53.0,-2.0,0.0297879993705,11.0,2.0,0.00618241496369,24.0,-157.0,0.00758826096029
华龙期货,11.0,-18.0,0.00618241496369,7.0,-21.0,0.0039342640678,461.0,124.0,0.145757845946
南华期货,1728.0,-55.0,0.971201187024,585.0,-14.0,0.328792068524,12471.0,-954.0,3.94305010149
南证期货,263.0,-1.0,0.147815921405,2145.0,-8.0,1.20557091792,731.0,106.0,0.231125781749
同信久恒,453.0,-388.0,0.254603088959,509.0,505.0,0.286077201502,1153.0,758.0,0.364552703634
和合期货,27.0,-3.0,0.0151750185472,11.0,-1.0,0.00618241496369,124.0,-21.0,0.0392060149615
和融期货,,,,0.0,-3.0,0.0,3.0,3.0,0.000948532620037
国信期货,2204.0,205.0,1.23873114363,290.0,-27.0,0.162990939952,3354.0,259.0,1.0604594692
国元期货,141.0,29.0,0.0792473190801,47.0,10.0,0.0264157730267,1285.0,551.0,0.406288138916
国富期货,1513.0,0.0,0.85036307637,,,,318.0,-210.0,0.100544457724
国投期货,4431.0,155.0,2.49038915492,29626.0,-1541.0,16.6509296104,9958.0,-305.0,3.14849594344
国泰君安,3519.0,156.0,1.97781075066,18683.0,127.0,10.500550797,10017.0,-3580.0,3.1671504183
国海良时,2360.0,39.0,1.32640902857,1348.0,-188.0,0.757626851914,2445.0,-1116.0,0.77305408533
