member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,,,,6.0,0.0,0.00172256386406,,,
上海中期,,,,1692.0,-230.0,0.485763009664,4077.0,464.0,0.174864166099
上海大陆,,,,,,,7936.0,6592.0,0.340378224715
东航期货,3880.0,-630.0,1.11392463209,,,,38460.0,6425.0,1.64956483399
东证期货,,,,5024.0,3.0,1.44236014217,36855.0,-3450.0,1.5807257399
中信建投,9472.0,-238.0,2.71935415339,,,,,,
中信期货,14520.0,-730.0,4.16860455101,42179.0,547.0,12.1093368703,111087.0,12204.0,4.76456600919
中原期货,6828.0,433.0,1.96027767729,,,,,,
中国国际,5329.0,-2078.0,1.52992380526,40802.0,-13.0,11.7140084635,,,
中粮期货,1634.0,-206.0,0.469111558978,7273.0,88.0,2.08803449721,,,
中融汇信,,,,,,,60487.0,13376.0,2.59431170342
中财期货,1455.0,-18.0,0.417721737033,,,,,,
中辉期货,,,,,,,7482.0,1223.0,0.320905982525
中银国际,,,,3872.0,-1.0,1.11162788027,,,
乾坤期货,300.0,0.0,0.0861281932028,,,,,,
五矿经易,234.0,0.0,0.0671799906982,15827.0,418.0,4.5438363794,6757.0,3184.0,0.289810441582
信达期货,,,,10328.0,-212.0,2.96510659799,,,
光大期货,12466.0,-337.0,3.57891352155,3222.0,-492.0,0.925016794998,50748.0,11069.0,2.17660208516
兴业期货,54.0,0.0,0.0155030747765,7510.0,-5.0,2.15607576984,,,
兴证期货,,,,7893.0,-36.0,2.26603276316,,,
前二十名合计,182053.0,-874.0,52.2663198571,260512.0,-6319.0,74.7914262255,1297905.0,151632.0,55.667666299
前五名合计,80947.0,-8096.0,23.2393961839,137083.0,-3233.0,39.355703696,636807.0,75868.0,27.3129077805
前十名合计,127629.0,-2647.0,36.6415172343,196495.0,-5469.0,56.4125310779,912460.0,129138.0,39.13577557
华泰期货,13470.0,-1554.0,3.8671558748,,,,47899.0,269.0,2.05440733186
华西期货,,,,,,,4282.0,1896.0,0.183656698366
华闻期货,,,,24.0,0.0,0.00689025545622,,,
南华期货,8944.0,2791.0,2.56776853335,8520.0,-316.0,2.44604068696,60192.0,4056.0,2.58165903503
同信久恒,,,,,,,34835.0,16627.0,1.49408712928
国信期货,2384.0,-295.0,0.684432041985,,,,,,
国投安信,78.0,0.0,0.0223933302327,6.0,0.0,0.00172256386406,,,
国泰君安,5255.0,318.0,1.50867885094,21556.0,-3053.0,6.1885977756,45566.0,3090.0,1.95434402562
国贸期货,6362.0,-954.0,1.82649188385,16719.0,-1132.0,4.79992420719,,,
国都期货,3664.0,-183.0,1.05191233298,,,,,,
大有期货,1712.0,619.0,0.49150488921,3165.0,273.0,0.908652438289,,,
大越期货,,,,13930.0,-33.0,3.99921910438,,,
宏源期货,,,,,,,4505.0,1651.0,0.193221257855
广发期货,4310.0,-2314.0,1.23737504235,11034.0,-1016.0,3.167794946,39578.0,8458.0,1.69751630264
建信期货,2152.0,469.0,0.617826239241,13584.0,-445.0,3.89988458822,,,
弘业期货,,,,,,,31286.0,-690.0,1.34186909506
徽商期货,5936.0,2691.0,1.70418984951,66.0,0.0,0.0189482025046,76565.0,21319.0,3.28390357552
恒泰期货,,,,,,,53022.0,24136.0,2.27413485772
招商期货,3197.0,157.0,0.917839445564,,,,,,
招金期货,,,,6.0,0.0,0.00172256386406,,,
摩根大通,420.0,0.0,0.120579470484,,,,,,
新湖期货,,,,4182.0,-35.0,1.20062701325,,,
方正中期,11808.0,2444.0,3.39000568446,1301.0,-137.0,0.373509264523,41006.0,-1832.0,1.7587637957
永安期货,24852.0,-6337.0,7.13485952492,10536.0,-530.0,3.02482214528,76203.0,-5910.0,3.26837725024
江海汇鑫,,,,8545.0,23.0,2.45321803639,,,
浙商期货,5303.0,617.0,1.52245936185,,,,,,
海通期货,15639.0,862.0,4.48986271166,3627.0,-80.0,1.04128985582,297054.0,19499.0,12.7407652677
瑞达期货,1682.0,355.0,0.48289206989,,,,30424.0,799.0,1.30489756914
申万期货,9630.0,19.0,2.76471500181,,,,39536.0,-7202.0,1.69571490579
美尔雅,5490.0,3994.0,1.57614593561,,,,,,
英大期货,6472.0,-146.0,1.85807222136,,,,,,
西部期货,,,,6418.0,135.0,1.84256914658,,,
迈科期货,,,,3956.0,-132.0,1.13574377437,,,
通惠期货,,,,2829.0,0.0,0.812188861902,,,
金瑞期货,132.0,0.0,0.0378964050092,967.0,-66.0,0.27761987609,,,
铜冠金源,,,,96.0,0.0,0.0275610218249,75898.0,28756.0,3.25529567785
银建期货,1838.0,526.0,0.527678730356,,,,,,
银河期货,6087.0,275.0,1.74754104008,4696.0,-575.0,1.3481933176,51204.0,633.0,2.19616010815
