member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
东兴期货,5844.0,-2300.0,3.15269872953,,,,4115.0,3475.0,1.0755639196
东海期货,,,,7567.0,4891.0,4.0822161681,5534.0,4263.0,1.44645704279
东航期货,4578.0,364.0,2.46972190004,,,,4500.0,1204.0,1.17619383674
东证期货,,,,2462.0,596.0,1.32819032719,9230.0,803.0,2.41250424737
中信建投,,,,2686.0,18.0,1.44903298897,,,
中信期货,4525.0,507.0,2.4411296631,4148.0,-1112.0,2.23774714752,21195.0,1228.0,5.53987297107
中国国际,,,,6330.0,50.0,3.41488414749,4840.0,2589.0,1.26506181552
中投期货,,,,2488.0,111.0,1.34221670758,,,
中粮期货,,,,12859.0,755.0,6.93712405254,,,
中金期货,2253.0,-4.0,1.21543980795,,,,,,
中钢期货,,,,4664.0,888.0,2.51611685054,,,
五矿经易,2209.0,-1039.0,1.19170285653,,,,,,
光大期货,3761.0,299.0,2.02896987026,2522.0,-470.0,1.36055889731,,,
兴证期货,5921.0,997.0,3.19423839452,,,,4550.0,1127.0,1.18926265715
前二十名合计,92629.0,7271.0,49.971138025,93136.0,13288.0,50.2446524425,187609.0,53260.0,49.0365665595
前五名合计,43644.0,1956.0,23.5448979041,45381.0,7233.0,24.4819680091,104551.0,16353.0,27.3271648501
前十名合计,67478.0,3173.0,36.4027729075,67255.0,7197.0,36.2824697219,138821.0,29565.0,36.2845343579
北京首创,2844.0,2656.0,1.53427022361,,,,,,
华信万达,1893.0,-50.0,1.02122838724,,,,,,
华安期货,,,,,,,9248.0,6370.0,2.41720902271
华泰期货,5602.0,497.0,3.02214549672,,,,5723.0,1720.0,1.49585718393
南华期货,3639.0,53.0,1.96315377768,,,,5900.0,2191.0,1.54212080818
国投安信,,,,,,,5850.0,3035.0,1.52905198777
国泰君安,,,,3767.0,934.0,2.03220672727,7263.0,2283.0,1.89837685251
国海良时,,,,,,,3570.0,1552.0,0.93311377715
国贸期货,5059.0,-335.0,2.72920993715,,,,,,
大越期货,,,,4873.0,-552.0,2.62886736978,,,
宏源期货,2111.0,443.0,1.138834192,,,,,,
广发期货,,,,2653.0,1128.0,1.4312302754,,,
弘业期货,1777.0,445.0,0.958649151674,,,,,,
徽商期货,,,,,,,5286.0,1530.0,1.38163569356
方正中期,,,,3230.0,726.0,1.74250802471,7057.0,2933.0,1.84453331242
永安期货,11087.0,1108.0,5.98117228171,7889.0,39.0,4.2559274944,9883.0,5266.0,2.5831830419
浙商期货,,,,4422.0,-194.0,2.38556361773,,,
海通期货,9191.0,417.0,4.95832546597,2857.0,476.0,1.54128341381,54995.0,2686.0,14.3743955671
瑞达期货,4070.0,184.0,2.19566800637,,,,,,
申万期货,2504.0,1192.0,1.35084832628,,,,7926.0,3878.0,2.07166941112
西南期货,,,,2123.0,2113.0,1.14530790602,,,
道通期货,,,,10736.0,1498.0,5.79181614652,,,
银河期货,11601.0,1734.0,6.2584630324,2393.0,232.0,1.29096647156,6124.0,1927.0,1.6006691236
鲁证期货,2160.0,103.0,1.16526852426,2467.0,1161.0,1.33088770804,4820.0,3200.0,1.25983428736
