member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,11372.0,-247.0,1.16922747911,29796.0,1270.0,3.06351582549,9973.0,-2896.0,0.703536801472
上海东亚,2672.0,-1349.0,0.274725274725,3584.0,-1329.0,0.368493781667,16040.0,963.0,1.13152815558
上海中期,2899.0,-299.0,0.298064585115,6799.0,-528.0,0.699048331908,6881.0,-12364.0,0.48541429168
上海中财,6736.0,559.0,0.692570902152,6151.0,-738.0,0.632423340133,6913.0,-260.0,0.48767170446
上海大陆,7111.0,47.0,0.731127031651,844.0,-6.0,0.0867769954596,2381.0,-4317.0,0.167965619603
上海浙石,530.0,26.0,0.0544926630256,723.0,-5.0,0.0743362176745,657.0,-1110.0,0.0463475061232
东兴期货,1155.0,-246.0,0.118752878858,4868.0,-84.0,0.500509969073,4654.0,-1061.0,0.328312471077
东吴期货,3472.0,135.0,0.35697835099,2930.0,5.0,0.301251891821,6878.0,1804.0,0.485202659232
东方期货,65.0,-4.0,0.00668306244654,51.0,15.0,0.0052436336119,391.0,-2391.0,0.027582762396
东方汇金,990.0,122.0,0.101788181878,616.0,36.0,0.0633348687241,1046.0,-631.0,0.0737891802205
东海期货,4325.0,-192.0,0.444680693558,4798.0,355.0,0.4933128249,8075.0,6.0,0.569644006005
东航期货,5815.0,371.0,0.597877048102,8571.0,-140.0,0.881238895835,18537.0,-2757.0,1.30767689651
东证期货,41317.0,800.0,4.24806294005,43425.0,3935.0,4.46479979601,86513.0,-10094.0,6.10298599275
中信建投,8462.0,-1773.0,0.870031914194,25682.0,139.0,2.6405293808,18272.0,-6666.0,1.28898269693
中信期货,51234.0,2651.0,5.2676926367,36954.0,1077.0,3.79947522537,37510.0,-3480.0,2.64611104213
中原期货,1266.0,-604.0,0.130165493189,400.0,-37.0,0.0411265381325,2783.0,433.0,0.196324367642
中国国际,6469.0,801.0,0.665118937948,8313.0,-231.0,0.854712278739,25154.0,1898.0,1.77446753276
中大期货,3617.0,-332.0,0.371886721063,2830.0,-442.0,0.290970257288,5600.0,-1209.0,0.395047236362
中天期货,679.0,-1.0,0.06981229848,478.0,19.0,0.0491462130684,460.0,13.0,0.0324503087012
中州期货,781.0,-393.0,0.0802995657038,652.0,47.0,0.067036257156,1844.0,530.0,0.130083411402
中投期货,13648.0,-142.0,1.40323748108,1316.0,4.0,0.135306310456,2372.0,-3000.0,0.167330722259
中粮期货,6772.0,-82.0,0.696272290584,9657.0,-1493.0,0.992897446865,5371.0,-2333.0,0.378892626161
中航期货,1008.0,-2.0,0.103638876094,698.0,141.0,0.0717658090413,799.0,-1134.0,0.056364775331
中融汇信,444.0,125.0,0.0456504573271,601.0,106.0,0.0617926235441,443.0,32.0,0.0312510581622
中衍期货,2089.0,-274.0,0.214783345397,1608.0,-48.0,0.165328683293,3594.0,-2017.0,0.253535672765
中辉期货,7306.0,-2828.0,0.751176218991,6291.0,-3312.0,0.646817628479,28688.0,-13452.0,2.02377055657
中金期货,6161.0,-165.0,0.633451503586,1568.0,286.0,0.16121602948,469.0,-446.0,0.0330852060454
中钢期货,8782.0,143.0,0.9029331447,17389.0,-45.0,1.78787342897,910.0,-5129.0,0.0641951759089
中银国际,2270.0,352.0,0.233393103902,406.0,-218.0,0.0417434362045,1678.0,-3851.0,0.11837308261
九州期货,25.0,5.0,0.00257040863328,78.0,19.0,0.00801967493584,238.0,-18.0,0.0167895075454
云晨期货,283.0,-25.0,0.0290970257288,372.0,93.0,0.0382476804632,362.0,-286.0,0.0255369820649
五矿经易,10849.0,690.0,1.1154545305,8679.0,490.0,0.89234306113,4856.0,-6358.0,0.342562389246
信达期货,3583.0,-92.0,0.368390965322,3778.0,-173.0,0.388440152662,3703.0,-1068.0,0.261224985045
倍特期货,1716.0,-182.0,0.176432848589,8325.0,23.0,0.855946074883,2217.0,211.0,0.15639637911
先融期货,1733.0,1036.0,0.178180726459,520.0,7.0,0.0534644995723,2077.0,352.0,0.146520198201
光大期货,11144.0,2293.0,1.14578535237,26749.0,6550.0,2.75023442127,32565.0,754.0,2.2972702236
兴业期货,508.0,-2.0,0.0522307034283,362.0,45.0,0.0372195170099,415.0,-8.0,0.0292758219804
兴证期货,13932.0,-258.0,1.43243732316,12146.0,1023.0,1.24880733039,11443.0,-429.0,0.807236701017
冠通期货,3626.0,90.0,0.372812068171,1330.0,-442.0,0.136745739291,3690.0,192.0,0.260307911103
创元期货,2392.0,-173.0,0.245936698033,2259.0,-1834.0,0.232262124103,7293.0,3360.0,0.514478481213
前二十名合计,621659.0,7276.0,63.9167064223,614480.0,9142.0,63.1785878792,991470.0,-180631.0,69.9424077565
前五名合计,297758.0,13361.0,30.6143893532,266730.0,6382.0,27.4242037902,492782.0,-137903.0,34.7628870052
前十名合计,456775.0,9641.0,46.9639361387,410768.0,17924.0,42.2336645391,711324.0,-166682.0,50.1797464925
北京金鹏,2538.0,-92.0,0.260947884451,2118.0,-151.0,0.217765019412,925.0,-1505.0,0.0652533381491
北京首创,2345.0,-615.0,0.241104329802,4902.0,437.0,0.504005724814,4080.0,-6453.0,0.28782012935
华信万达,3008.0,195.0,0.309271566757,5341.0,249.0,0.549142100415,4646.0,-2693.0,0.327748117882
华创期货,458.0,-17.0,0.0470898861617,673.0,-27.0,0.069195400408,262.0,-1315.0,0.0184825671298
华安期货,6682.0,-820.0,0.687018819504,4146.0,-150.0,0.426276567744,7518.0,-4967.0,0.530350914817
华泰期货,26485.0,-8009.0,2.7230909061,24796.0,-3455.0,2.54943409884,38684.0,707.0,2.72892987347
华联期货,1082.0,-146.0,0.111247285648,1293.0,46.0,0.132941534513,2408.0,-20.0,0.169870311636
华融期货,10628.0,-22.0,1.09273211818,1198.0,-113.0,0.123173981707,2047.0,778.0,0.14440387372
华西期货,1585.0,-119.0,0.16296390735,1379.0,-92.0,0.141783740212,2161.0,-328.0,0.152445906746
华金期货,67.0,11.0,0.0068886951372,252.0,20.0,0.0259097190235,85.0,-39.0,0.00599625269479
华鑫期货,1082.0,512.0,0.111247285648,796.0,47.0,0.0818418108837,1525.0,-445.0,0.107579827759
华闻期货,1629.0,-39.0,0.167487826545,409.0,65.0,0.0420518852405,630.0,21.0,0.0444428140908
华龙期货,247.0,-26.0,0.0253956372968,100.0,7.0,0.0102816345331,817.0,-220.0,0.0576345700193
南华期货,7848.0,303.0,0.80690267816,7085.0,1084.0,0.728453806672,9363.0,-2232.0,0.660504870368
南证期货,497.0,26.0,0.0510997236297,878.0,94.0,0.0902727512009,1272.0,312.0,0.0897321579737
同信久恒,828.0,-39.0,0.0851319339343,3539.0,1037.0,0.363867046128,2570.0,119.0,0.181298463831
和合期货,150.0,-34.0,0.0154224517997,247.0,45.0,0.0253956372968,401.0,-118.0,0.0282882038895
和融期货,639.0,-1.0,0.0656996446667,17.0,-30.0,0.00174787787063,65.0,-734.0,0.00458536970778
国信期货,2908.0,-65.0,0.298989932223,9747.0,461.0,1.00215091794,7716.0,-1766.0,0.544318656388
国元期货,575.0,-318.0,0.0591193985655,2431.0,484.0,0.2499465355,2822.0,-106.0,0.199075589467
国富期货,51380.0,241.0,5.28270382312,5315.0,-857.0,0.546468875436,3290.0,697.0,0.232090251363
国投安信,64593.0,6782.0,6.64121619399,74643.0,1240.0,7.67452046457,225792.0,-107972.0,15.9283045701
国泰君安,27149.0,2287.0,2.7913609594,28333.0,5099.0,2.91309551227,46210.0,-1414.0,3.25984514148
国海良时,6447.0,49.0,0.662856978351,7092.0,-743.0,0.72917352109,18562.0,-1797.0,1.30944050024
国联期货,3040.0,-269.0,0.312561689807,2602.0,199.0,0.267528130552,4720.0,-3232.0,0.332968384934
国贸期货,5970.0,-977.0,0.613813581628,18390.0,422.0,1.89079259064,4677.0,-3996.0,0.329934986512
国都期货,4250.0,156.0,0.436969467658,695.0,-138.0,0.0714573600053,2202.0,603.0,0.15533821687
国金期货,759.0,-135.0,0.0780376061065,1221.0,-1324.0,0.12553875765,4511.0,2008.0,0.31822465772
大地期货,12091.0,277.0,1.2431524314,8935.0,-216.0,0.918664045535,27239.0,-15500.0,1.92155208416
大有期货,764.0,-40.0,0.0785516878331,1393.0,79.0,0.143223169047,2433.0,-1534.0,0.17163391537
大越期货,2776.0,22.0,0.28541817464,2991.0,-150.0,0.307523688886,3300.0,-48.0,0.232795692856
