member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
上海东亚,,,,,,,360.0,189.0,2.86806883365
上海东证,466.0,-6.0,1.78550902333,920.0,62.0,3.52503927354,334.0,207.0,2.660930529
东航期货,347.0,5.0,1.32955285643,,,,,,
中信建投,,,,1443.0,120.0,5.52894746925,429.0,202.0,3.41778202677
中信期货,4011.0,-97.0,15.3684049197,3557.0,46.0,13.6288746695,993.0,109.0,7.91108986616
中国国际,,,,269.0,-3.0,1.03069083107,,,
中粮期货,1888.0,-14.0,7.2339936396,150.0,12.0,0.574734664163,,,
中金期货,477.0,0.0,1.82765623204,,,,,,
五矿经易,,,,250.0,1.0,0.957891106939,,,
信达期货,284.0,0.0,1.08816429748,,,,,,
光大期货,,,,407.0,-4.0,1.5594467221,902.0,624.0,7.18610579987
兴业期货,,,,1158.0,0.0,4.43695160734,,,
兴证期货,,,,,,,393.0,48.0,3.1309751434
前二十名合计,18170.0,-122.0,69.6195256523,19610.0,86.0,75.1369784283,10041.0,3250.0,79.9952198853
前五名合计,10090.0,-94.0,38.6604850761,12752.0,-162.0,48.8601095827,4572.0,1497.0,36.4244741874
前十名合计,14124.0,-10.0,54.1170159776,16547.0,144.0,63.4008965861,6942.0,2101.0,55.3059273423
华泰期货,707.0,-36.0,2.70891605042,553.0,243.0,2.11885512855,895.0,290.0,7.13033779477
华西期货,,,,,,,210.0,206.0,1.67304015296
南华期货,1003.0,7.0,3.84305912104,162.0,-4.0,0.620713437296,437.0,7.0,3.48151688974
和融期货,,,,443.0,0.0,1.6973830415,,,
国泰君安,930.0,77.0,3.56335491781,1610.0,-111.0,6.16881872869,712.0,248.0,5.67240280433
国金期货,785.0,-77.0,3.00777807579,,,,568.0,282.0,4.52517527087
天风期货,457.0,1.0,1.75102494348,,,,,,
宏源期货,,,,615.0,2.0,2.35641212307,,,
平安期货,,,,314.0,-73.0,1.20311123032,312.0,66.0,2.48565965583
广发期货,611.0,172.0,2.34108586536,453.0,1.0,1.73569868577,411.0,246.0,3.27437858509
弘业期货,374.0,0.0,1.43300509598,,,,,,
招商期货,1267.0,2.0,4.85459212997,549.0,-1.0,2.10352887084,,,
新湖期货,1921.0,8.0,7.36043526572,,,,259.0,-60.0,2.06341618866
方正中期,,,,,,,256.0,112.0,2.03951561504
永安期货,464.0,6.0,1.77784589448,2765.0,-178.0,10.5942756427,438.0,224.0,3.48948374761
海通期货,449.0,13.0,1.72037242806,3377.0,-39.0,12.9391930725,1070.0,226.0,8.52453792224
申银万国,1001.0,-52.0,3.83539599218,157.0,35.0,0.601555615158,355.0,-23.0,2.8282345443
银河期货,368.0,16.0,1.41001570941,458.0,-23.0,1.75485650791,209.0,158.0,1.66507329509
鲁证期货,360.0,-147.0,1.37936319399,,,,498.0,-111.0,3.96749521989
