member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,5185.0,-7153.0,2.04355108878,,,,21035.0,6143.0,2.15468232392
上海中期,,,,,,,17696.0,7787.0,1.81265787517
东航期货,4730.0,1538.0,1.86422307617,,,,18762.0,6705.0,1.92185166444
中信建投,,,,,,,20180.0,8416.0,2.06710193947
中信期货,23181.0,2485.0,9.13626958321,13908.0,-568.0,5.48152527343,24969.0,13093.0,2.5576545256
中国国际,5506.0,740.0,2.17006601636,,,,16084.0,8754.0,1.64753555968
中粮期货,3498.0,-270.0,1.37865799586,4336.0,-154.0,1.70893684107,,,
中辉期货,,,,5486.0,3386.0,2.16218346635,,,
光大期货,4257.0,523.0,1.67780076855,4334.0,1319.0,1.70814858607,19432.0,11190.0,1.99048190722
兴证期货,7025.0,657.0,2.76874568923,3830.0,255.0,1.50950832594,,,
前二十名合计,173423.0,6093.0,68.3507734752,152785.0,351.0,60.2167701251,442325.0,186333.0,45.3087643893
前五名合计,84928.0,2027.0,33.4724603409,80621.0,-814.0,31.7749531974,146728.0,62872.0,15.029818304
前十名合计,122988.0,7284.0,48.4729530003,110480.0,467.0,43.5432062272,264811.0,117426.0,27.1254376458
华信万达期货,5648.0,-291.0,2.22603212139,,,,,,
华泰期货,11913.0,3105.0,4.69524091043,5170.0,542.0,2.03763917627,32495.0,18535.0,3.32856677518
华鑫期货,28312.0,475.0,11.158537787,,,,,,
南华期货,,,,6232.0,307.0,2.45620258154,,,
国投安信期货,7365.0,4626.0,2.90274903931,11533.0,4079.0,4.54547246034,24505.0,16701.0,2.51012552164
国泰君安,8357.0,-2604.0,3.29372351956,9477.0,-171.0,3.73514631983,28401.0,11149.0,2.90920526179
国联期货,4079.0,531.0,1.6076460735,,,,,,
广发期货,,,,3578.0,-257.0,1.41018819588,15872.0,6586.0,1.62581972167
徽商期货,,,,,,,25876.0,10097.0,2.65056143636
招商期货,6587.0,1195.0,2.59611784412,5040.0,-2537.0,1.98640260124,,,
方正中期,,,,4104.0,-818.0,1.61749926101,21698.0,8520.0,2.22259553432
格林大华期货,,,,34559.0,-836.0,13.620652281,19788.0,6087.0,2.02694812578
永安期货,8576.0,-541.0,3.38003744211,11144.0,-3318.0,4.39215686275,26429.0,6250.0,2.70720699496
海通期货,6737.0,3119.0,2.65523696916,5031.0,-1622.0,1.98285545374,27871.0,11269.0,2.85491566675
瑞达期货,,,,,,,15775.0,2385.0,1.61588370144
申银万国,6044.0,-371.0,2.38210661149,4040.0,-484.0,1.592275101,16691.0,6738.0,1.70971251099
西部期货,4901.0,2367.0,1.93161887871,4458.0,2085.0,1.7570203961,,,
金瑞期货,,,,4842.0,-935.0,1.90836535619,,,
银河期货,12478.0,-265.0,4.91792294807,7931.0,-417.0,3.12582520445,31532.0,15669.0,3.22992360532
长江期货,,,,,,,17234.0,4259.0,1.7653337376
集成期货,9044.0,-3773.0,3.56448911223,,,,,,
首创期货,,,,3752.0,495.0,1.47876638092,,,
