member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,3772.0,71.0,0.696282677476,10879.0,3151.0,2.00818113687,7362.0,3983.0,1.18266960112
上海东亚,8389.0,5987.0,1.54854596536,859.0,12.0,0.158564904547,6635.0,6165.0,1.06588057639
上海中期,4808.0,-190.0,0.887520443613,1526.0,70.0,0.28168806093,2202.0,-1371.0,0.353740622339
上海中财,1749.0,150.0,0.322852174684,6216.0,-29.0,1.14742659682,1033.0,-1067.0,0.165946440907
上海大陆,565.0,48.0,0.104294727671,1030.0,25.0,0.190130211506,5611.0,2303.0,0.901379941846
上海浙石,0.0,-11.0,0.0,2.0,1.0,0.000369184876711,18.0,14.0,0.00289161271667
东兴期货,579.0,-10.0,0.106879021808,667.0,221.0,0.123123156383,817.0,155.0,0.131247088307
东吴期货,1224.0,72.0,0.225941144547,146.0,-3.0,0.0269504959999,715.0,-30.0,0.114861282912
东方期货,9.0,-46.0,0.0016613319452,32.0,27.0,0.00590695802737,103.0,-29.0,0.0165464505454
东方汇金,1338.0,263.0,0.246984682519,13092.0,1257.0,2.41668420295,2236.0,-1176.0,0.359202557471
东海期货,1705.0,334.0,0.314730107396,1739.0,405.0,0.3210062503,2931.0,1143.0,0.470850937364
东航期货,9830.0,483.0,1.81454366903,2976.0,-75.0,0.549347096546,17126.0,5326.0,2.75120885476
东证期货,4982.0,189.0,0.919639527886,16211.0,-158.0,2.99242801818,3001.0,-6337.0,0.482096097929
中信建投,4802.0,-316.0,0.886412888982,1150.0,159.0,0.212281304109,11041.0,3810.0,1.77368311138
中信期货,22507.0,76.0,4.15462201006,12821.0,1278.0,2.36665965215,26678.0,8580.0,4.28569133641
中原期货,777.0,22.0,0.143428324602,99.0,38.0,0.0182746513972,1120.0,114.0,0.179922569037
中国国际,7870.0,395.0,1.45274248986,12657.0,91.0,2.33638649226,5406.0,1118.0,0.868447685907
中大期货,3042.0,676.0,0.561530197477,366.0,196.0,0.0675608324381,2818.0,496.0,0.45269803531
中天期货,2600.0,34.0,0.479940339724,15.0,6.0,0.00276888657533,560.0,-29.0,0.0899612845186
中州期货,1022.0,149.0,0.188653471999,76.0,32.0,0.014029025315,1097.0,410.0,0.176227730566
中投期货,4684.0,145.0,0.864630981256,276.0,-84.0,0.0509475129861,1327.0,81.0,0.213176115279
中粮期货,5650.0,527.0,1.04294727671,44896.0,190.0,8.2874621124,5421.0,-2397.0,0.87085736317
中航期货,2297.0,88.0,0.424008830902,714.0,434.0,0.131799000986,1504.0,-992.0,0.241610306993
中融汇信,4481.0,63.0,0.82715871627,1464.0,660.0,0.270243329752,3709.0,627.0,0.595832864785
中衍期货,2956.0,578.0,0.545655247778,85.0,-100.0,0.0156903572602,5508.0,1211.0,0.884833491301
中辉期货,3835.0,329.0,0.707912001093,212.0,28.0,0.0391335969313,3717.0,985.0,0.597118025992
中金期货,5062.0,-70.0,0.934406922955,,,,86.0,-412.0,0.0138154829796
中钢期货,255.0,44.0,0.0470710717806,798.0,528.0,0.147304765808,630.0,293.0,0.101206445083
中银国际,4071.0,-9.0,0.751475816545,72.0,-10.0,0.0132906555616,2545.0,1893.0,0.408841909107
九州期货,122.0,42.0,0.0225202774794,183.0,4.0,0.033780416219,148.0,10.0,0.0237754823371
云晨期货,382.0,52.0,0.0705143114517,10.0,-6.0,0.00184592438355,212.0,29.0,0.0340567719963
五矿经易,9019.0,2060.0,1.66483920153,3891.0,938.0,0.718249177641,8450.0,5203.0,1.35745152533
信达期货,4384.0,289.0,0.80925324975,1867.0,-66.0,0.344634082409,2029.0,-159.0,0.325949011229
倍特期货,2536.0,15.0,0.468126423669,233.0,44.0,0.0430100381368,1721.0,19.0,0.276470304744
先融期货,1241.0,222.0,0.229079215999,57.0,-12.0,0.0105217689863,1354.0,254.0,0.217513534354
光大期货,7618.0,123.0,1.40622519539,32154.0,930.0,5.93538526288,11793.0,572.0,1.89448826487
兴业期货,519.0,-18.0,0.0958034755064,83.0,47.0,0.0153211723835,333.0,-116.0,0.0534948352584
兴证期货,5185.0,35.0,0.957111792873,5808.0,1073.0,1.07211288197,8860.0,39.0,1.42331603721
冠通期货,905.0,324.0,0.167056156712,2937.0,-170.0,0.54214799145,2846.0,-1290.0,0.457196099536
创元期货,761.0,293.0,0.140474845588,5499.0,134.0,1.01507381852,1829.0,571.0,0.293819981044
前二十名合计,305085.0,23844.0,56.3163840556,417118.0,17431.0,76.9968287019,345830.0,31001.0,55.5559125448
前五名合计,141368.0,3773.0,26.0954638254,209449.0,6177.0,38.6627016211,169309.0,38819.0,27.1986698582
前十名合计,210637.0,9812.0,38.8819974379,305886.0,7383.0,56.4642425988,241236.0,24203.0,38.7533936288
北京金鹏,186.0,-133.0,0.0343341935341,314.0,215.0,0.0579620256436,1148.0,461.0,0.184420633263
北京首创,2261.0,-120.0,0.417363503121,18123.0,140.0,3.34536876031,5316.0,1195.0,0.853989622323
华信万达,38671.0,2279.0,7.13837418364,19317.0,2297.0,3.56577213171,10554.0,-429.0,1.69544892287
华创期货,3490.0,331.0,0.64422760986,8.0,0.0,0.00147673950684,2831.0,1462.0,0.454786422272
华安期货,1248.0,-28.0,0.230371363067,239.0,126.0,0.0441175927669,9420.0,1837.0,1.51327732172
华泰期货,13417.0,326.0,2.47667674541,18656.0,-7046.0,3.44375652996,22762.0,7476.0,3.65660492538
华联期货,1351.0,447.0,0.249384384218,51.0,-11.0,0.00941421435612,742.0,341.0,0.119198701987
华融期货,2432.0,651.0,0.44892881008,142.0,-64.0,0.0262121262465,1401.0,5.0,0.225063856447
华西期货,1046.0,652.0,0.19308369052,438.0,-82.0,0.0808514879996,2200.0,60.0,0.353419332037
华金期货,7.0,2.0,0.00129214706849,4.0,2.0,0.000738369753421,22.0,-35.0,0.00353419332037
华鑫期货,2723.0,-5223.0,0.502645209642,127.0,9.0,0.0234432396711,6354.0,2611.0,1.02073928898
华闻期货,298.0,34.0,0.0550085466299,68.0,52.0,0.0125522858082,860.0,563.0,0.138154829796
华龙期货,192.0,2.0,0.0354417481642,6.0,1.0,0.00110755463013,311.0,40.0,0.049960641938
南华期货,6011.0,108.0,1.10958514695,9337.0,2288.0,1.72353959692,9378.0,-3256.0,1.50653022539
南证期货,957.0,41.0,0.176654963506,23.0,-18.0,0.00424562608217,915.0,376.0,0.146990313097
同信久恒,130.0,11.0,0.0239970169862,738.0,43.0,0.136229219506,1502.0,-378.0,0.241289016691
和合期货,135.0,-105.0,0.024919979178,71.0,-72.0,0.0131060631232,495.0,298.0,0.0795193497084
和融期货,20.0,-19.0,0.00369184876711,,,,45.0,1.0,0.00722903179168
国信期货,4824.0,26.0,0.890473922626,2783.0,-15.0,0.513720755943,3963.0,29.0,0.63663673312
国元期货,685.0,68.0,0.126445820273,242.0,-6.0,0.044671370082,1202.0,-41.0,0.193095471413
国富期货,1953.0,365.0,0.360509032108,751.0,47.0,0.138628921205,2116.0,-149.0,0.33992513936
国投安信,10381.0,512.0,1.91625410257,34939.0,2766.0,6.4494752037,13108.0,-6211.0,2.10573663834
国泰君安,10377.0,-112.0,1.91551573281,8556.0,-1026.0,1.57937290257,15370.0,3008.0,2.46911596973
国海良时,9324.0,72.0,1.72113989523,3251.0,-723.0,0.600110017093,5771.0,1150.0,0.927083165995
国联期货,1646.0,-161.0,0.303839153533,320.0,39.0,0.0590695802737,1810.0,-328.0,0.290767723176
国贸期货,1216.0,107.0,0.22446440504,399.0,133.0,0.0736523829038,2386.0,1355.0,0.38329933011
国都期货,192.0,-3.0,0.0354417481642,6467.0,-119.0,1.19375929884,1408.0,-1676.0,0.226188372504
国金期货,975.0,95.0,0.179977627396,2628.0,1547.0,0.485108927998,3406.0,72.0,0.547157384054
大地期货,30086.0,260.0,5.55364810036,405.0,51.0,0.0747599375339,5167.0,3120.0,0.830053494835
大有期货,732.0,-1294.0,0.135121664876,162.0,9.0,0.0299039750136,2267.0,1676.0,0.36418255715
大越期货,4054.0,220.0,0.748337745093,587.0,-95.0,0.108355761315,1741.0,638.0,0.279683207762
大连良运,718.0,99.0,0.132537370739,31.0,20.0,0.00572236558902,419.0,142.0,0.067310318238
大通期货,25.0,-8.0,0.00461481095888,7.0,1.0,0.00129214706849,19.0,-19.0,0.0030522578676
天富期货,221.0,-19.0,0.0407949288765,81.0,0.0,0.0149519875068,169.0,-70.0,0.0271490305065
天风期货,739.0,112.0,0.136413811945,1115.0,988.0,0.205820568766,1418.0,849.0,0.227794824013
天鸿期货,588.0,40.0,0.108540353753,14.0,-32.0,0.00258429413697,274.0,-111.0,0.0440167713538
安粮期货,1218.0,-79.0,0.224833589917,1112.0,-67.0,0.205266791451,5004.0,892.0,0.803868335234
宏源期货,6572.0,855.0,1.21314150487,1680.0,73.0,0.310115296437,6248.0,2303.0,1.00371090299
宝城期货,5554.0,108.0,1.02522640263,5890.0,-207.0,1.08724946191,2977.0,-778.0,0.478240614307
山西三立,36.0,-3.0,0.00664532778079,7.0,1.0,0.00129214706849,106.0,24.0,0.0170283859982
山金期货,157.0,22.0,0.0289810128218,21.0,17.0,0.00387644120546,53.0,3.0,0.00851419299908
