member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,,,,3598.0,-65.0,1.38882991659,,,
上海东亚,8388.0,-18.0,3.23777246813,,,,,,
上海中期,,,,,,,11299.0,1710.0,2.56166681781
东证期货,3157.0,-41.0,1.21860368167,,,,15464.0,-2762.0,3.50593996554
中信期货,19156.0,-733.0,7.39422620403,9552.0,-272.0,3.68707708817,28663.0,1462.0,6.49836764306
中粮期货,4128.0,-914.0,1.59341019891,6482.0,-66.0,2.50205545284,,,
中融汇信,,,,,,,11989.0,-3406.0,2.71810102476
中辉期货,,,,,,,9899.0,1584.0,2.24426407908
云晨期货,,,,5385.0,-99.0,2.07861286849,,,
五矿经易,13378.0,801.0,5.1639151262,28209.0,784.0,10.8886890264,7807.0,-3047.0,1.76997370092
光大期货,,,,,,,5893.0,-405.0,1.33603881382
兴业期货,,,,5420.0,-466.0,2.09212288713,,,
前二十名合计,157245.0,-6966.0,60.6966537614,158990.0,-3366.0,61.3702246909,258299.0,-4014.0,58.5605785798
前五名合计,78407.0,-1316.0,30.2651437659,87915.0,-702.0,33.9352368306,135023.0,6080.0,30.611907137
前十名合计,117095.0,-7491.0,45.1987323743,116630.0,-2920.0,45.0192421266,188209.0,9183.0,42.6700371815
华泰期货,9417.0,-446.0,3.63496701625,3442.0,175.0,1.32861383349,5867.0,212.0,1.33014419153
南华期货,3553.0,554.0,1.37145989261,4512.0,133.0,1.74163440346,8021.0,836.0,1.81849097669
国投安信,3333.0,113.0,1.28653977542,,,,7442.0,-2032.0,1.6872222726
国泰君安,6968.0,-3194.0,2.68965171172,7497.0,-635.0,2.89384599351,14047.0,5071.0,3.18468305069
宏源期货,,,,4125.0,-312.0,1.59225219731,5556.0,-3201.0,1.25963544028
广发期货,5156.0,234.0,1.9902187465,,,,5757.0,401.0,1.30520540492
建信期货,3173.0,-78.0,1.2247796902,4202.0,-164.0,1.62197423832,,,
弘业期货,,,,3991.0,-166.0,1.54052812593,,,
方正中期,9240.0,-81.0,3.56664492197,4364.0,-114.0,1.68450632462,8921.0,-152.0,2.02253559445
格林大华,8092.0,-14.0,3.12351631045,,,,,,
永安期货,6000.0,-2868.0,2.31600319608,4256.0,164.0,1.64281826709,9998.0,1349.0,2.26670898703
浙商期货,4890.0,151.0,1.88754260481,,,,,,
海通期货,13047.0,-2036.0,5.03614894989,6269.0,-1032.0,2.41983733938,64860.0,5715.0,14.704815453
迈科期货,5330.0,297.0,2.05738283919,9559.0,450.0,3.6897790919,,,
金元期货,3321.0,17.0,1.28190776903,4857.0,-39.0,1.87480458723,,,
金瑞期货,23409.0,1098.0,9.03588646952,33098.0,-1029.0,12.7758456307,11359.0,-2866.0,2.57526979233
铜冠金源,,,,5159.0,-555.0,1.9913767481,10631.0,1326.0,2.41022036819
银河期货,4109.0,192.0,1.58607618879,5013.0,-58.0,1.93502067033,8082.0,-6316.0,1.83232066745
长江期货,,,,,,,6744.0,507.0,1.52897433572
