member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,2364.0,-112.0,1.49632564705,,,,,,
上海大陆,,,,,,,1967.0,1444.0,1.90202676568
东航期货,3197.0,59.0,2.02358421895,,,,2111.0,-2164.0,2.04127020964
中信期货,4348.0,-64.0,2.75212517486,8698.0,-406.0,5.50551627666,3908.0,-3894.0,3.77891235399
中原期货,,,,2588.0,122.0,1.6381094647,,,
中国国际,,,,4428.0,-153.0,2.80276225259,,,
中天期货,,,,2076.0,-58.0,1.3140321672,,,
中投天琪,,,,4545.0,-16.0,2.87681897878,,,
中粮期货,2297.0,-146.0,1.45391709444,8524.0,-208.0,5.39538063258,,,
光大期货,2721.0,42.0,1.72229360644,10820.0,-1128.0,6.84866476356,6498.0,-4208.0,6.28336040845
兴证期货,2897.0,-744.0,1.83369517745,,,,2547.0,-2376.0,2.46286841495
冠通期货,,,,8267.0,14.0,5.23270902036,,,
前二十名合计,90840.0,-3080.0,57.4984017672,129096.0,-2730.0,81.7130523397,54967.0,-35348.0,53.1513498878
前五名合计,43580.0,-1467.0,27.5845480957,75545.0,-1454.0,47.8172254679,22708.0,-14653.0,21.9579175369
前十名合计,65120.0,-1939.0,41.2185812757,103212.0,-1642.0,65.3294258388,35116.0,-27015.0,33.9560609577
华信万达期货,6240.0,244.0,3.94969206327,36722.0,356.0,23.243684607,1878.0,-1417.0,1.81596658157
华安期货,,,,,,,1900.0,-2840.0,1.83723988551
华泰期货,6650.0,182.0,4.20920708666,2726.0,255.0,1.72545842379,2283.0,-3609.0,2.2075887677
华鑫期货,,,,1818.0,-278.0,1.15072759151,,,
南华期货,4507.0,-263.0,2.85276636685,,,,2696.0,-1865.0,2.6069467007
国信期货,,,,,,,1938.0,-434.0,1.87398468322
国富期货,2436.0,43.0,1.54189901701,,,,,,
国泰君安,4300.0,-123.0,2.72174292822,,,,2167.0,-1515.0,2.09542043784
广发期货,6266.0,-1106.0,3.96614911353,,,,2191.0,-334.0,2.1186276785
弘业期货,2281.0,-29.0,1.4437896789,,,,,,
徽商期货,,,,,,,2412.0,-1702.0,2.33232768624
招商期货,12377.0,1553.0,7.83418888896,2495.0,-57.0,1.57924386184,3318.0,-668.0,3.20840102112
方正中期,4200.0,-15.0,2.65844658105,,,,,,
格林大华期货,,,,4275.0,-51.0,2.70591884142,,,
永安期货,12047.0,-2340.0,7.62531094331,6152.0,18.0,3.89399127776,4742.0,-1106.0,4.58536396689
浙商期货,3090.0,-4.0,1.95585712749,,,,,,
海通期货,4185.0,-7.0,2.64895212897,1923.0,-33.0,1.21718875604,4242.0,-4777.0,4.10187978649
申银万国,,,,,,,1737.0,-1306.0,1.6796240427
美尔雅,,,,2574.0,-120.0,1.6292479761,,,
金瑞期货,,,,,,,2470.0,-2810.0,2.38841185116
金石期货,,,,3428.0,-94.0,2.16979878091,1809.0,719.0,1.74924576468
银河期货,2209.0,-203.0,1.39821630894,3429.0,-162.0,2.17043174438,2153.0,-486.0,2.08188288079
长江期货,,,,10781.0,-68.0,6.82397918816,,,
首创期货,,,,2827.0,-663.0,1.78938773443,,,
鲁证期货,2228.0,-47.0,1.4102426149,,,,,,
