member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,23841.0,-16.0,4.37416634712,,,,,,
东兴期货,,,,13926.0,-58.0,2.55503714399,,,
东海期货,,,,,,,12118.0,5017.0,1.66633206183
东航期货,,,,,,,10238.0,6154.0,1.40781545214
东证期货,8886.0,-87.0,1.63033606646,13060.0,129.0,2.3961500144,,,
中信期货,37372.0,-3297.0,6.85673187889,39563.0,301.0,7.2587199862,26204.0,12291.0,3.60328151084
中国国际,,,,7587.0,596.0,1.39200537207,,,
中投天琪,9907.0,-18.0,1.81766142364,11189.0,348.0,2.05287308661,,,
中粮期货,60671.0,-2618.0,11.1314561657,42960.0,1174.0,7.88197585136,14234.0,9674.0,1.95730075657
中辉期货,,,,,,,17486.0,4264.0,2.40447948781
中银国际,,,,,,,23306.0,11790.0,3.20478090717
光大期货,23893.0,1467.0,4.38370691379,41137.0,2065.0,7.5475056005,27762.0,19831.0,3.81752027568
兴证期货,,,,,,,12315.0,3480.0,1.69342130232
创元期货,9932.0,-604.0,1.82224823454,11852.0,-136.0,2.17451531169,,,
前二十名合计,417972.0,-3319.0,76.6863410276,371405.0,6067.0,68.1425800995,419878.0,232334.0,57.736934598
前五名合计,241626.0,-6895.0,44.3317108254,189333.0,5593.0,34.7373867287,209571.0,117723.0,28.8178640478
前十名合计,326078.0,-4629.0,59.8263249921,266254.0,3865.0,48.8502699797,294746.0,161953.0,40.530179064
华信万达期货,15842.0,-952.0,2.90657033141,15932.0,-753.0,2.92308285065,19091.0,11503.0,2.62518116789
华安期货,,,,,,,17847.0,11518.0,2.45412017722
华泰期货,89616.0,-6437.0,16.4420658262,39440.0,2369.0,7.23615287657,62644.0,33298.0,8.61410345615
国投安信期货,11889.0,-24.0,2.18130379182,26233.0,-316.0,4.81303241408,,,
国泰君安,,,,,,,10390.0,5563.0,1.42871679505
国海良时,13451.0,3254.0,2.46788773689,,,,13363.0,10755.0,1.83753056134
大地期货,7157.0,400.0,1.31311222458,9533.0,-246.0,1.74904273257,,,
宏源期货,30074.0,3990.0,5.51775004082,17251.0,-552.0,3.16508299376,13708.0,10029.0,1.88497110939
徽商期货,,,,,,,13777.0,8825.0,1.894459219
新湖期货,11196.0,100.0,2.05415739366,13018.0,129.0,2.38844417209,,,
方正中期,,,,8446.0,946.0,1.54960819461,,,
永安期货,16166.0,-381.0,2.96601540068,14268.0,-350.0,2.61778471711,15397.0,8142.0,2.11722353161
海通期货,,,,,,,69655.0,40513.0,9.57817789793
混沌天成期货,15152.0,361.0,2.77997435055,,,,,,
申银万国,,,,,,,12969.0,6826.0,1.78335208037
英大期货,8003.0,-91.0,1.46832990546,10686.0,-310.0,1.96058645129,,,
迈科期货,8673.0,2206.0,1.59125643759,,,,,,
金瑞期货,8334.0,-377.0,1.52905928178,15544.0,-15.0,2.85189554547,15354.0,8803.0,2.11131065171
银河期货,,,,12049.0,600.0,2.21065938159,12020.0,4058.0,1.65285619601
首创期货,7917.0,-195.0,1.45255127596,7731.0,146.0,1.41842540286,,,
