member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,3112.0,149.0,0.653629090695,4339.0,178.0,0.911342102997,3169.0,-1041.0,0.645862120971
上海东亚,510.0,-31.0,0.107117877974,987.0,7.0,0.207304599138,600.0,-172.0,0.122283771721
上海中期,2116.0,-202.0,0.444434176064,5621.0,530.0,1.18060704332,2846.0,-1963.0,0.580032690528
上海大陆,509.0,34.0,0.106907842919,240.0,16.0,0.0504084131642,486.0,-508.0,0.0990498550937
上海浙石,538.0,-10.0,0.11299885951,12.0,12.0,0.00252042065821,30.0,-210.0,0.00611418858603
东兴期货,731.0,20.0,0.153535625096,345.0,-1.0,0.0724620939235,291.0,-106.0,0.0593076292845
东吴期货,1769.0,50.0,0.371552012031,275.0,22.0,0.0577596400839,926.0,-197.0,0.188724621022
东方期货,143.0,-10.0,0.0300350128436,1.0,-8.0,0.000210035054851,84.0,-50.0,0.0171197280409
东方汇金,1699.0,-52.0,0.356849558191,549.0,6.0,0.115309245113,618.0,18.0,0.125952284872
东海期货,4299.0,866.0,0.902940700803,797.0,76.0,0.167397938716,6578.0,3299.0,1.34063775063
东航期货,4735.0,62.0,0.994515984718,1298.0,-46.0,0.272625501196,3988.0,-1394.0,0.81277946937
东证期货,19798.0,-1840.0,4.15827401593,8001.0,-1596.0,1.68049047386,22710.0,-8750.0,4.62844075963
中信建投,3438.0,-138.0,0.722100518577,1022.0,156.0,0.214655826057,6222.0,645.0,1.26808271274
中信期货,11186.0,35.0,2.34945212356,29119.0,-432.0,6.1160107622,20903.0,-9274.0,4.26016280046
中原期货,3092.0,-315.0,0.649428389598,2521.0,-322.0,0.529498373279,2983.0,-2849.0,0.607954151738
中国国际,12520.0,884.0,2.62963888673,21919.0,834.0,4.60375836727,5400.0,-4005.0,1.10055394549
中大期货,2599.0,58.0,0.545881107557,551.0,-214.0,0.115729315223,1548.0,124.0,0.315492131039
中天期货,582.0,-155.0,0.122240401923,13.0,-113.0,0.00273045571306,870.0,362.0,0.177311468995
中州期货,561.0,5.0,0.117829665771,129.0,14.0,0.0270945220757,1009.0,-151.0,0.205640542777
中投期货,2279.0,-1053.0,0.478669890005,479.0,-28.0,0.100606791273,1767.0,548.0,0.360125707717
中粮期货,22158.0,-125.0,4.65395674538,79873.0,-2611.0,16.7761299361,12944.0,-4785.0,2.63806856859
中航期货,775.0,47.0,0.162777167509,147.0,-2.0,0.030875153063,1265.0,62.0,0.257814952044
中融汇信,1094.0,13.0,0.229778350007,803.0,-296.0,0.168658149045,12787.0,-1674.0,2.60607098165
中衍期货,3088.0,152.0,0.648588249379,639.0,15.0,0.13421240005,1577.0,-726.0,0.321402513339
中财期货,2812.0,1.0,0.59061857424,340.0,-100.0,0.0714119186492,1207.0,141.0,0.245994187445
中辉期货,2365.0,-198.0,0.496732904722,923.0,122.0,0.193862355627,4376.0,-1136.0,0.891856308416
中金期货,514.0,-50.0,0.107958018193,4551.0,24.0,0.955869534625,74.0,-128.0,0.0150816651789
中钢期货,2150.0,-11.0,0.451575367929,1417.0,0.0,0.297619672723,119.0,-202.0,0.0242529480579
中银国际,534.0,-58.0,0.11215871929,253.0,16.0,0.0531388688772,910.0,390.0,0.185463720443
九州期货,74.0,11.0,0.0155425940589,122.0,-9.0,0.0256242766918,74.0,-88.0,0.0150816651789
云晨期货,193.0,-17.0,0.0405367655862,213.0,13.0,0.0447374666832,140.0,-97.0,0.0285328800682
五矿经易,17370.0,-254.0,3.64830890276,370.0,-27.0,0.0777129702947,3535.0,224.0,0.720455221721
信达期货,4043.0,-91.0,0.849171726761,3386.0,-84.0,0.711178695724,1201.0,-561.0,0.244771349728
倍特期货,2377.0,34.0,0.49925332538,778.0,18.0,0.163407272674,600.0,-60.0,0.122283771721
先融期货,761.0,-47.0,0.159836676741,132.0,-82.0,0.0277246272403,909.0,-226.0,0.185259914157
光大期货,19048.0,131.0,4.0007477248,12613.0,-1449.0,2.64917214683,24226.0,-8628.0,4.93741108951
兴业期货,1220.0,229.0,0.256242766918,283.0,77.0,0.0594399205227,1086.0,201.0,0.221333626814
兴证期货,6130.0,469.0,1.28751488623,4096.0,-834.0,0.860303584668,7229.0,-1631.0,1.47331564295
冠通期货,3500.0,-31.0,0.735122691977,502.0,-44.0,0.105437597535,1061.0,-622.0,0.216238469659
创元期货,3465.0,-183.0,0.727771465058,173.0,-75.0,0.0363360644892,2612.0,-814.0,0.532342019557
前二十名合计,259422.0,-6672.0,54.4877139995,376809.0,-8354.0,79.1430989832,299240.0,-73790.0,60.9869930828
前五名合计,108185.0,-3787.0,22.722642409,210187.0,-4806.0,44.1466380739,153246.0,-44454.0,31.2324981352
前十名合计,170044.0,-3636.0,35.715200867,299276.0,-5814.0,62.8584510755,216737.0,-58496.0,44.1723630524
北京金鹏,455.0,5.0,0.095565949957,296.0,1.0,0.0621703762358,206.0,-101.0,0.0419840949574
北京首创,7939.0,25.0,1.66746830046,8032.0,319.0,1.68700156056,5026.0,-1626.0,1.02433039445
华信万达,16151.0,-323.0,3.39227617089,10274.0,3350.0,2.15790015354,12461.0,-451.0,2.53963013235
