member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
一德期货,4891.0,-65.0,1.75577150201,4194.0,925.0,1.50556239612,268.0,14.0,0.0484205505489
上海中期,5117.0,250.0,1.83690099689,674.0,6.0,0.241952564374,20684.0,2414.0,3.73705472968
上海大陆,,,,,,,206.0,194.0,0.0372187813921
东兴期货,,,,2810.0,0.0,1.008733985,,,
东吴期货,960.0,-50.0,0.344620863203,,,,,,
东航期货,,,,2704.0,-542.0,0.970682098023,,,
东证期货,,,,6545.0,5538.0,2.3495245309,14107.0,2309.0,2.54876383057
中信建投,,,,3186.0,1900.0,1.14371048976,9997.0,4207.0,1.80619493969
中信期货,8390.0,-4892.0,3.01184275237,24350.0,997.0,8.74116460313,42413.0,13986.0,7.66291347175
中国国际,5123.0,74.0,1.83905487728,12433.0,1248.0,4.46319915855,,,
中大期货,,,,2000.0,6.0,0.717960131674,,,
中粮期货,,,,1008.0,0.0,0.361851906364,,,
中融汇信,,,,,,,13182.0,3495.0,2.3816406617
中辉期货,,,,,,,520.0,-116.0,0.0939503219605
中金期货,,,,3906.0,-39.0,1.40217613716,,,
中钢期货,554.0,78.0,0.198874956474,,,,,,
中银国际,620.0,-482.0,0.222567640819,8091.0,138.0,2.90450771269,906.0,840.0,0.163690368647
五矿经易,,,,4798.0,0.0,1.72238635589,,,
兴证期货,8411.0,1648.0,3.01938133375,3662.0,-1640.0,1.31458500109,13722.0,5633.0,2.47920445758
前二十名合计,149832.0,1964.0,53.7867012245,147046.0,5371.0,52.7865827611,336092.0,122683.0,60.7229838622
前五名合计,59657.0,4440.0,21.4156737876,72661.0,3465.0,26.0838505638,160972.0,51115.0,29.0834062051
前十名合计,98348.0,210.0,35.3049715149,105511.0,7210.0,37.8763457265,235158.0,77189.0,42.4868650223
华安期货,,,,,,,8377.0,7218.0,1.51350355204
华泰期货,4944.0,832.0,1.7747974455,5363.0,-680.0,1.92521009308,16308.0,4317.0,2.94642663564
南华期货,9568.0,1596.0,3.43472126993,,,,10213.0,3099.0,1.84522045804
同信久恒,,,,,,,23611.0,8688.0,4.2658866381
国信期货,,,,,,,9642.0,2926.0,1.74205577758
国富期货,,,,,,,300.0,300.0,0.0542021088234
国投安信,8606.0,118.0,3.08938244659,588.0,-14.0,0.211080278712,,,
国泰君安,13838.0,510.0,4.96756615105,13752.0,666.0,4.93669386539,10610.0,-587.0,1.91694791539
国联期货,6957.0,391.0,2.49742431803,,,,,,
国贸期货,4495.0,-187.0,1.61361539594,2952.0,-2376.0,1.05970915435,2448.0,1750.0,0.442289207999
大地期货,4170.0,292.0,1.49694687454,5681.0,-138.0,2.03936575402,312.0,268.0,0.0563701931763
大有期货,400.0,-302.0,0.143592026335,3581.0,267.0,1.28550761576,390.0,312.0,0.0704627414704
广发期货,5342.0,765.0,1.9176715117,564.0,6.0,0.202464757132,390.0,278.0,0.0704627414704
广金期货,,,,,,,9784.0,3869.0,1.76771144243
建信期货,14750.0,-36.0,5.29495597109,5702.0,-220.0,2.0469043354,508.0,-80.0,0.0917822376076
招金期货,368.0,36.0,0.132104664228,7764.0,-381.0,2.78712123116,10069.0,7742.0,1.81920344581
新世纪,5002.0,445.0,1.79561828932,,,,,,
新湖期货,,,,2749.0,-452.0,0.986836200986,,,
方正中期,11828.0,123.0,4.24601621872,,,,28726.0,10537.0,5.19003259353
格林大华,3933.0,289.0,1.41186859894,,,,,,
永安期货,5449.0,-1103.0,1.95608237875,4212.0,-58.0,1.51202403731,12742.0,6883.0,2.30214423543
海通期货,9673.0,2247.0,3.47241417684,5769.0,-1099.0,2.07095599981,45538.0,15490.0,8.227518772
瑞龙期货,3244.0,0.0,1.16453133358,,,,,,
申万期货,6298.0,1013.0,2.26085645464,,,,,,
迈科期货,3336.0,0.0,1.19755749963,7070.0,-93.0,2.53798906547,210.0,180.0,0.0379414761764
金瑞期货,4823.0,-270.0,1.73136085753,,,,262.0,244.0,0.0473365083724
银河期货,6327.0,-1495.0,2.27126687655,14035.0,416.0,5.03828522402,16867.0,10320.0,3.04742323175
长江期货,,,,,,,11175.0,5912.0,2.01902855367
首创期货,412.0,0.0,0.147899787125,,,,,,
鲁证期货,,,,,,,8325.0,4225.0,1.50410851985
