member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
东海期货,,,,,,,4764.0,-82.0,2.7623476476
东航期货,,,,4275.0,135.0,3.2552579078,,,
中信建投,2349.0,1315.0,1.78867855566,,,,2913.0,-248.0,1.68906773666
中信期货,4877.0,446.0,3.71365913833,9142.0,3246.0,6.96130240775,8710.0,4183.0,5.05038791154
中银国际,1965.0,77.0,1.49627644183,2035.0,99.0,1.5495789105,7134.0,-152.0,4.13656341687
光大期货,4005.0,1573.0,3.04966267152,2253.0,1298.0,1.7155780272,4737.0,906.0,2.74669202491
兴证期货,4309.0,-62.0,3.2811476783,6066.0,645.0,4.61903964181,4971.0,2884.0,2.8823740882
创元期货,,,,,,,3115.0,147.0,1.80619498788
前二十名合计,76983.0,15223.0,58.6197706471,84791.0,16586.0,64.5652802948,103864.0,21002.0,60.224281291
前五名合计,31835.0,8085.0,24.2412012854,37621.0,9756.0,28.6470310525,42352.0,12017.0,24.5572937807
前十名合计,53589.0,11124.0,40.806085619,59505.0,9488.0,45.3109056851,66773.0,15389.0,38.7175145829
华安期货,,,,4547.0,117.0,3.46237607176,,,
华泰期货,4890.0,-2176.0,3.72355816822,12003.0,3166.0,9.1398504485,13282.0,3758.0,7.70140668669
华鑫期货,5489.0,4965.0,4.17967500723,,,,5185.0,2346.0,3.00645939395
南华期货,,,,1918.0,463.0,1.46048764144,,,
国泰君安,2066.0,415.0,1.57318428948,3188.0,-83.0,2.42754671581,4264.0,-427.0,2.47242870893
大有期货,,,,5138.0,-2113.0,3.91240120007,2637.0,-2856.0,1.52903248252
宏源期货,,,,,,,4159.0,1899.0,2.41154573181
广州期货,2211.0,163.0,1.683596546,,,,,,
弘业期货,3239.0,198.0,2.46638137155,,,,3648.0,605.0,2.1152485765
徽商期货,6148.0,666.0,4.68147967653,2934.0,153.0,2.23413490093,,,
招商期货,2183.0,478.0,1.66227555853,2377.0,587.0,1.80999954312,4357.0,644.0,2.52635363152
方正中期,4564.0,1105.0,3.47532095701,4057.0,840.0,3.0892587911,5597.0,3188.0,3.24535259941
永安期货,9447.0,3326.0,7.19354887836,3867.0,753.0,2.94458066186,7629.0,1040.0,4.42358316615
浙商期货,3999.0,-23.0,3.04509388849,,,,,,
海通期货,5861.0,1304.0,4.462939555,5167.0,1254.0,3.93448365137,4764.0,-2682.0,2.7623476476
申银万国,2753.0,218.0,2.09630994624,2790.0,79.0,2.12448410825,,,
西部期货,2000.0,1256.0,1.52292767616,1668.0,888.0,1.27012168192,3036.0,669.0,1.76038779557
金元期货,,,,3858.0,3667.0,2.93772748732,4239.0,3658.0,2.457932762
银河期货,2245.0,-198.0,1.70948631649,5243.0,1445.0,3.99235490307,4723.0,1522.0,2.73857429463
长江期货,2383.0,177.0,1.81456832615,2265.0,-53.0,1.72471559326,,,
