member_name,long_position,long_position_increase,long_potion_rate,short_position,short_position_increase,short_position_rate,vol,vol_increase,vol_rate
东海期货,,,,6568.0,387.0,1.5541295171,,,
东航期货,10086.0,-558.0,2.38656368902,,,,24599.0,4888.0,2.01329483364
中信建投,,,,,,,29417.0,1835.0,2.40762202208
中信期货,22038.0,-2196.0,5.21466295644,7586.0,-342.0,1.7950101274,26808.0,-382.0,2.19408951178
中粮期货,5673.0,-529.0,1.34235334204,,,,,,
中银国际,11402.0,1316.0,2.69795748386,11376.0,1465.0,2.69180532682,44223.0,-2003.0,3.61941287972
光大期货,13353.0,3172.0,3.15960588336,13829.0,3216.0,3.27223768149,26202.0,4194.0,2.14449169605
兴证期货,15657.0,-113.0,3.70478164575,7008.0,85.0,1.65824294395,,,
创元期货,,,,,,,19821.0,10368.0,1.62224142842
前二十名合计,260483.0,-522.0,61.6358585572,259727.0,678.0,61.4569727601,629704.0,57255.0,51.537859666
前五名合计,112086.0,-6624.0,26.5219490034,114125.0,-899.0,27.0044200882,244834.0,-2372.0,20.0383360015
前十名合计,178897.0,959.0,42.3308630057,177351.0,7093.0,41.9650462832,399412.0,33566.0,32.6897075529
华信期货,,,,,,,20523.0,-12643.0,1.67969632387
华安期货,,,,,,,21739.0,-4619.0,1.77921933365
华泰期货,26770.0,196.0,6.33435553789,22891.0,1306.0,5.41650103167,62018.0,-3443.0,5.07583718821
南华期货,9355.0,-208.0,2.2135934276,9369.0,-701.0,2.21690612755,,,
国信期货,,,,6298.0,-319.0,1.49024173245,,,
国投安信期货,14679.0,4295.0,3.47336589244,14234.0,2156.0,3.36806935847,35395.0,20300.0,2.89688892381
国泰君安,9848.0,-150.0,2.33024778996,6527.0,-957.0,1.54442803869,25395.0,5356.0,2.07844311965
大连良运,6736.0,23.0,1.59388191644,,,,,,
广发期货,6792.0,140.0,1.60713271622,9371.0,418.0,2.2173793704,32116.0,871.0,2.62852054463
徽商期货,5596.0,615.0,1.32413349234,9321.0,-2063.0,2.20554829917,55848.0,6972.0,4.57085612705
招商期货,12049.0,1395.0,2.85105154561,12276.0,1361.0,2.90476460901,45208.0,306.0,3.70002979143
方正中期,,,,16533.0,1281.0,3.91206201374,27281.0,5625.0,2.23280199832
格林大华期货,,,,11511.0,-206.0,2.72374921915,,,
永安期货,31889.0,248.0,7.54562061067,31108.0,-1791.0,7.36081927802,30369.0,7307.0,2.48553806264
浙商期货,8842.0,-522.0,2.09220663676,9082.0,-355.0,2.14899577867,,,
海通期货,15732.0,-4759.0,3.7225282526,11246.0,-2568.0,2.66104454162,37537.0,-4204.0,3.07220001506
申银万国,15328.0,-2595.0,3.62693319704,16992.0,-76.0,4.02067124766,24487.0,6583.0,2.00412824064
英大期货,,,,,,,20905.0,10486.0,1.71096095359
银河期货,10387.0,-334.0,2.45778673784,26601.0,-1619.0,6.29436651712,19813.0,-542.0,1.62158667177
首创期货,8271.0,42.0,1.95709580328,,,,,,
